,wdsp,prcp,temp,sndp,total_num_of_crimes
1164,8.8,0.23,66.6,0,0.712380952
435,13.1,0.29,45.9,0,0.567521368
825,11.5,0,84.6,0,0.001669186
1253,7.5,0,69.2,0,0.699047619
553,7.8,0,75.3,0,0.699145299
308,6.9,0,22.9,0,0.610229277
841,7.6,0,79.1,0,0.001393613
1117,11.9,0,48.9,0,0.638095238
1458,4.1,0,83.4,0,0.84950495
963,6.2,0,56.1,0,0.001330625
1177,6.6,0,75.2,0,0.826666667
1490,8.4,0,83.5,0,0.700990099
923,12.7,0.03,67.8,0,0.001436917
301,7.5,0,27.9,0,0.624338624
1683,9.4,0,21.5,0,0.628630705
1606,10.4,0.14,47.7,0,0.621782178
1538,4.5,0.13,77.3,0,0.758415842
125,7.7,0,58.1,0,0.721340388
962,4.6,0,54.9,0,0.001488095
1844,9.7,0.45,72.9,0,0.701244813
1564,3.4,0,67.5,0,0.663366337
79,9,0,41.8,0,0.668430335
778,11.9,0.4,52.2,0,0.001291257
1143,9.7,0,66,0,0.739047619
50,5.7,0,17,2,0.585537919
92,10.3,0.16,31.8,1.2,0.597883598
95,6.6,0,49,0,0.661375661
34,10.4,0,20.4,7.1,0.587301587
764,9.2,0,61.5,0,0.001342435
1626,10.2,0,32.6,0,0.697029703
1069,11,0.02,24.1,3.1,0.579047619
344,5.1,0,28.4,0,0.538461538
744,3.7,0,45.9,0,0.001440854
1457,5.2,0.13,78.3,0,0.851485149
328,7.5,0,30.2,0,0.627865961
330,7.3,0,49.3,0,0.57319224
664,8,0.15,43.2,0,0.601709402
1469,6.8,0,65.6,0,0.693069307
1385,11.9,0.04,31.7,0,0.615841584
892,5,0.06,74.2,0,0.001401487
1379,11.1,0,50.1,0,0.645544554
1314,12.2,0.53,43.7,0,0.611428571
1078,10.6,0.5,43.7,0,0.613333333
676,12.9,1.82,35.5,0,0.514529915
1402,10,0,41.4,0,0.691089109
673,14.3,0.84,43.2,0,0.548717949
1585,14.8,0.06,66.2,0,0.592079208
1815,9.8,0,77.5,0,0.798755187
213,6.9,0,71.7,0,0.633156966
1901,9,0.05,49.2,0,0.68879668
638,8.8,0,53.1,0,0.613675214
1846,10.6,0,71.5,0,0.838174274
1201,8.1,0.07,78.6,0,0.681904762
1692,15.7,0.32,38.6,0,0.699170124
812,9.6,0,64,0,0.001310941
1792,8,0,80.1,0,0.821576763
761,6.1,0,64.7,0,0.001279447
738,11,0,45.7,0,0.001295194
1211,6.6,0,70.5,0,0.723809524
428,7.4,0,62.3,0,0.576068376
89,10.5,0,64.6,0,0.747795414
994,9.5,0.28,27,3.1,0.001161344
932,9.4,0,72.2,0,0.001417234
861,4.4,0,80.9,0,0.001763668
935,5.8,0,54.1,0,0.001291257
1483,12.3,2.56,63.2,0,0.695049505
1743,7.8,0.13,58,0,0.77593361
1608,7.1,0,53.5,0,0.691089109
1884,8.3,0.28,60.3,0,0.647302905
1220,6.5,0,77.1,0,0.697142857
1387,5.8,0,30.1,0,0.732673267
1453,4.3,1.24,60,0,0.774257426
1033,13.6,0.01,38.2,0,0.624761905
1290,7,0.43,44.8,0,0.64
1115,14.9,0.37,46.1,0,0.56952381
240,7.7,0.1,49.8,0,0.566137566
1070,6.3,0,29.8,1.2,0.59047619
495,5,0,72.3,0,0.594871795
1003,14.4,0.26,47.4,0,0.001149534
331,10.1,0,47,0,0.596119929
1536,4.2,0,80.5,0,0.75049505
1029,11.7,0,29,0,0.653333333
800,8.6,1.02,73.2,0,0.001452664
1824,5.9,0,77.8,0,0.751037344
1040,6.8,0.32,46,0,0.617142857
1368,5.7,0,24.5,11,0.615841584
525,6,0,79.2,0,0.699145299
1171,6,0,65.3,0,0.746666667
431,16.2,0,47.6,0,0.547008547
561,4.3,0.15,71,0,0.634188034
1836,3.6,1.37,77.8,0,0.81120332
997,8.1,0,2.2,3.1,0.001133787
1841,8.7,0,69.4,0,0.7593361
314,7.5,0,25.2,0,0.499118166
1612,4.2,0,43,0,0.687128713
677,8.4,0,28.5,3.1,0.51965812
606,9.5,0,57.3,0,0.67008547
602,9.8,0,63.3,0,0.598290598
1857,5.7,0.05,67.5,0,0.742738589
725,9.4,0.06,62.1,0,0.001299131
805,7.9,0,73.4,0,0.001405423
130,4.8,0,60.1,0,0.670194004
1733,10.9,0.41,47.4,0,0.692946058
1461,7.8,0,77.5,0,0.792079208
1723,3.5,0,57.7,0,0.721991701
