"","Apr","Aug","Dec","Feb","Jan","Jul","Jun","Mar","May","Nov","Oct","Sep","Fri","Mon","Sat","Sun","Thu","Tue","Wed","year","temp","sndp","total_num_of_crimes"
"53",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2014,31.1,2,0.649029982363316
"54",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2014,32.9,0,0.566137566137566
"55",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2014,28.9,0,0.507936507936508
"56",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2014,45.7,0,0.705467372134039
"57",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2014,44,0,0.604938271604938
"58",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2014,30.2,3.1,0.541446208112875
"59",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2014,22.7,3.1,0.611992945326279
"60",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2014,42.9,1.2,0.661375661375661
"61",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2014,37,0,0.62962962962963
"62",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2014,24.9,0,0.516754850088183
"63",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2014,26.5,0,0.615520282186949
"64",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2014,38.6,0,0.703703703703704
"65",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2014,43.9,0,0.682539682539683
"66",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2014,37.3,0,0.700176366843034
"67",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2014,42.1,0,0.679012345679012
"68",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2014,41.9,0,0.617283950617284
"69",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2014,27.3,0,0.537918871252205
"70",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2014,26.3,0,0.601410934744268
"71",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2014,27.9,0,0.596119929453263
"72",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2014,26.7,0,0.608465608465608
"73",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2014,39.7,0,0.597883597883598
"74",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2014,43.5,0,0.6331569664903
"75",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2014,35.5,0,0.64373897707231
"76",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2014,38.7,0,0.624338624338624
"77",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2014,53.7,0,0.590828924162258
"78",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2014,47.1,0,0.786596119929453
"79",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2014,41.8,0,0.668430335097002
"80",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2014,38.8,0,0.594356261022928
"81",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2014,40.6,0,0.652557319223986
"82",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2014,40,0,0.634920634920635
"83",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2014,44.7,0,0.574955908289242
"84",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2014,46,0,0.64373897707231
"85",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2014,49.6,0,0.654320987654321
"86",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2014,49.6,0,0.666666666666667
"87",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2014,57.6,0,0.682539682539683
"88",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2014,55.4,0,0.606701940035273
"89",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2014,64.6,0,0.747795414462081
"90",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2014,61.3,0,0.590828924162258
"91",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2014,49.5,0,0.566137566137566
"92",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2014,31.8,1.2,0.597883597883598
"93",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2014,39.6,0,0.673721340388007
"94",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2014,50.7,0,0.767195767195767
"95",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2014,49,0,0.661375661375661
"96",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2014,47.3,0,0.590828924162258
"97",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2014,61.2,0,0.560846560846561
"98",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2014,67.5,0,0.611992945326279
"99",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2014,53.3,0,0.634920634920635
"100",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2014,43,0,0.6331569664903
"101",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2014,50.5,0,0.617283950617284
"102",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2014,57.9,0,0.701940035273369
"103",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2014,51.9,0,0.62962962962963
"104",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2014,48.9,0,0.562610229276896
"105",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2014,52.2,0,0.63668430335097
"106",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2014,56,0,0.684303350970018
"107",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2014,52,0,0.666666666666667
"108",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2014,46.3,0,0.756613756613757
"109",0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2014,49.1,0,0.728395061728395
"110",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2014,57,0,0.622574955908289
"111",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2014,56.1,0,0.603174603174603
"112",0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2014,50.9,0,0.758377425044092
"113",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2014,53.1,0,0.689594356261023
"114",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2014,63.8,0,0.656084656084656
"115",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2014,75.5,0,0.641975308641975
"116",0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2014,72.5,0,0.740740740740741
"117",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2014,64.2,0,0.613756613756614
"118",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2014,71.2,0,0.652557319223986
"119",0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2014,73.6,0,0.701940035273369
"120",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2014,67.2,0,0.64021164021164
"121",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2014,54.7,0,0.677248677248677
"122",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2014,47.6,0,0.597883597883598
"123",0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2014,42.9,0,0.712522045855379
"124",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2014,49.7,0,0.700176366843034
"125",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2014,58.1,0,0.721340388007055
"126",0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2014,62.7,0,0.693121693121693
"127",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2014,73.3,0,0.6331569664903
"128",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2014,77.4,0,0.64373897707231
"129",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2014,67.1,0,0.687830687830688
"130",0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2014,60.1,0,0.670194003527337
"131",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2014,61.2,0,0.64021164021164
"132",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2014,68,0,0.634920634920635
"133",0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2014,76.5,0,0.619047619047619
"134",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2014,76,0,0.631393298059965
