,day,wdsp,prcp,total_num_of_crimes
1069,4,6.8,0.16,0.784232365
1001,5,9.4,0.06,0.712380952
509,7,7.4,0.48,0.64952381
1350,1,4,0,0.78019802
1687,2,3,0,0.726141079
1488,3,10.1,0,0.643564356
1146,2,8.5,0,0.758415842
1082,1,11.6,0.2,0.682539683
1458,5,5.9,0,0.720792079
465,4,7.4,0,0.58974359
1345,1,4.4,0,0.703319502
1033,5,5.1,0.01,0.765560166
2091,2,8,0.15,0.601709402
1411,5,10.1,0,0.713692946
1478,4,10.9,0,0.613756614
889,2,7.9,1.28,0.763485477
2188,6,13.4,0,0.609126984
113,5,12.5,0,0.635643564
416,2,6.8,0,0.604938272
751,7,4.9,0,0.738589212
558,2,9.5,0,0.584158416
1648,7,6,1.29,0.589285714
722,4,12.1,0.13,0.756613757
24,5,8.4,0,0.70746888
1792,3,9.9,0.23,0.617063492
1894,6,7.1,0,0.708333333
1382,2,10.1,0,0.64021164
1552,5,9.6,0,0.732142857
789,2,15.3,0.14,0.620512821
2006,1,11.5,0,0.710758377
1202,7,3.3,0,0.668430335
1519,2,10,0.01,0.701244813
1649,1,9,0,0.6
1090,5,10.3,0,0.85515873
395,2,18.8,0.31,0.594285714
1135,1,7.2,0,0.854771784
1708,3,10,0.01,0.674603175
1926,6,5.8,0,0.586138614
1633,7,9,0.73,0.676348548
412,4,7.9,0,0.623015873
1381,7,7.6,0.07,0.755186722
942,3,7.1,0.01,0.752475248
136,1,9.6,0,0.691428571
142,2,6.6,0,0.685714286
371,5,10,0,0.582857143
2156,5,9.9,0,0.520282187
1642,6,6.2,0.1,0.76984127
134,5,10.2,0,0.675213675
2170,3,8.2,0,0.654761905
441,7,6.7,0,0.632478632
1919,4,10.4,0.18,0.601904762
1228,7,10.8,1.33,0.742063492
1739,2,9.9,0,0.632380952
560,5,13.4,0.66,0.652557319
1351,2,5.4,0.54,0.761410788
842,3,6.9,0.65,0.643738977
657,1,14.1,0.42,0.61025641
417,3,6.5,0,0.584615385
1801,7,12.2,2.29,0.657676349
696,4,3.2,0,0.695049505
510,1,10,0,0.691089109
1547,5,7.5,0,0.725714286
1617,7,6.5,0,0.61025641
766,7,4,0,0.68452381
1341,3,4.4,0,0.635897436
1702,2,8,0,0.676587302
2041,5,9.6,0,0.692946058
1470,7,9.9,0.04,0.742574257
213,5,6.3,0,0.609126984
1998,4,5.6,0,0.621782178
1568,5,7.9,0,0.710758377
1736,5,9.9,0,0.710758377
1453,5,7,0,0.680497925
1104,2,6.1,0,0.788118812
1253,5,12.4,0,0.737142857
263,2,5.7,0,0.615841584
2072,5,7.5,0,0.627865961
1436,4,7.3,0,0.670194004
1129,7,11.8,0,0.744813278
2162,6,11.8,0,0.57319224
1738,1,12.6,0,0.742063492
90,2,10.9,0,0.657676349
1194,3,7.8,0,0.792079208
1576,2,7.8,0,0.755952381
996,5,6.7,0,0.754455446
1393,2,4.6,0,0.686721992
433,3,10.7,0.15,0.659751037
2111,1,8.5,0,0.607619048
1205,4,8,0.64,0.67047619
682,7,7,0,0.662698413
450,5,11.4,0,0.64950495
151,7,10.4,0.09,0.500881834
513,5,12.1,0.01,0.601709402
1703,3,13.7,0.99,0.582857143
905,3,8.3,0,0.628571429
1722,7,5.3,0,0.588118812
1007,6,9.1,0.02,0.674285714
965,6,12.3,0.02,0.68
404,7,7.9,0.01,0.507936508
1256,2,6.2,0,0.687830688
624,6,16.9,0.29,0.586138614
2039,3,13.8,0,0.615238095
173,1,13.2,0,0.617821782
1322,6,9.1,0,0.687830688
870,5,6.6,0,0.772277228
1748,7,6.1,0.02,0.615520282
1243,5,7.9,0,0.798755187
1147,3,8.9,0,0.807053942
1721,6,5,0,0.554285714
1941,5,10.5,0,0.576068376
960,6,4.6,0.28,0.700990099
512,4,13.9,0.04,0.597883598
1479,5,6.1,0,0.64957265
675,4,7.9,0,0.629059829
721,2,7.8,1.14,0.755186722
1279,4,5.5,0,0.883817427
847,2,10.2,0.05,0.721991701
1940,4,13.7,0,0.552028219
1180,6,6.4,0.01,0.744047619
1584,5,14.2,0,0.77029703
1335,2,6.9,0.25,0.629059829
1043,5,10.4,0.02,0.634285714
1094,3,9.3,0.03,0.705467372
409,6,10.5,0,0.630705394
695,3,11.2,0,0.685714286
48,2,11.9,0.38,0.682572614
557,1,6.5,0,0.620952381
1083,2,6.6,0.06,0.576068376
830,1,9.7,0,0.693121693
2052,6,4.5,0,0.611881188
2034,3,9.1,0,0.699009901
250,6,6.8,0,0.584761905
1645,2,8.2,0,0.875518672
710,2,9.8,0.43,0.684303351
1198,2,4,0.01,0.833333333
1028,6,5.8,0.01,0.698412698
778,2,9.7,0.58,0.68452381
1122,5,11.1,0.52,0.752475248
491,4,9.4,0,0.596190476
298,7,2.2,0,0.64
1261,1,9.8,0,0.798755187
559,3,8.9,0,0.634854772
1769,7,12.5,0,0.628571429
670,5,10.5,0.02,0.712301587
971,7,13.8,0,0.68952381
177,6,8.9,0,0.619047619
1089,3,7.7,0,0.733333333
1816,7,10.1,0.3,0.714285714
1788,4,4.4,0,0.633663366
984,3,7,0,0.742574257
5,1,9.2,0,0.83960396
1206,5,11.5,0.01,0.734653465
261,6,11.8,0,0.589285714
968,3,7.5,0.45,0.604938272
1621,5,8.5,0,0.630705394
868,3,9.4,0,0.746031746
1439,1,4.6,0.16,0.6
1064,5,8,0,0.770723104
731,2,14.9,0.37,0.56952381
1745,3,10.2,0,0.676190476
1188,2,7.3,0.17,0.685148515
580,4,11.9,0.38,0.748015873
87,5,10.8,0,0.700396825
916,4,6.5,0.18,0.775793651
1259,6,11.4,0,0.678095238
1676,2,9.8,0,0.627865961
1140,1,7.3,0,0.752475248
1641,4,16.8,0,0.711111111
1763,6,11.3,0,0.672380952
1251,2,6.8,0,0.673504274
1972,5,6.9,0,0.640873016
61,6,10.7,0.93,0.527336861
1592,2,5.1,0,0.689594356
2069,1,6.5,0,0.697142857
341,1,8.1,0.03,0.637623762
1595,6,5.3,0,0.733333333
1700,6,4.1,0,0.636684303
2168,7,8.1,0,0.497354497
2184,7,10.6,0,0.637623762
486,4,6,0,0.641584158
2032,1,8.1,0.45,0.678571429
1654,1,3.9,0,0.716269841
1605,5,7.1,0,0.65982906
201,3,9.8,0.74,0.654761905
283,1,8.7,0,0.504409171
52,1,10.4,0,0.56952381
1815,5,4.5,0,0.622222222
21,1,10.5,0,0.615079365
86,4,9.1,0,0.664957265
825,1,12.9,0,0.634188034
2178,6,7.2,0.01,0.61980198
1449,7,4.3,0.15,0.634188034
987,7,7.2,1.44,0.68034188
843,4,7.3,0.02,0.579487179
1761,3,10.1,0.09,0.658119658
115,1,7.7,0,0.559082892
1886,2,12.5,0,0.532627866
259,4,6.8,0,0.507936508
599,1,14.3,0,0.601904762
356,6,7.4,0.02,0.582010582
1280,6,4.9,0.21,0.777777778
1000,4,10,0.1,0.78968254
1263,4,9.5,0,0.656410256
515,1,7.4,0.1,0.697142857
1101,5,6.3,0,0.656410256
1156,2,12.1,0,0.722222222
824,7,7.7,0,0.721340388
521,2,9.6,0,0.607619048
2027,1,15.2,0,0.71047619
1989,6,12.3,0.09,0.531623932
1734,2,10,0.08,0.603960396
841,1,11.5,0.29,0.804979253
808,7,8.7,0,0.712301587
1302,7,11.4,0,0.794059406
1762,5,11.5,0,0.706349206
1186,7,10.2,0,0.676587302
1399,3,5.5,0.17,0.697095436
160,5,11.7,0,0.653333333
756,7,8,0,0.631683168
2163,7,14.5,0.39,0.507692308
684,2,6.3,0,0.643564356
858,3,3.2,0.05,0.720792079
946,2,9.6,0,0.660714286
1522,7,4.8,0.03,0.660714286
565,4,8.5,0.16,0.641078838
1630,4,13.7,0.52,0.630952381
1898,4,10.4,0,0.532627866
1824,3,7.5,0.81,0.869306931
653,3,8.1,0,0.71047619
615,1,10.5,0.11,0.625641026
1697,2,11.8,0,0.620952381
1536,4,4.3,0,0.617821782
118,5,7,0.86,0.693333333
264,3,16.7,0.01,0.639004149
1818,2,7.1,0,0.691089109
1013,7,10.8,0.03,0.697142857
1167,2,9.3,0.66,0.58974359
848,4,8.3,0.01,0.687830688
2017,1,11.7,0.06,0.661825726
1429,1,9.4,0.13,0.72406639
1387,1,3.6,1.37,0.81120332
1672,4,3.5,0.06,0.682539683
2031,6,7.1,0,0.541880342
