,day,wdsp,prcp,total_num_of_crimes
1817,1,11.5,0,0.634285714
2117,2,11.1,0.02,0.704761905
2035,4,5.3,0,0.670124481
353,3,9.9,0,0.60990099
645,6,7.4,0,0.576068376
974,4,7.1,0.03,0.694885362
581,5,11.8,0.36,0.619047619
1103,1,6.6,0,0.826666667
1571,2,5.7,0.16,0.651428571
1659,7,13,0.02,0.492307692
73,1,12.2,0,0.659611993
195,2,9.2,0,0.581349206
1319,2,4.4,0,0.706666667
1892,3,12.5,0.23,0.532627866
1549,7,9.3,0,0.780082988
1955,3,8,0.04,0.561904762
1503,2,8,0,0.567521368
568,2,8.5,0,0.654761905
1165,6,8.7,0,0.834024896
2009,5,4.6,0,0.792380952
2122,2,14.1,0,0.603174603
1511,6,8.9,0,0.60952381
1005,3,4,0,0.617094017
603,6,7.2,0,0.601709402
1572,3,8.7,0,0.726732673
1757,5,7.4,0,0.706666667
49,4,3.4,0,0.509700176
909,1,9.2,0.02,0.782905983
490,3,11,0,0.652777778
962,2,6.4,0,0.564373898
488,7,9.8,0,0.537918871
1435,2,9.7,0.45,0.701244813
220,1,6.1,0,0.708571429
2060,3,9,0.02,0.649029982
1229,1,10.2,0.03,0.700952381
342,2,9.4,0,0.628630705
1663,5,9.6,0.18,0.682572614
1226,4,8.2,0,0.742504409
1869,7,3.6,0,0.54017094
1472,3,5,0,0.627865961
355,1,14.6,0.05,0.619047619
2002,3,8.6,0,0.64484127
1671,2,5.7,0,0.627350427
596,4,11.8,0,0.682539683
2090,1,10.1,0,0.596119929
2185,1,13.7,0.85,0.628630705
1660,2,7,0,0.652777778
1451,3,4.4,0,0.699047619
1937,7,12.3,0.57,0.601904762
945,7,9.3,0,0.547008547
96,3,8.8,0,0.678423237
1313,1,6.6,0,0.723809524
650,6,8.4,0,0.590828924
600,2,5.7,0,0.659405941
693,7,10.7,0.34,0.606837607
325,1,11.1,0,0.534391534
1596,7,5,0,0.683168317
484,2,11.9,0,0.718253968
970,6,9.4,0,0.777777778
1220,3,14.5,0.19,0.71957672
524,6,9.6,0.02,0.643738977
56,6,11.6,0,0.509401709
1540,3,9.3,0.01,0.700396825
1538,7,4.6,0.01,0.610229277
569,3,12.7,0.12,0.603809524
1234,1,8.3,0.17,0.78968254
973,2,6.8,0,0.796680498
1269,5,9.9,0,0.668376068
100,2,7.7,0.96,0.619047619
1939,2,4.2,0,0.738589212
1066,1,8.8,0.2,0.746031746
1305,4,7.9,0,0.683760684
1798,4,7.4,0.63,0.646825397
418,5,5.4,0,0.648809524
1337,5,8.5,0,0.651428571
740,7,9.6,0,0.603174603
2130,5,13.1,0.06,0.655445545
891,5,8.7,0,0.682051282
1386,7,5.4,0,0.75049505
1646,4,7.1,0,0.687830688
1065,6,9.2,0.7,0.593162393
443,3,11,0.02,0.579047619
540,6,11.5,0,0.63960396
1187,1,6.7,0,0.796190476
2116,1,8.1,0,0.571428571
983,2,6.7,0,0.742857143
1510,5,4.3,0.01,0.71031746
1544,1,4,0,0.636684303
949,5,7.9,0,0.831950207
1881,2,3.5,0,0.531623932
2115,6,10.7,0,0.514529915
737,3,6,0.1,0.664761905
475,3,7.7,0,0.653526971
81,4,8.6,0,0.662698413
966,7,5.5,0.29,0.64950495
1865,2,10.3,0,0.588571429
2121,7,10.9,0,0.552136752
1134,7,4.7,0,0.76039604
304,1,7.4,0,0.64
1558,6,8.8,0.06,0.755952381
473,1,9.6,0.43,0.611428571
487,5,10.4,0,0.678423237
1151,2,4.4,0.22,0.681904762
1310,4,7.2,0,0.767195767
934,7,9.9,0.03,0.712301587
1244,7,10.3,0,0.735449735
774,3,11.3,0,0.756435644
718,6,11.6,0,0.571428571
2081,3,11.3,0,0.586666667
613,5,14.9,0.47,0.699170124
2136,6,7.2,0.04,0.63960396
497,5,12.9,0,0.712380952
881,6,6.7,0.26,0.723809524
1348,6,7.2,2.25,0.755952381
699,1,11.9,0,0.6
2043,1,4.4,0,0.591452991
638,4,12.7,0,0.767195767
1237,4,4.7,0,0.786307054
1807,1,4,0.03,0.690871369
1215,3,4.1,0,0.652991453
436,1,4.7,0.79,0.66468254
1032,4,10.6,0.11,0.663366337
629,6,13.8,0.15,0.704761905
975,5,6.1,0.28,0.687179487
1153,4,7.8,0,0.786307054
2021,7,3.6,0,0.596190476
1667,4,4.4,0.06,0.592380952
1936,6,17.7,0.12,0.589285714
1142,4,4.6,0,0.698412698
1172,2,10,0.37,0.712522046
1154,6,8.1,0.18,0.710758377
1570,1,7.6,0,0.662698413
1518,1,9.3,0,0.683168317
527,3,9.9,0,0.626666667
419,6,8.2,0,0.542857143
2010,6,11.6,0,0.722772277
1418,1,6.7,0,0.677248677
672,7,9.2,0,0.605940594
928,6,7.2,0,0.71031746
1214,2,9.9,0,0.716049383
1336,4,8.6,0,0.791666667
1125,2,12.3,0.76,0.594871795
885,4,5.3,0.06,0.675213675
471,5,7.8,0,0.629059829
769,3,10.8,0.1,0.755186722
384,1,13.8,0,0.643564356
643,3,8.5,0,0.692946058
1783,4,5.9,0.01,0.717842324
1039,6,8.3,0,0.790456432
1933,1,5.4,0,0.676348548
676,6,7.2,0,0.630952381
856,1,5.7,0,0.753968254
1786,2,5.3,0,0.694444444
1481,1,10.9,0,0.662857143
757,1,7,0,0.821576763
742,3,11.9,0.4,0.650793651
1333,6,5.3,0,0.734439834
819,7,11.3,0,0.711111111
1456,3,8.8,0.17,0.738095238
1728,1,10.5,0.17,0.627722772
1775,1,8.6,1.19,0.666666667
2124,4,6.4,0,0.675247525
1808,3,9.5,0.03,0.675485009
1730,4,7.6,0.01,0.608465608
1482,2,7.5,0.44,0.76039604
2022,1,12,0.04,0.762376238
897,6,10.3,0.23,0.565811966
50,5,15,0.05,0.488888889
1119,1,8.5,0,0.594871795
1520,4,10.9,0.57,0.624338624
2001,1,10.1,0,0.569230769
1450,2,4.6,0,0.698412698
1406,6,3.5,3.17,0.707231041
2095,7,7.8,0,0.678423237
1725,4,9.5,0,0.67008547
1924,4,9.8,0,0.736111111
724,7,10.6,0.71,0.742063492
343,4,14.5,0,0.546737213
1591,7,10.1,0.55,0.641078838
1027,4,10.6,0.5,0.709543568
1217,6,8.7,1.21,0.681904762
1260,7,4,0,0.695049505
2103,4,14.7,0.09,0.588034188
887,7,5.2,0,0.643809524
1258,5,5.9,0.15,0.724206349
1353,5,8.3,0,0.623931624
2100,7,5.8,0,0.627722772
1888,5,12.4,0,0.676587302
489,1,11.5,0.07,0.487179487
1109,2,7.9,0.01,0.740952381
1219,1,12.2,0,0.744813278
14,6,4.9,0.08,0.478632479
1179,4,6.9,0,0.531623932
2055,3,7.8,0,0.517948718
520,1,9.7,0.17,0.783730159
339,5,10.1,0,0.674603175
210,1,9.5,0,0.705394191
75,3,8.2,0,0.621031746
867,1,12.8,0.43,0.582905983
1871,3,4.6,0,0.695238095
543,3,8.5,0,0.753846154
1915,5,6,0,0.717842324
531,1,9,0.04,0.611965812
662,1,8.3,0,0.611992945
1115,3,6.4,0,0.824761905
1800,6,5.4,0,0.681188119
1587,2,4.8,0,0.603418803
265,5,10.4,0,0.587301587
923,6,6.2,0,0.727619048
1317,6,6.5,0,0.663247863
1526,5,9.9,0.01,0.647266314
683,1,6.6,0,0.662857143
2120,6,4.7,0,0.62962963
2164,2,13.2,0.02,0.593253968
871,6,10.2,0.05,0.794605809
1132,5,7.5,0.04,0.726190476
206,3,6.4,0.05,0.48034188
1120,3,7.6,0,0.702380952
442,2,7.4,0.11,0.726190476
314,7,8.7,0,0.471794872
116,2,4.3,0,0.608547009
977,1,11.8,0,0.64952381
1298,2,5.3,1.89,0.633156966
992,7,12.7,0,0.728395062
149,4,7.6,0,0.657425743
671,6,11.1,0,0.617142857
725,1,11.6,1.11,0.761904762
346,1,6.8,0,0.575238095
634,6,6,0,0.654761905
445,5,15.7,0.32,0.699170124
501,3,11,0.17,0.553846154
633,4,7.1,0.34,0.572649573
820,2,8.4,0,0.698412698
2139,3,10.7,0.01,0.603418803
1224,1,8.8,0.26,0.81980198
1918,3,2.9,0,0.720238095
1493,3,8,0,0.548571429
1331,4,7.7,0,0.67047619
1291,6,4,0,0.842323651
312,4,12.3,0.03,0.711618257
1400,5,6.3,4.22,0.701940035
1397,1,7,0.06,0.662857143
452,1,8.4,0,0.615520282
850,7,5.4,0,0.668650794
663,2,16.2,0,0.547008547
1710,5,6.9,0,0.592079208
549,4,11,0.02,0.615384615
1378,4,6.2,0.22,0.68452381
1191,6,8,0.03,0.613675214
349,5,7.6,0,0.553791887
1306,6,6.7,0,0.751984127
1833,1,8.9,0,0.687179487
1328,7,7.7,0,0.71957672
387,5,10.4,0,0.558974359
316,3,8.2,0.05,0.615238095
1537,5,10.7,0.63,0.757261411
1242,4,8.9,0,0.724752475
2127,1,12.8,0.03,0.543589744
702,5,10.2,0,0.720792079
479,2,9.5,0,0.619047619
1766,3,5.8,0,0.590828924
1208,1,6.5,0,0.668430335
386,4,7.6,0.02,0.53968254
297,5,20.9,0,0.66468254
582,6,8.7,0,0.6
1427,6,5.7,0,0.647619048
2076,3,10.3,0,0.724752475
1842,6,4.2,0,0.687128713
835,7,10.7,0.47,0.736514523
1750,3,3.5,0,0.696428571
242,2,7.1,0,0.524786325
894,2,4.6,0,0.827722772
840,7,9.1,0.01,0.697029703
1002,6,9,0.63,0.706930693
1169,5,7.6,0,0.731428571
1326,4,7.9,0.01,0.718811881
614,7,11.2,0,0.590828924
2174,1,7.2,0,0.569664903
462,7,2.9,0,0.627722772
1223,7,5.2,0.03,0.739047619
1858,7,3.5,0,0.66468254
1935,4,15.8,0.12,0.535042735
556,7,12,0.01,0.615079365
1718,2,8.3,0.48,0.633156966
690,3,12.1,0,0.695049505
1210,4,7.8,0,0.724206349
474,2,17,0,0.633663366
214,7,10.2,0,0.577142857
1030,2,7.4,0,0.746031746
1893,4,19.9,0.74,0.55042735
2187,4,8.4,0,0.51965812
1589,5,6,0,0.712380952
198,6,8.6,0,0.643153527
141,7,7.5,0,0.623015873
2108,4,4.6,0,0.580246914
1866,3,14.5,0.01,0.631683168
1117,5,6.4,0,0.877593361
1925,5,8.8,0,0.681904762
1491,7,6.9,0.02,0.627350427
104,7,10.9,0,0.548717949
2133,2,6.9,0.3,0.52991453
1394,4,6.3,0.24,0.650793651
438,3,9.9,0,0.598019802
2037,7,5.2,0,0.538461538
1951,4,14.6,0.18,0.680497925
1466,2,6.8,0,0.677248677
545,6,5.6,0,0.723809524
1497,1,7.5,0,0.647863248
2118,3,9.3,0,0.679207921
739,5,10.4,0.32,0.751037344
1995,7,6.9,0,0.487179487
305,2,11.5,1.94,0.598019802
1772,4,6.4,0,0.596119929
2097,3,11.9,0,0.564102564
1299,3,5.1,0,0.618803419
1327,5,5.2,0,0.757261411
1929,3,17,0.44,0.562393162
694,2,11.8,0.01,0.636904762
940,1,10.2,0.18,0.706349206
822,4,5.9,0,0.714851485
1020,2,6.6,0.08,0.716831683
532,3,11.2,0,0.71031746
369,2,10.6,0.04,0.535042735
1614,3,9.3,0.24,0.693069307
2018,3,10.4,0,0.627865961
1133,6,7.5,0,0.693333333
1114,2,6.3,0,0.892857143
483,7,10,0,0.538461538
444,4,7.3,0,0.653465347
165,4,13.4,0,0.678571429
398,6,10.4,0,0.566137566
1848,7,13.3,0.1,0.59009901
998,1,6.9,0,0.758377425
707,5,5.4,0.11,0.700952381
171,5,9,0,0.634920635
892,7,10.7,0,0.751984127
938,5,4.7,0,0.756613757
1913,3,10.6,0.05,0.636190476
1507,7,8.2,0,0.744813278
1384,5,7.2,1.2,0.704365079
1388,3,6.7,0.13,0.717813051
2019,4,8.4,0.1,0.574358974
1130,2,11.2,0.48,0.708994709
1553,6,7.8,0,0.697142857
2145,4,14.3,0.84,0.548717949
1887,3,8.1,0,0.52991453
1767,4,7.5,0,0.618803419
1850,3,8.1,0,0.671957672
1469,6,4.1,0,0.67047619
1545,2,10.2,0,0.683760684
62,7,10,0,0.511111111
1197,7,7,0.03,0.608547009
525,7,12.4,0,0.478632479
1189,3,4.3,0.08,0.757261411
1292,1,6.8,0,0.693121693
65,4,15.9,0.01,0.611881188
1883,5,8.4,0,0.624761905
310,2,8,0.08,0.632380952
779,3,6.1,0.03,0.615238095
429,5,6.3,0,0.663247863
1290,5,4.9,0,0.851485149
921,3,6,0,0.666666667
2014,5,7.7,0.02,0.678571429
127,3,7.6,0,0.522045855
255,5,10.4,0,0.573412698
240,6,6.5,0,0.690871369
1531,4,6.3,0.37,0.825726141
1723,1,7.4,0,0.699170124
2077,4,9.6,0,0.641078838
787,6,6.1,0,0.661825726
74,2,9.1,0.03,0.548717949
888,1,6.5,0,0.823762376
1031,3,5.8,0.01,0.72952381
1975,1,7.3,0,0.680497925
421,1,9.9,0,0.678423237
1997,3,6.8,0,0.664761905
1826,6,13.5,0.04,0.723104056
1856,4,15.3,0,0.592592593
1356,2,4.2,0,0.75049505
1287,1,9.5,1.06,0.629059829
1860,2,12.8,0.29,0.738613861
863,3,9.6,0.7,0.681904762
566,6,8.4,0.01,0.634920635
931,2,7.6,0,0.790456432
1564,7,3.6,0.03,0.670634921
2046,5,7.3,0,0.62970297
67,7,11.8,0.07,0.555555556
985,4,13.9,0.72,0.676348548
1070,6,9.2,0,0.708994709
187,6,5.2,0.07,0.677248677
1325,3,3.5,0,0.725714286
2007,2,9.6,0.3,0.608547009
1213,7,9.1,0.32,0.757261411
1502,1,4.8,0,0.555555556
1410,4,5.8,0,0.627722772
1045,7,8.9,0.12,0.738589212
574,3,10.6,0.08,0.581349206
620,1,14.9,0.45,0.566137566
852,2,4.3,1.24,0.774257426
902,6,7,0,0.638447972
1836,5,8.9,0,0.734653465
1342,5,6.6,0,0.71031746
196,4,11,0,0.571428571
1626,5,6.8,0,0.714851485
674,3,9.1,0,0.633156966
359,3,10.5,1.5,0.664761905
1580,7,11.4,0.12,0.680776014
1699,4,7,0,0.639004149
1679,6,13,0.19,0.603809524
2073,6,4.2,0,0.55042735
1293,2,6.1,0,0.581196581
311,3,10.2,1.22,0.62970297
1834,3,3.7,0,0.672619048
925,1,7.8,0,0.697095436
964,5,8.5,0.06,0.626984127
1113,7,3.5,0,0.717948718
1695,6,5,0,0.58974359
1994,6,10.9,0,0.574955908
1049,6,11.6,0.01,0.702857143
1338,6,6.1,0,0.796039604
476,5,7.8,0,0.679012346
1831,5,8.8,0.02,0.798755187
876,6,5.2,0.13,0.851485149
1289,4,7.6,0,0.84952381
170,4,12.7,0.03,0.582905983
71,5,16.8,0.14,0.63960396
2036,6,11,0,0.567901235
1300,5,6.7,0,0.78968254
705,2,5.4,0,0.564102564
1265,7,4.9,0,0.708571429
108,5,7.9,0,0.678423237
994,3,9.6,0,0.738095238
1442,5,8.3,0.02,0.731922399
1720,5,5.3,0,0.801587302
1230,2,4.8,0,0.752475248
2075,2,14,0.03,0.603809524
632,3,10.2,0,0.67372134
1832,7,6,0,0.615520282
639,5,3.8,0,0.632478632
148,3,9.9,0.03,0.664761905
1093,1,6.9,0.26,0.919087137
224,6,7.2,0,0.502564103
1515,4,4.5,0,0.548717949
1359,6,6.2,0.29,0.617094017
68,1,8.7,0.15,0.526495726
1235,2,7.3,0,0.725714286
1366,2,7.2,0.29,0.716269841
829,6,7.8,0.13,0.77593361
1567,3,7.1,0,0.668049793
592,6,12.2,0.08,0.597222222
1042,4,7.6,0.69,0.734126984
1095,4,9.3,0,0.6
2056,5,9.4,0,0.593253968
400,2,12.2,0,0.706349206
135,6,6.5,0.01,0.615079365
309,7,9.3,0,0.589285714
1483,3,9.3,0.17,0.674273859
642,2,10.7,0,0.671287129
879,3,11.7,0.42,0.627350427
758,3,9.3,0,0.656084656
1944,2,9.3,0,0.655445545
1395,5,7.4,0,0.71965812
1967,5,10,0,0.605714286
1629,2,9.3,0,0.576068376
1928,2,15.2,0,0.552028219
802,6,12.5,0.66,0.662698413
301,4,6.5,0.27,0.590828924
1765,1,12.3,0,0.699170124
1311,5,7.5,0,0.700854701
2008,4,12.4,0,0.716269841
896,5,7,0,0.675485009
2005,6,11.3,0.02,0.622406639
2087,4,10.7,0,0.622857143
2143,1,7.5,0,0.713692946
1590,6,10.7,0,0.748514851
1805,6,10.9,0,0.56952381
1651,3,8.6,0,0.709543568
363,1,6.6,0.01,0.535042735
1701,7,9.8,0,0.598290598
922,5,5.3,0,0.740079365
2126,7,7.8,0,0.523809524
1405,4,8,0,0.699170124
1240,2,4.4,0,0.888888889
503,6,10.6,0.5,0.613333333
1200,4,7.4,0,0.724752475
79,2,10.9,0,0.578483245
12,3,6.7,0,0.630705394
1524,2,3.4,0,0.663366337
744,5,14.7,0.19,0.772277228
804,1,8.3,0.37,0.798019802
812,5,8.9,0.08,0.712522046
53,2,6,0,0.633663366
678,1,9.1,0,0.63960396
990,4,3.9,0,0.661386139
161,6,13.8,0,0.621782178
381,4,8.9,0,0.500854701
986,6,6.3,0,0.691358025
714,7,5.8,0,0.637623762
446,7,17.7,0,0.51675485
1992,3,5.4,0,0.663366337
1922,1,13.3,0,0.534391534
660,5,4.6,0.03,0.702970297
1178,3,6.7,0.05,0.761904762
1981,2,5.5,0,0.695020747
414,6,5.4,0,0.594059406
591,4,9.1,0.21,0.553846154
1334,1,7,1.16,0.701940035
562,1,16,0,0.623015873
1694,5,4.4,0,0.624338624
1012,6,5.5,0,0.636904762
1107,6,3.1,0,0.705982906
937,3,8.7,0.53,0.755186722
329,6,9.5,0,0.594059406
396,3,11.9,0.04,0.615841584
712,5,7.9,0.05,0.654761905
1796,1,10.1,0,0.626102293
1562,4,4.3,0,0.735449735
16,2,6.6,0.09,0.617142857
1733,1,7.1,0.31,0.67047619
1774,7,8.2,0,0.700396825
1527,6,10.5,0.24,0.541880342
854,5,4.8,0,0.670194004
2082,4,5.2,0,0.625742574
1735,3,13.8,0.01,0.751037344
1087,7,5.7,0,0.713692946
145,6,16.7,0.01,0.53968254
1374,5,5.1,0.18,0.756435644
286,5,6.9,0,0.76
1056,1,10,0,0.78019802
1343,6,8.4,0,0.72952381
164,3,6.8,0,0.502564103
763,2,10.9,0.41,0.692946058
13,5,8.7,0.01,0.48324515
1181,7,10.3,0,0.68952381
1501,6,7.6,0,0.730290456
679,2,9.6,0.19,0.697095436
45,5,5.8,0,0.704365079
767,1,6.3,0,0.607619048
930,1,9.6,0,0.730693069
1984,7,8.1,0,0.615079365
481,4,9.2,0.08,0.626556017
626,2,10.3,0.16,0.597883598
1923,2,12,0.03,0.54017094
1747,5,4.8,0,0.67219917
1514,3,12.4,1.04,0.647266314
1390,6,9.6,0,0.763888889
1308,1,7.1,0.07,0.762376238
644,5,6.6,0,0.661375661
1067,2,6,0,0.746666667
628,5,7.3,0,0.718253968
1071,7,5,0,0.545299145
1650,2,5.6,1.39,0.625742574
1513,1,5.7,0.05,0.742738589
860,6,4.1,0,0.64021164
1059,5,7.9,0.02,0.594871795
1985,1,4.5,0,0.662857143
1827,7,10.9,0.74,0.709401709
1231,3,5,0,0.736514523
1438,7,5.2,0.27,0.757936508
1716,6,7.3,0,0.63960396
92,5,6,0,0.581196581
55,5,7.2,0,0.50617284
1148,5,5.3,0,0.761904762
218,5,9.4,0,0.535042735
989,3,7.4,0.05,0.72952381
464,3,9.7,0.15,0.682539683
1304,3,5.8,0.07,0.670194004
1477,2,9.5,0,0.636929461
1062,2,9.7,0,0.762376238
1594,5,6.5,0,0.712301587
1620,4,6.1,0,0.601980198
1970,2,13.8,0.25,0.541446208
1195,4,8.5,0.28,0.860995851
1174,5,8.5,0,0.734126984
153,2,14.3,0.06,0.591269841
217,4,8.7,0.01,0.553791887
1776,2,7.7,0,0.687128713
423,4,6.5,0,0.623931624
1647,5,19.1,0,0.632478632
1954,2,4.9,0,0.648809524
2167,5,8.6,0,0.690871369
1010,3,9.9,0,0.664902998
1637,6,9.5,0,0.603809524
1492,2,9.3,0,0.765873016
1063,3,6.3,0,0.809128631
800,3,8.9,0.14,0.677248677
1529,2,7.2,0,0.651428571
904,2,7.9,0,0.708333333
1271,1,3.5,0,0.761904762
1606,7,7.4,0,0.761904762
123,4,2.7,0,0.617063492
782,7,7.7,0,0.652557319
244,5,12.1,0,0.664761905
1517,7,6.9,0,0.643809524
1017,5,10.7,0.48,0.625641026
619,6,11.2,0.13,0.657676349
1812,1,6.3,0.01,0.691089109
368,1,6.5,0.01,0.509700176
701,4,12.2,0.37,0.647619048
1582,3,7.5,0,0.688492063
1389,4,14,0,0.635897436
247,2,5.1,0,0.476190476
80,3,5.3,0,0.543589744
1236,3,5.5,0,0.782178218
1574,6,10.8,0,0.682539683
976,7,10.9,0,0.740079365
875,5,5.4,0,0.672380952
2085,1,14.6,0.95,0.593162393
1759,7,5.6,0,0.690871369
1731,5,8.8,0,0.523076923
652,2,8.7,0,0.66468254
500,2,11.7,0,0.596119929
411,2,6.2,0,0.644444444
315,1,4.2,0,0.563492063
622,4,7.7,0,0.692460317
1753,6,7.7,0,0.65560166
393,6,10.6,0,0.557264957
1358,5,5.2,0,0.703703704
1158,4,7.7,0,0.746534653
1185,5,7.8,0.52,0.630769231
1870,2,7.4,0.01,0.652777778
1204,3,5.8,0,0.779761905
1163,4,8.5,0.7,0.693333333
1264,6,9,0.33,0.884920635
2089,6,5.1,0,0.670124481
689,2,9.8,0,0.718095238
93,6,11.2,0.02,0.575396825
959,5,8.6,0.05,0.742857143
2070,2,7,0,0.60990099
121,2,13.6,0,0.502645503
665,5,12.6,0,0.72
1684,6,5.8,0,0.650793651
636,1,13.2,0.33,0.669306931
2058,7,2.7,0,0.655445545
539,5,15.7,0.88,0.744761905
1106,5,5.9,0.05,0.680776014
455,5,8,0.03,0.613333333
981,6,5.8,0.09,0.646153846
621,2,5.1,0.03,0.658119658
1051,1,9.4,0.13,0.794605809
1332,5,6.3,0.07,0.803960396
1330,3,4.2,0,0.658730159
1875,1,3.4,0,0.564102564
972,1,8.7,0.1,0.736633663
137,2,10.1,0.29,0.673267327
2134,4,8.5,0,0.609126984
303,6,11.8,0,0.567460317
1131,3,7.2,0.05,0.569230769
1810,6,10.7,0,0.819444444
1085,5,6,0.21,0.685714286
1346,3,6.9,0.01,0.733686067
1143,5,4.3,0,0.579487179
1363,4,7.9,0.45,0.742738589
291,4,9.5,0,0.607142857
760,6,12.2,0,0.682539683
2125,5,3.7,0,0.643153527
1958,7,10.1,0.01,0.599647266
903,7,15.6,0.77,0.524786325
777,7,7.7,0.18,0.567521368
1916,7,6.4,0,0.552028219
1843,7,8,0,0.742738589
1437,5,4.9,0,0.611965812
1608,2,7.7,0.52,0.627722772
1047,3,5,0,0.594871795
1340,2,11,0.15,0.596119929
1057,2,11.4,0.05,0.807053942
2129,4,7.5,0,0.636190476
103,6,8.1,0,0.552028219
1814,4,4.9,0,0.661375661
1691,1,3.2,0,0.693333333
1793,4,7.5,0,0.68952381
1349,7,3.2,0,0.655238095
890,4,8.5,0.68,0.608465608
604,1,9.7,0.12,0.626984127
365,4,10,0.05,0.540952381
2033,2,22.4,0.01,0.674285714
1416,5,8.8,0,0.685148515
60,4,6.8,0,0.657676349
1927,7,6.2,0,0.68879668
586,5,10.3,0.01,0.55952381
1912,2,3,0,0.628968254
1988,5,7.5,0,0.499118166
791,5,6.3,0,0.79047619
1150,1,9.2,0,0.628968254
456,6,9.7,0.14,0.691089109
1097,7,7.4,0,0.683809524
2000,7,11.8,0,0.650793651
347,2,11.1,0,0.645544554
1839,2,5.7,0,0.598290598
1878,5,7.7,0.04,0.657425743
478,1,4.8,0,0.638888889
608,6,10.5,0,0.747795414
752,2,11.5,0,0.689594356
1851,4,10.1,0,0.634188034
861,7,5.4,0.01,0.555555556
1447,4,10.6,0,0.838174274
893,1,10.6,0.01,0.723809524
331,2,8.7,0,0.546737213
2029,3,11.4,0,0.709543568
1136,3,6.4,0,0.774250441
377,6,9,0,0.548571429
1329,1,4.8,0,0.639316239
1009,1,6.7,0.09,0.755186722
1835,4,4.9,0.34,0.638095238
1804,5,7.2,0,0.712301587
610,2,7.6,0,0.652777778
447,1,11.7,0,0.637606838
831,2,10.5,0,0.61025641
163,2,9.2,0,0.48324515
738,4,6.4,0.45,0.708910891
1073,3,10.6,0,0.695238095
495,2,9.1,0.08,0.548717949
401,3,19.4,0,0.584761905
1254,6,4.8,0,0.744554455
1440,2,12.8,0,0.76039604
1719,3,6.6,0,0.641025641
997,6,9.5,0.04,0.7406639
282,6,7.6,0,0.647302905
846,1,5.8,0.12,0.702970297
1417,6,8.7,0,0.7593361
337,3,12.9,0,0.57319224
1248,5,8.3,0,0.764356436
776,6,6.6,0.59,0.613756614
1577,3,7.3,0.07,0.761904762
2114,5,4.1,0,0.67372134
673,1,10.5,0,0.661825726
2179,7,10.7,0.76,0.701244813
585,3,7.6,0.04,0.603418803
866,7,3.5,0,0.634920635
504,7,13.4,0,0.611881188
716,3,8.2,0.07,0.666666667
1844,2,14.8,0.02,0.636684303
741,1,8.4,0.2,0.625641026
1661,3,9.2,0.12,0.624761905
548,3,9,0,0.668430335
1625,4,7.8,0,0.666666667
1859,1,10.3,0.01,0.63047619
2003,4,8.8,0,0.662857143
2078,6,7.5,0,0.641975309
698,7,13.8,0.01,0.562610229
646,1,4.8,0,0.676587302
1376,1,5.4,0,0.647266314
357,7,5.1,0,0.593162393
1569,6,9.6,1.7,0.622222222
1091,6,8.8,0.01,0.80952381
2112,2,4.5,0,0.615841584
1559,7,7.1,0,0.683809524
1015,2,4.1,0,0.705394191
1861,3,8.4,0,0.626556017
1462,4,10.7,0,0.886904762
677,7,4,0,0.647619048
1755,2,11.5,0,0.618803419
2158,1,14.4,0.26,0.579365079
536,1,11.7,0,0.590828924
223,5,9.6,0,0.569664903
1678,5,9.3,0.7,0.771825397
1184,4,3.9,0,0.657848325
602,5,4.5,0,0.60670194
514,7,7.2,0,0.593253968
307,5,22.8,0.5,0.567901235
463,1,6.1,0,0.67219917
128,4,4.8,0,0.618803419
877,7,6.2,0,0.767634855
979,3,9,0,0.736514523
1652,5,12,0.72,0.590828924
389,1,15.3,0,0.628571429
1971,3,9.3,0,0.500854701
772,1,9.2,0,0.746031746
685,3,4.9,0,0.690871369
911,4,5.3,0,0.817142857
124,6,7.1,0.01,0.64952381
1193,2,3.3,0,0.702857143
1081,6,5.7,0.45,0.834024896
794,2,10.4,0.17,0.64021164
786,5,12,0.04,0.669306931
435,6,8.2,0,0.582905983
119,6,10.4,0,0.651485149
823,5,9.2,0.28,0.771784232
1931,6,12.2,0.53,0.611428571
176,5,9.2,0,0.582905983
1272,2,6.7,0,0.778217822
855,6,6.7,0,0.647863248
836,2,10.6,0,0.633156966
2053,7,10.1,0,0.622406639
519,6,6.2,0,0.533333333
1105,3,6,1.34,0.753112033
375,3,10.4,0.06,0.499145299
1209,2,7.4,0,0.639316239
1809,4,15.2,0.06,0.533333333
533,4,12.2,1.33,0.615238095
1316,5,9.3,0,0.62962963
1203,1,5.8,0,0.697435897
1339,7,6.8,0,0.794605809
734,6,12.8,0.04,0.622574956
1183,2,7.1,0.07,0.744813278
781,5,8.8,0,0.77593361
1797,2,9.6,0,0.552136752
1166,1,6.7,0.04,0.684303351
641,1,5,0,0.643809524
1046,2,6,0.13,0.69664903
927,4,7.2,0,0.623931624
426,1,7.7,0,0.601980198
792,6,10.5,0.02,0.588118812
2098,5,7.2,0,0.656746032
1847,6,8.3,0,0.678095238
1360,1,6.7,0,0.744047619
864,4,5.3,0,0.805940594
428,4,7.8,0.13,0.611992945
1241,3,6.8,0,0.657142857
2030,5,4.7,0,0.686067019
593,7,13.5,0,0.697142857
1917,1,8.8,0,0.613675214
2042,7,7.3,0,0.537918871
1055,7,11,0,0.68952381
313,6,10.6,0,0.507936508
1948,1,4.5,0,0.636904762
2079,7,8,0.05,0.502564103
434,5,14.3,0,0.661375661
