,day,sndp,temp,total_num_of_crimes
1588,4,0,75,0.740079365
845,7,0,62.1,0.63047619
681,5,0,47.5,0.67008547
1545,2,0,73.7,0.683760684
1492,2,0,83.8,0.765873016
2022,1,0,34.8,0.762376238
1177,1,0,82.3,0.771784232
1680,7,0,59.2,0.62970297
500,2,0,27.9,0.596119929
1451,3,0,70.3,0.699047619
1268,4,0,73,0.69664903
951,1,0,74.9,0.560683761
177,6,0,39.9,0.619047619
926,3,0,67,0.647266314
322,4,0,51.6,0.603809524
1496,7,0,69.3,0.670194004
1744,2,0,74.3,0.746031746
2086,3,3.1,11.7,0.557539683
906,4,0,77.7,0.833663366
1958,7,0,52.2,0.599647266
421,1,0,33.3,0.678423237
1866,3,0,38.5,0.631683168
339,5,0,32.7,0.674603175
1011,4,0,74.5,0.661538462
1000,4,0,75.2,0.78968254
962,2,0,63.3,0.564373898
1614,3,0,61.5,0.693069307
594,1,1.2,34.5,0.641584158
758,3,0,63.8,0.656084656
1671,2,0,60.8,0.627350427
1096,6,0,67.9,0.688492063
1946,5,0,22.9,0.610229277
965,6,0,76.1,0.68
447,1,0,61.3,0.637606838
280,4,0,35.1,0.552380952
472,7,0,38.8,0.617063492
1463,5,0,64.5,0.765714286
616,3,0,44.7,0.658730159
1234,1,0,79.6,0.78968254
1831,5,2,33.1,0.798755187
1349,7,0,69.3,0.655238095
502,5,0,35.8,0.670634921
1198,2,0,79.6,0.833333333
1438,7,0,78.5,0.757936508
504,7,0,34.6,0.611881188
1591,7,0,73.2,0.641078838
96,3,2,32.4,0.678423237
507,4,0,39.7,0.555555556
1698,3,0,72.9,0.689108911
689,2,0,66.4,0.718095238
901,4,0,66.9,0.697095436
1602,1,0,65.1,0.742574257
2106,1,0,35.6,0.621782178
1691,1,0,67.5,0.693333333
176,5,0,29.7,0.582905983
1066,1,0,81.9,0.746031746
1725,4,0,57.3,0.67008547
1629,2,0,67.6,0.576068376
1677,3,0,62.3,0.586324786
1723,1,0,46.5,0.699170124
750,6,0,70.7,0.774257426
909,1,0,53.5,0.782905983
1202,7,0,74.8,0.668430335
1019,1,0,70.7,0.678095238
1317,6,0,78.1,0.663247863
998,1,0,80.1,0.758377425
387,5,3.9,14.7,0.558974359
2148,1,0,30.3,0.588118812
1971,3,1.2,44.7,0.500854701
1471,1,0,71.3,0.782157676
1552,5,0,74.1,0.732142857
393,6,2,34.1,0.557264957
586,5,0,38.9,0.55952381
1788,4,0,44.9,0.633663366
154,4,0,34.3,0.592380952
42,1,0,45.6,0.639004149
1840,4,0,57.8,0.716269841
1045,7,0,74.2,0.738589212
295,3,3.9,38.2,0.596119929
279,2,1.2,29.2,0.569444444
1835,4,0,47.6,0.638095238
2027,1,0,57.1,0.71047619
134,5,0,31.7,0.675213675
1409,3,0,69.5,0.691428571
121,2,5.1,12.2,0.502645503
727,3,0,52.9,0.807053942
1920,5,0,34.2,0.681188119
139,5,3.1,6,0.525573192
375,3,3.9,26.6,0.499145299
757,1,0,60.7,0.821576763
1715,5,0,62.1,0.676190476
86,4,3.1,23.5,0.664957265
893,1,0,70.1,0.723809524
1125,2,0,69,0.594871795
782,7,0,71.2,0.652557319
597,5,0,54.5,0.613675214
1586,1,0,57.5,0.686067019
2001,1,0,42.1,0.569230769
1055,7,0,65.4,0.68952381
311,3,0,32.8,0.62970297
404,7,0,28.9,0.507936508
763,2,0,47.4,0.692946058
1067,2,0,65.3,0.746666667
847,2,0,49.5,0.721991701
1597,1,0,68.8,0.717842324
547,1,0,36.5,0.782157676
1093,1,0,79.2,0.919087137
1446,3,0,72.2,0.669306931
1413,1,0,67.4,0.579487179
776,6,0,64.2,0.613756614
1962,5,0,40.8,0.673267327
419,6,0,24,0.542857143
136,1,0,40.7,0.691428571
1765,1,0,58.3,0.699170124
476,5,0,42.1,0.679012346
1916,7,0,30.2,0.552028219
606,3,0,48.5,0.76039604
683,1,0,57.7,0.662857143
1992,3,2,22.1,0.663366337
1747,5,0,49.2,0.67219917
744,5,0,67.9,0.772277228
514,7,0,50.2,0.593253968
113,5,1.2,32.6,0.635643564
1846,5,0,54.9,0.75
