day,year,mo,da,crime_date,temp,dewp,slp,visib,wdsp,mxpsd,gust,max,min,prcp,sndp,fog,rain_drizzle,snow_ice_pellets,thunder,total_num_of_crimes
5,2014,9,19,19/09/2014,65.4,51.1,1019.5,9.7,7.9,13,22,75.9,53.1,0,0,0,0,0,0,403
6,2015,9,19,19/09/2015,66.8,56.8,1011.7,8.7,9.6,20,27,79,59,1.7,0,0,1,0,1,364
1,2016,9,19,19/09/2016,74.9,55,1015.1,10,7.6,15,22,89.1,63,0,0,0,0,0,0,334
2,2017,9,19,19/09/2017,70.3,63.6,1013.5,7.7,5.7,9.9,999.9,78.1,66,0.16,0,0,1,0,0,342
3,2018,9,19,19/09/2018,71.1,61.7,1015.4,10,8.7,14,19,79,66.9,0,0,0,1,0,0,367
4,2019,9,19,19/09/2019,74.3,58,1017.5,10,5.8,8.9,999.9,84.9,64,0,0,0,0,0,0,395
6,2014,9,20,20/09/2014,69.8,57.9,1011.7,10,10.8,15.9,22.9,80.1,57,0,0,0,1,0,0,387
7,2015,9,20,20/09/2015,62.4,48.6,1020.8,10,3.2,8,999.9,72,53.1,0.04,0,0,0,0,0,356
2,2016,9,20,20/09/2016,77.3,55.2,1018.6,10,7.8,13,15.9,84.9,71.1,0,0,0,0,0,0,381
3,2017,9,20,20/09/2017,76.7,65.5,1011.7,9.4,7.3,14,22.9,91.9,66,0.07,0,0,0,0,0,400
4,2018,9,20,20/09/2018,78.1,67.1,1012.5,8.1,6.6,15.9,26,95,68,0,0,0,0,0,0,393
5,2019,9,20,20/09/2019,76,65.1,1018.1,9.8,3.7,7,999.9,86,69.1,0.01,0,0,1,0,0,380
7,2014,9,21,21/09/2014,65.4,56.9,1010.1,9.9,11.4,21,28.9,73,60.1,0.12,0,0,1,0,1,386
1,2015,9,21,21/09/2015,64.5,48.8,1020.1,10,5.6,9.9,999.9,73,53.1,0,0,0,0,0,0,341
3,2016,9,21,21/09/2016,73.1,62.1,1019.8,10,7.5,19,24.1,78.1,68,0,0,0,1,0,1,347
4,2017,9,21,21/09/2017,84,66.9,1013.4,10,5.9,11.1,14,95,73.9,0,0,0,0,0,0,340
5,2018,9,21,21/09/2018,78.4,61.1,1010.3,10,14.2,18.1,32.1,91.9,68,0,0,0,0,0,0,389
6,2019,9,21,21/09/2019,76.6,67.9,1017.7,10,9,15.9,29.9,82.9,73,0,0,0,1,0,0,357
1,2014,9,22,22/09/2014,57.5,45.1,1022.9,10,6.2,9.9,999.9,70,48,0,0,0,0,0,0,389
2,2015,9,22,22/09/2015,67.8,50.7,1020.8,10,4.8,8.9,999.9,81,55.9,0,0,0,0,0,0,353
4,2016,9,22,22/09/2016,75,62.4,1017.1,10,3.8,7,999.9,84.9,68,0.24,0,0,0,0,0,373
5,2017,9,22,22/09/2017,85.2,67.3,1015.8,10,6,11.1,15,95,75,0,0,0,0,0,0,374
6,2018,9,22,22/09/2018,60.3,44,1024.5,10,10.7,18.1,24.1,68,55.9,0,0,0,0,0,0,378
7,2019,9,22,22/09/2019,73.2,68,1013.3,8.7,10.1,17.1,25.1,78.1,71.1,0.55,0,0,1,0,1,309
2,2014,9,23,23/09/2014,61.8,46.1,1025.7,10,5.1,8.9,999.9,75.9,48,0,0,0,0,0,0,391
3,2015,9,23,23/09/2015,70.6,51,1023.2,10,4.6,11.1,999.9,81,57,0,0,0,0,0,0,388
5,2016,9,23,23/09/2016,74,65.5,1017,8.8,6.5,12,999.9,84,71.1,0,0,0,0,0,0,359
6,2017,9,23,23/09/2017,84.4,66.5,1016.3,10,5.3,12,999.9,95,75,0,0,0,0,0,0,385
7,2018,9,23,23/09/2018,61.2,49.1,1021.4,10,5,11.1,15.9,70,53.1,0,0,0,0,0,0,345
1,2019,9,23,23/09/2019,68.8,58.2,1013.7,9.8,9.5,15,27,75,62.1,0.5,0,0,1,0,0,346
3,2014,9,24,24/09/2014,65.5,49.8,1026.1,10,5.3,8.9,15,77,50,0,0,0,0,0,0,407
4,2015,9,24,24/09/2015,69.7,55.7,1023.5,10,6,9.9,999.9,80.1,61,0,0,0,0,0,0,346
6,2016,9,24,24/09/2016,70.8,62.7,1020.1,9.6,9.3,12,999.9,75.9,66.9,0,0,0,0,0,0,391
7,2017,9,24,24/09/2017,82.3,63.6,1016.6,10,5.7,11.1,15,91.9,73,0,0,0,0,0,0,348
1,2018,9,24,24/09/2018,65.1,56.9,1017.4,8.9,6.7,9.9,15.9,71.1,57.9,0,0,0,1,0,0,375
2,2019,9,24,24/09/2019,68.1,55.2,1014.2,10,8.2,15,25.1,80.1,57.9,0,0,0,0,0,0,348
4,2014,9,25,25/09/2014,66.8,53.7,1024.4,10,3.3,7,999.9,78.1,54,0,0,0,0,0,0,360
5,2015,9,25,25/09/2015,69.6,57.8,1023,10,7.1,13,999.9,78.1,62.1,0,0,0,0,0,0,386
7,2016,9,25,25/09/2016,74,62,1017,10,7.4,11.1,19,86,64.9,0,0,0,1,0,1,384
1,2017,9,25,25/09/2017,81.1,58.7,1014.2,10,5.6,14,999.9,91.9,71.1,0,0,0,0,0,0,385
2,2018,9,25,25/09/2018,73.2,65.2,1010.8,8.3,7.7,22,42,84,68,0.52,0,0,1,0,1,317
3,2019,9,25,25/09/2019,70.8,57,1006.8,10,11.8,15,25.1,80.1,66,0,0,0,1,0,0,323
5,2014,9,26,26/09/2014,69.1,54.5,1023.3,9.9,3.9,11.1,999.9,81,57.9,0,0,0,0,0,0,410
6,2015,9,26,26/09/2015,69.2,57.5,1022.9,10,7.6,13,999.9,75.9,61,0,0,0,0,0,0,362
1,2016,9,26,26/09/2016,67.8,46.2,1013.8,10,12.7,20,28,82,60.1,0.03,0,0,1,0,0,365
2,2017,9,26,26/09/2017,82,59.4,1012.4,10,7.5,15,19,93,72,0,0,0,0,0,0,365
3,2018,9,26,26/09/2018,61.5,48.1,1016.4,10,9.3,14,22.9,68,51.1,0.24,0,0,0,0,0,350
4,2019,9,26,26/09/2019,66.8,45.8,1012,10,9.3,12,21,75,57,0,0,0,1,0,0,322
6,2014,9,27,27/09/2014,69.6,56.5,1022.9,10,4.5,8.9,999.9,79,61,0,0,0,0,0,0,421
7,2015,9,27,27/09/2015,70.1,58.7,1019.1,10,6.5,8.9,999.9,75.9,61,0,0,0,1,0,0,357
2,2016,9,27,27/09/2016,62.4,34.6,1010.2,10,11.4,22,28.9,72,53.1,0.02,0,0,0,0,0,353
3,2017,9,27,27/09/2017,70.8,54.9,1016.6,10,10.1,15,18.1,87.1,64,0,0,0,0,0,0,346
4,2018,9,27,27/09/2018,59,42.9,1017.8,10,6.1,12,18.1,69.1,48,0,0,0,0,0,0,304
5,2019,9,27,27/09/2019,64.7,50.4,1010,8.8,8.5,18.1,29.9,70,60.1,0,0,0,1,0,1,304
7,2014,9,28,28/09/2014,68.9,57.9,1020.2,9.3,3.5,8,999.9,79,57.9,0,0,0,0,0,0,394
1,2015,9,28,28/09/2015,72.4,62.9,1015.2,10,5.2,8,999.9,81,66.9,0,0,0,0,0,0,358
3,2016,9,28,28/09/2016,57.3,45.9,1009.8,9.7,9.4,20,28,66,52,0.01,0,0,1,0,1,301
4,2017,9,28,28/09/2017,62.9,44.6,1021.2,10,7.8,14,999.9,73,54,0,0,0,0,0,0,350
5,2018,9,28,28/09/2018,58.2,43.8,1017.6,9.9,6.8,11.1,18.1,66.9,51.1,0,0,0,1,0,0,361
6,2019,9,28,28/09/2019,63.6,61.2,1015.3,5.7,9.3,17.1,27,71.1,59,1.54,0,0,1,0,1,313
1,2014,9,29,29/09/2014,69.6,57.7,1016,9.8,4.5,15,24.1,84,57.9,0,0,0,0,0,0,363
2,2015,9,29,29/09/2015,67.6,58.6,1014.5,9.8,9.3,19,27,81,60.1,0,0,0,1,0,0,337
4,2016,9,29,29/09/2016,62.7,56,1019.4,8.6,13.7,21,27,66.9,55.4,0.52,0,0,1,0,0,318
5,2017,9,29,29/09/2017,64.3,46.4,1021,10,9.6,15,20,70,60.1,0,0,0,0,0,0,361
6,2018,9,29,29/09/2018,51.2,38,1026.6,10,4.9,8.9,999.9,60.1,42.1,0.05,0,0,0,0,0,284
7,2019,9,29,29/09/2019,64.1,60.7,1020.9,8.3,9,13,21,69.8,60.1,0.73,0,0,1,0,1,326
2,2014,9,30,30/09/2014,56.9,50.6,1016.3,9,11.5,17.1,24.1,64,51.1,0,0,0,1,0,0,375
3,2015,9,30,30/09/2015,59.2,44.2,1021.3,10,15.2,20,26,72,55.9,0,0,0,0,0,0,335
5,2016,9,30,30/09/2016,63.3,58.2,1019.6,7.8,12.5,18.1,24.1,66,61,0.72,0,0,1,0,0,350
6,2017,9,30,30/09/2017,61.8,45.3,1028.1,10,9.5,17.1,21,66,57,0,0,0,0,0,0,317
7,2018,9,30,30/09/2018,59.3,49.4,1022.5,9.9,6.8,11.1,999.9,68,54,0.03,0,0,1,0,0,323
1,2019,9,30,30/09/2019,73.9,67.4,1016.3,7,6.6,15.9,25.1,87.1,64.9,0.1,0,1,0,0,0,355
3,2014,10,1,01/10/2014,61,49.6,1015.2,10,7.3,13,999.9,73,51.1,0,0,0,1,0,0,486
4,2015,10,1,01/10/2015,57.4,41.3,1024.9,10,16.8,25.1,33,63,54,0,0,0,0,0,0,416
6,2016,10,1,01/10/2016,62.1,57.4,1016.1,9.1,6.2,12,999.9,64.9,59,0.1,0,0,1,0,0,388
7,2017,10,1,01/10/2017,61.5,41.3,1024.2,10,8.2,13,20,72,52,0,0,0,0,0,0,382
1,2018,10,1,01/10/2018,62.5,56,1020.8,9.1,7.1,11.1,999.9,73.9,57,0.01,0,0,1,0,0,420
2,2019,10,1,01/10/2019,79.7,68.6,1012.5,10,8.2,11.1,19,88,72,0,0,0,0,0,0,422
4,2014,10,2,02/10/2014,69.8,59.9,1010.4,9.8,7.1,11.1,999.9,75,52,0,0,0,1,0,0,390
5,2015,10,2,02/10/2015,56.6,40,1026.3,10,19.1,24.1,29.9,62.1,53.1,0,0,0,0,0,0,370
7,2016,10,2,02/10/2016,61.9,56.7,1017,8.4,6,8.9,999.9,66.9,57.9,1.29,0,0,0,0,0,297
1,2017,10,2,02/10/2017,70.5,47.5,1020,10,9,15,20,82.9,61,0,0,0,0,0,0,315
2,2018,10,2,02/10/2018,64.1,58.4,1017.3,8.9,5.6,17.1,28.9,75.9,59,1.39,0,0,1,0,1,316
3,2019,10,2,02/10/2019,68.3,63,1011.5,7.2,8.6,12,22.9,84.9,60.1,0,0,0,1,0,0,342
5,2014,10,3,03/10/2014,61.9,55.7,1004.1,8.1,12,22,34,75,51.1,0.72,0,0,1,0,1,335
6,2015,10,3,03/10/2015,52.9,39.1,1023.4,9.6,17.7,22,28.9,59,50,0.02,0,0,1,0,0,350
1,2016,10,3,03/10/2016,63.7,55.8,1018.6,9.9,3.9,8,999.9,66.9,61,0,0,0,0,0,0,361
2,2017,10,3,03/10/2017,72.2,59.5,1022.5,9.3,10.7,14,21,79,66.9,0,0,0,1,0,0,325
3,2018,10,3,03/10/2018,71.3,60.5,1012.4,9.8,10.9,24.1,34,88,60.1,0.18,0,0,0,0,0,289
4,2019,10,3,03/10/2019,63.1,57.8,1015.4,7.7,8.2,17.1,25.1,70,59,0.59,0,0,1,0,1,343
6,2014,10,4,04/10/2014,44.5,33.8,1007.4,9.7,13.5,18.1,27,48.9,37.9,0.1,0,0,1,1,0,334
7,2015,10,4,04/10/2015,53.4,46.3,1022,10,13,20,27,60.1,48.9,0.02,0,0,1,0,0,288
2,2016,10,4,04/10/2016,66.7,56.1,1017.1,10,7,12,17.1,75,61,0,0,0,0,0,0,329
3,2017,10,4,04/10/2017,70.7,63.3,1024.1,9.5,9.2,15,19,75,66,0.12,0,0,1,0,0,328
4,2018,10,4,04/10/2018,66.2,53.8,1013.6,9.8,14.8,21,33,84.9,53.1,0.06,0,0,1,0,0,299
5,2019,10,4,04/10/2019,54.1,44.9,1026.6,10,9.6,14,999.9,59,48,0.18,0,0,0,0,0,329
7,2014,10,5,05/10/2014,48,34.8,1006.8,10,9.9,18.1,24.1,55.9,37,0.05,0,0,0,0,0,327
1,2015,10,5,05/10/2015,58.4,53.2,1021.4,7.4,7.4,12,999.9,61,51.1,0,0,0,0,0,0,364
3,2016,10,5,05/10/2016,72.2,57.4,1013.4,10,9.4,14,22.9,82,64.9,0,0,0,0,0,0,360
4,2017,10,5,05/10/2017,65.9,51.9,1021.7,10,4.4,8.9,999.9,75.9,55.9,0.06,0,0,0,0,0,311
5,2018,10,5,05/10/2018,58.3,52,1017.1,7.7,8.3,15,22,66,53.1,0.24,0,0,1,0,0,294
6,2019,10,5,05/10/2019,56,46,1021.5,9.6,8.9,13,21,64.9,48.9,0,0,0,1,0,0,342
1,2014,10,6,06/10/2014,55,41.2,1002.7,10,9,18.1,22,63,42.1,0.01,0,0,1,0,0,324
2,2015,10,6,06/10/2015,60.8,54.1,1020.6,6.7,5.7,8,999.9,68,57,0,0,0,1,0,0,367
4,2016,10,6,06/10/2016,67.8,60.6,1017.3,8.3,3.5,8.9,15.9,75,61,0.06,0,0,1,0,1,344
5,2017,10,6,06/10/2017,65.2,61.7,1015.6,4.4,5.7,12,15.9,72,62.1,0.13,0,0,1,0,0,328
6,2018,10,6,06/10/2018,64.9,61.3,1014.9,6.5,6.9,14,18.1,73,59,1.26,0,0,1,0,1,322
7,2019,10,6,06/10/2019,60.3,47.3,1016.6,10,8.3,15,20,69.1,51.1,0.28,0,0,1,0,0,312
2,2014,10,7,07/10/2014,57.2,42.7,1004.5,10,9.8,19,24.1,69.1,48,0,0,0,0,0,0,356
3,2015,10,7,07/10/2015,62.3,53.8,1019.7,8.5,5.5,12,999.9,73,55.9,0,0,0,0,0,0,343
5,2016,10,7,07/10/2016,67,56.7,1016.7,10,9.3,15,20,73,57.9,0.7,0,0,0,0,0,389
6,2017,10,7,07/10/2017,70.5,61.4,1004.4,8.6,13,24.1,42,80.1,62.1,0.19,0,0,1,0,0,317
7,2018,10,7,07/10/2018,59.2,53.9,1021.1,9.2,8.6,13,20,61,57,0.19,0,0,1,0,0,318
1,2019,10,7,07/10/2019,60.1,43.3,1021,10,7,12,20,71.1,48,0,0,0,0,0,0,334
3,2014,10,8,08/10/2014,57.5,38.1,1013.8,10,9.8,17.1,26,69.1,48,0,0,0,0,0,0,353
4,2015,10,8,08/10/2015,64.5,52.1,1016.3,10,7.7,14,20,79,55,0,0,0,0,0,0,294
6,2016,10,8,08/10/2016,54.1,37.6,1024.1,10,5.8,9.9,999.9,66,44.1,0,0,0,0,0,0,328
7,2017,10,8,08/10/2017,65.5,53.6,1007,10,9.4,18.1,31.1,80.1,55.9,0.44,0,0,0,0,0,324
1,2018,10,8,08/10/2018,70.9,64.1,1017,6.6,8.2,15,26,84.9,61,0.84,0,0,1,0,1,332
2,2019,10,8,08/10/2019,59.8,43,1022.5,10,3,8,999.9,71.1,48,0,0,0,0,0,0,350
4,2014,10,9,09/10/2014,56.6,35.7,1018.2,10,6.3,8.9,999.9,66.9,48,0,0,0,0,0,0,315
5,2015,10,9,09/10/2015,62,50.4,1017.2,9.9,10.9,15,21,79,55,0,0,0,1,0,1,351
7,2016,10,9,09/10/2016,56.7,44.8,1026.1,10,6.2,12,999.9,63,50,0,0,0,0,0,0,303
1,2017,10,9,09/10/2017,67.5,51.8,1010.1,10,3.2,8,999.9,82,55,0,0,0,0,0,0,364
2,2018,10,9,09/10/2018,77.3,65.2,1014.5,10,8,14,21,86,71.1,0.12,0,0,0,0,0,359
3,2019,10,9,09/10/2019,61.7,45,1020.4,10,7.5,12,15.9,72,53.1,0,0,0,0,0,0,351
5,2014,10,10,10/10/2014,52.2,40.8,1020.9,10,4.4,9.9,999.9,64,44.1,0,0,0,0,0,0,354
6,2015,10,10,10/10/2015,55.6,42.6,1021.9,10,5,11.1,999.9,66.9,45,0,0,0,0,0,0,345
1,2016,10,10,10/10/2016,59.8,44.9,1026.7,10,5.6,8,999.9,73,50,0,0,0,0,0,0,349
2,2017,10,10,10/10/2017,63.9,57,1018.4,9.4,11.8,17.1,21,72,59,0,0,0,1,0,0,326
3,2018,10,10,10/10/2018,72.9,64.2,1006.6,9.2,10.6,15.9,25.1,80.1,68,0.09,0,1,1,0,0,348
4,2019,10,10,10/10/2019,62.9,52.5,1017.4,9.9,7,13,20,71.1,54,0,0,0,1,0,0,308
6,2014,10,11,11/10/2014,51,35.7,1022.8,10,4.1,11.1,15.9,60.1,39.9,0,0,0,0,0,0,361
7,2015,10,11,11/10/2015,63.3,45.4,1010.8,10,9.8,15.9,24.1,80.1,45,0,0,0,0,0,0,350
2,2016,10,11,11/10/2016,66.5,48.3,1021.6,10,8,14,22,75.9,60.1,0,0,0,1,0,0,341
3,2017,10,11,11/10/2017,59.5,56.5,1015.6,4.4,13.7,22.9,29.9,63,57,0.99,0,0,1,0,0,306
4,2018,10,11,11/10/2018,51.3,38.6,1011.3,10,15.3,21,31.1,69.1,43,1.11,0,0,0,0,0,289
5,2019,10,11,11/10/2019,60,54.8,1012,8.9,11.1,17.1,27,71.1,43,0.11,0,0,1,0,0,328
7,2014,10,12,12/10/2014,53.9,39.3,1018.6,10,7.8,15.9,20,64,39.9,0,0,0,1,0,0,326
1,2015,10,12,12/10/2015,68.2,47.1,1000.6,10,12.6,21,35.9,80.1,53.1,0,0,0,0,0,0,341
3,2016,10,12,12/10/2016,63.8,53.4,1015.1,8.7,10,17.1,22.9,72,52,0.01,0,0,1,0,1,340
4,2017,10,12,12/10/2017,58.1,53.5,1020.9,9.2,6.9,13,999.9,60.1,57,0.16,0,0,1,0,0,333
5,2018,10,12,12/10/2018,40.2,30.9,1017,9.9,6.9,11.1,19,46.9,36,0,0,0,1,0,0,299
6,2019,10,12,12/10/2019,44.2,26.8,1015.9,10,14.2,21,33,55,37,0.45,0,0,0,0,0,343
1,2014,10,13,13/10/2014,62.9,58.9,1009.3,5.8,7,15,21,71.1,45,0.01,0,0,1,0,1,335
2,2015,10,13,13/10/2015,57.5,40.5,1003.9,10,10.7,18.1,26,77,51.1,0,0,0,0,0,0,350
4,2016,10,13,13/10/2016,49.6,37,1025.2,10,6.6,14,19,57.9,41,0.5,0,0,1,0,0,328
5,2017,10,13,13/10/2017,62.1,55.4,1019.5,8.3,6.2,9.9,999.9,73.9,54,0,0,0,0,0,0,355
6,2018,10,13,13/10/2018,41.6,33.3,1016.3,8.9,7.3,13,17.1,53.1,34,0,0,0,0,0,0,323
7,2019,10,13,13/10/2019,48.1,32.4,1010.8,10,12.2,20,28.9,55.9,37.9,0,0,0,0,0,0,303
2,2014,10,14,14/10/2014,64.7,61.3,999.2,6.8,8.3,15,22.9,71.1,59,0.48,0,0,1,0,0,359
3,2015,10,14,14/10/2015,54.4,38.7,1013.6,10,6.6,9.9,999.9,64.9,45,0,0,0,0,0,0,375
5,2016,10,14,14/10/2016,53.9,40.3,1024.6,10,5.3,12,19,68,43,0,0,0,0,0,0,404
6,2017,10,14,14/10/2017,64.6,61.3,1016.3,5,5,9.9,999.9,73,62.1,0,0,1,1,0,1,291
7,2018,10,14,14/10/2018,47.9,37.9,1016.9,10,5.3,11.1,15,57.9,39.9,0,0,0,0,0,0,297
1,2019,10,14,14/10/2019,46.5,31.6,1017.2,10,7.4,14,21,55,39,0,0,0,0,0,0,337
3,2014,10,15,15/10/2014,54.9,52.5,1006,5.3,8.4,15,21,66.9,53.1,1.2,0,0,1,0,0,385
4,2015,10,15,15/10/2015,57.3,35.1,1015.8,10,9.5,18.1,28,71.1,45,0,0,0,0,0,0,392
6,2016,10,15,15/10/2016,61.4,53,1016.9,9.1,10,14,22.9,71.1,54,0,0,0,0,0,0,356
7,2017,10,15,15/10/2017,60.9,55.7,1012.4,8.7,12.9,27,42.9,68,52,5.2,0,0,1,0,1,296
1,2018,10,15,15/10/2018,44.5,34.1,1020.3,8.8,10.5,15.9,24.1,53.1,37.9,0.17,0,0,1,0,0,317
2,2019,10,15,15/10/2019,52.3,41.4,1013.8,9.6,8,17.1,25.1,66,42.1,0,0,0,1,0,0,355
4,2014,10,16,16/10/2014,55.4,52.1,1009.4,6.7,7.6,11.1,999.9,57.9,53.1,0.01,0,0,1,0,0,345
5,2015,10,16,16/10/2015,51.1,28.9,1023,10,8.8,15,22.9,71.1,44.1,0,0,0,0,0,0,306
7,2016,10,16,16/10/2016,69.4,62.5,1012.1,8.6,7.8,14,21,72,64.9,0.54,0,0,1,0,1,359
1,2017,10,16,16/10/2017,52.3,40.1,1025,10,7.1,13,999.9,63,43,0.31,0,0,0,0,0,352
2,2018,10,16,16/10/2018,44,29.2,1022.1,10,10,21,29.9,57.9,34,0.08,0,0,0,0,0,305
3,2019,10,16,16/10/2019,49.5,36.7,1011.5,10,13.8,21,29.9,62.1,46,0.01,0,0,0,0,0,362
5,2014,10,17,17/10/2014,56.4,49.8,1003.8,10,9.9,15.9,21,63,52,0,0,0,0,0,0,403
6,2015,10,17,17/10/2015,44.8,21.5,1029.2,10,8.5,13,20,55.9,36,0,0,0,0,0,0,314
1,2016,10,17,17/10/2016,73.6,63.9,1004.7,10,12.6,19,28.9,84.9,68,0,0,0,0,0,0,374
2,2017,10,17,17/10/2017,57.4,40.2,1022.3,10,9.9,18.1,24.1,71.1,48.9,0,0,0,0,0,0,332
3,2018,10,17,17/10/2018,47.6,30.2,1023,10,10.4,15,22,54,42.1,0,0,0,0,0,0,304
4,2019,10,17,17/10/2019,47,36.4,1016.9,10,5.3,8.9,999.9,55.9,41,0,0,0,0,0,0,324
6,2014,10,18,18/10/2014,50.3,41.9,1014.8,10,9.3,15.9,19,63,46.9,0.01,0,0,1,0,0,380
7,2015,10,18,18/10/2015,46.8,26.9,1030.8,10,2.8,7,999.9,61,35.1,0,0,0,0,0,0,298
2,2016,10,18,18/10/2016,74.3,59.7,1002.1,10,14.2,22.9,38.1,82,64.9,0,0,0,0,0,0,376
3,2017,10,18,18/10/2017,60,41,1020,10,10.2,19,26,71.1,50,0,0,0,0,0,0,355
4,2018,10,18,18/10/2018,45.5,26.7,1032.2,10,5.8,12,15.9,57.9,34,0,0,0,0,0,0,328
5,2019,10,18,18/10/2019,49.2,38.7,1017.4,10,4.8,11.1,20,60.1,39,0,0,0,0,0,0,324
7,2014,10,19,19/10/2014,45.9,37.3,1021.7,10,6.1,14,20,57,36,0.02,0,0,0,0,0,349
1,2015,10,19,19/10/2015,57.7,29,1022.6,10,13.2,21,28.9,73.9,35.1,0,0,0,0,0,0,382
3,2016,10,19,19/10/2016,62.3,48,1016.7,10,3.5,9.9,999.9,72,53.1,0,0,0,0,0,0,351
4,2017,10,19,19/10/2017,61.1,37.6,1019.5,10,7.2,12,999.9,69.1,53.1,0,0,0,0,0,0,359
5,2018,10,19,19/10/2018,49.1,35.1,1021,9.4,9.7,18.1,27,54,45,0,0,0,1,0,0,360
6,2019,10,19,19/10/2019,56.3,40.2,1010.5,10,7.7,12,22,70,46,0,0,0,0,0,0,316
1,2014,10,20,20/10/2014,55.5,46.1,1011.7,10,8.5,13,999.9,66,36,0,0,0,0,0,0,374
2,2015,10,20,20/10/2015,65,36.3,1017.8,10,11.5,17.1,27,77,46.9,0,0,0,0,0,0,362
4,2016,10,20,20/10/2016,57,47.1,1019.3,10,10.2,17.1,22.9,64,53.1,0,0,0,1,0,0,346
5,2017,10,20,20/10/2017,64.7,46,1020.2,10,7.4,13,999.9,80.1,54,0,0,0,0,0,0,371
6,2018,10,20,20/10/2018,47.4,35.7,1013.2,10,14.5,35,52.1,53.1,37.9,0.06,0,0,1,1,0,351
7,2019,10,20,20/10/2019,56.7,48.1,1010.4,9.8,5.6,9.9,999.9,66,51.1,0,0,0,0,0,0,333
2,2014,10,21,21/10/2014,52.5,42.3,1018.5,10,10.2,15.9,19,66,48.9,0,0,0,0,0,0,374
3,2015,10,21,21/10/2015,66.2,49.5,1018.6,10,10.1,18.1,25.1,77,55,0.09,0,0,1,0,0,385
5,2016,10,21,21/10/2016,49.5,33.8,1021.4,10,11.5,15,20,55,44.1,0,0,0,0,0,0,356
6,2017,10,21,21/10/2017,68.6,51.9,1016.8,10,11.3,18.1,26,78.1,62.1,0,0,0,0,0,0,353
7,2018,10,21,21/10/2018,38.1,20.3,1026.6,10,8.5,20,25.1,50,28,0,0,0,0,0,0,271
1,2019,10,21,21/10/2019,58.3,51.6,1004.3,7.2,12.3,24.1,39,68,50,0,0,1,1,0,0,337
3,2014,10,22,22/10/2014,50.4,38.2,1026.5,10,5.8,12,999.9,55.9,43,0,0,0,0,0,0,335
4,2015,10,22,22/10/2015,61.2,48.1,1022.3,10,7.5,9.9,999.9,77,55.9,0,0,0,0,0,0,362
6,2016,10,22,22/10/2016,48,32.2,1019.4,10,6.2,11.1,15.9,61,37.9,0,0,0,0,0,0,325
7,2017,10,22,22/10/2017,66,56.6,1014.3,8.6,12.5,21,28.9,73.9,52,0,0,0,1,0,0,330
1,2018,10,22,22/10/2018,47.8,30,1018.5,10,6.7,13,18.1,63,37.9,0,0,0,0,0,0,331
2,2019,10,22,22/10/2019,50.8,39.1,1001.9,9.9,16.1,22,34,60.1,46.9,0.08,0,0,1,0,0,307
4,2014,10,23,23/10/2014,50.3,39.5,1022.9,9.3,6.4,11.1,999.9,62.1,41,0,0,0,0,0,0,338
5,2015,10,23,23/10/2015,57.4,43.2,1021.9,9.9,9.7,15.9,999.9,64,54,0,0,0,1,0,0,366
7,2016,10,23,23/10/2016,58,44.3,1014.1,10,8.2,19,27,73,46.9,0,0,0,0,0,0,353
1,2017,10,23,23/10/2017,53.1,51.5,1010.8,7.6,8.6,13,17.1,54,52,1.19,0,0,1,0,0,350
2,2018,10,23,23/10/2018,48.6,32.4,1022.9,10,7.7,13,15.9,57,41,0,0,0,0,0,0,347
3,2019,10,23,23/10/2019,49.2,34.1,1012.2,10,9,12,21,60.1,39.9,0.05,0,0,0,0,0,332
5,2014,10,24,24/10/2014,59.1,46.1,1016.8,10,5.1,8,999.9,68,41,0,0,0,0,0,0,393
6,2015,10,24,24/10/2015,63.8,56.7,1010.8,9,11.9,25.1,32.1,68,54,0.04,0,0,1,0,0,338
1,2016,10,24,24/10/2016,54.3,40.9,1024.6,10,8.4,13,27,66.9,46.9,0,0,0,0,0,0,359
2,2017,10,24,24/10/2017,47.8,44.9,1002.9,7.8,11,14,22,54,44.1,0.51,0,0,1,0,0,342
3,2018,10,24,24/10/2018,44.3,34.4,1029.2,10,3.2,8,999.9,51.1,37.9,0,0,0,0,0,0,371
4,2019,10,24,24/10/2019,48.6,39.3,1021.9,10,5.9,13,22.9,57.9,42.1,0.01,0,0,1,0,0,346
6,2014,10,25,25/10/2014,64.2,45.6,1012.9,8.8,8.8,15.9,24.1,75,54,0,0,0,0,0,0,360
7,2015,10,25,25/10/2015,52.8,38.1,1025.3,10,6.1,17.1,26,68,42.1,0.12,0,0,0,0,0,325
2,2016,10,25,25/10/2016,48.5,36.3,1030,10,5.3,12,999.9,53.1,42.1,0,0,0,1,0,0,350
3,2017,10,25,25/10/2017,44.8,33.6,1008.7,10,7,12,17.1,54,37.9,0.43,0,0,0,0,0,336
4,2018,10,25,25/10/2018,44.9,33,1023.3,10,4.4,8,999.9,52,37.9,0,0,0,0,0,0,320
5,2019,10,25,25/10/2019,46.9,35.6,1027.2,10,3.8,7,999.9,50,44.1,0,0,0,0,0,0,335
7,2014,10,26,26/10/2014,55.5,30.9,1015,10,4.7,8.9,999.9,75,44.1,0,0,0,0,0,0,355
1,2015,10,26,26/10/2015,52.2,37.6,1028.5,10,4.8,9.9,999.9,63,42.1,0,0,0,0,0,0,381
3,2016,10,26,26/10/2016,48.3,41.4,1024,7.5,9.9,19,26,51.1,46,0.23,0,0,1,0,0,311
4,2017,10,26,26/10/2017,48.2,37.4,1009.4,10,7.5,15,22.9,61,39,0,0,0,0,0,0,362
