day,year,mo,da,crime_date,temp,dewp,slp,visib,wdsp,mxpsd,gust,max,min,prcp,sndp,fog,rain_drizzle,snow_ice_pellets,thunder,total_num_of_crimes
7,2015,8,23,23/08/2015,74.1,58.9,1012.2,9.6,9.9,17.1,24.1,82.9,66,0,0,0,1,0,0,353
2,2016,8,23,23/08/2016,73.6,58,1021,10,8.5,14,22.9,82,64.9,0,0,0,0,0,0,359
3,2017,8,23,23/08/2017,69.5,51.4,1015.6,10,8.2,15,20,78.1,60.1,0.05,0,0,0,0,0,363
4,2018,8,23,23/08/2018,70.9,52.6,1019.1,10,5.8,13,17.1,81,60.1,0,0,0,0,0,0,317
5,2019,8,23,23/08/2019,70.6,53.4,1020.1,10,10.1,15,19,75,66,0,0,0,0,0,0,344
7,2014,8,24,24/08/2014,78.3,71,1014.4,9.9,5.8,8.9,999.9,89.1,71.1,0.5,0,0,0,0,0,360
1,2015,8,24,24/08/2015,67.4,48.8,1013.1,10,11.4,20,32.1,79,57,0.09,0,0,0,0,0,339
3,2016,8,24,24/08/2016,76.9,66.4,1015.6,9.4,10.6,15,22,84.9,71.6,0,0,0,1,0,0,402
4,2017,8,24,24/08/2017,67.7,54.7,1017.6,10,7.5,17.1,22.9,75.9,60.1,0,0,0,0,0,0,373
5,2018,8,24,24/08/2018,69.2,57,1015.5,9.9,8.8,17.1,22,78.1,64,0,0,0,1,0,0,346
6,2019,8,24,24/08/2019,69.4,52.3,1023.3,10,8.7,13,21,73.9,63,0,0,0,0,0,0,366
1,2014,8,25,25/08/2014,81.3,73.8,1014.5,9.9,6.7,28,36.9,91.9,73,0,0,1,1,0,1,384
2,2015,8,25,25/08/2015,65.4,47.6,1015.3,10,8.6,17.1,27,75.9,57,0,0,0,0,0,0,384
4,2016,8,25,25/08/2016,77.9,69.1,1014.7,9.9,6.6,9.9,999.9,84.9,73,0.36,0,0,1,0,1,386
5,2017,8,25,25/08/2017,64.4,48.8,1022.7,10,5.5,9.9,999.9,73,53.1,0,0,0,0,0,0,327
6,2018,8,25,25/08/2018,72.9,66.9,1012.4,6.7,9.1,15.9,21,88,64.9,0.11,0,0,1,0,1,384
7,2019,8,25,25/08/2019,70,53.1,1019.1,10,8.8,13,21,78.1,62.1,0,0,0,0,0,0,337
2,2014,8,26,26/08/2014,77.1,68.2,1016.5,10,5,15.9,35.9,91.9,72,0.78,0,0,1,0,1,400
3,2015,8,26,26/08/2015,64.2,52,1019.6,10,5.3,8,999.9,73,59,0,0,0,0,0,0,349
5,2016,8,26,26/08/2016,74.2,62.3,1019,10,5,8.9,999.9,81,68,0.06,0,0,0,0,0,356
6,2017,8,26,26/08/2017,68.6,52.2,1023.8,10,5.7,8.9,999.9,78.1,59,0,0,0,0,0,0,340
7,2018,8,26,26/08/2018,83.5,74.4,1014,8.3,6.8,13,20,95,73.9,0.06,0,0,0,0,0,367
1,2019,8,26,26/08/2019,72.2,64.1,1009.9,9.6,9.4,15,22.9,78.1,66,0.13,0,0,1,0,1,349
3,2014,8,27,27/08/2014,75.1,64.7,1018.9,10,5.7,9.9,999.9,81,72,0,0,0,0,0,0,374
4,2015,8,27,27/08/2015,65.5,52.8,1021.3,9.9,3.8,9.9,999.9,75,55.9,0,0,0,0,0,0,369
6,2016,8,27,27/08/2016,75.9,67.5,1017.3,8,7.8,12,15,86,70,0.65,0,0,1,0,1,402
7,2017,8,27,27/08/2017,70.3,54.2,1019.6,10,7.4,9.9,15,79,64,0,0,0,1,0,0,314
1,2018,8,27,27/08/2018,86.2,72.2,1011.6,9.7,13.8,22,32.1,96.1,78.1,0,0,0,0,0,0,389
2,2019,8,27,27/08/2019,72.9,63.3,1007.9,10,9.7,15.9,28,81,66,0.45,0,0,1,0,0,338
4,2014,8,28,28/08/2014,72.4,59.8,1018.7,10,7.3,11.1,999.9,81,69.1,0,0,0,0,0,0,380
5,2015,8,28,28/08/2015,68.8,57.3,1019.4,9.9,4.9,8,999.9,75.9,55.9,0,0,0,0,0,0,358
7,2016,8,28,28/08/2016,78.5,69.8,1019.5,9.9,5.2,9.9,999.9,82.9,73.9,0.27,0,0,0,0,0,382
1,2017,8,28,28/08/2017,70.6,61.1,1015.9,9.7,4.6,9.9,999.9,78.1,66,0.16,0,0,1,0,1,315
2,2018,8,28,28/08/2018,83.1,72.1,1010.8,9.9,12.8,20,28.9,93,72,0,0,0,1,0,1,384
3,2019,8,28,28/08/2019,69.6,52.5,1012.4,10,11.8,19,31.1,77,60.1,0,0,0,0,0,0,342
5,2014,8,29,29/08/2014,77.7,68.5,1014.1,9.9,8.3,12,18.1,88,69.1,0.02,0,0,1,0,0,415
6,2015,8,29,29/08/2015,70.8,62.3,1016.4,9.3,5.6,9.9,999.9,75.9,62.1,0.22,0,0,1,0,0,358
1,2016,8,29,29/08/2016,78.4,68.9,1021.9,10,6.2,9.9,999.9,90,73,0,0,0,1,0,1,419
2,2017,8,29,29/08/2017,70,62.4,1016.2,8.5,4.1,8.9,999.9,75.9,63,0.04,0,0,1,0,0,355
3,2018,8,29,29/08/2018,72.2,67.6,1014.1,8.1,7.6,20,26,81,68,0.84,0,0,1,0,1,338
4,2019,8,29,29/08/2019,71.5,57.4,1012.8,10,10.6,22,32.1,86,60.1,0,0,0,0,0,0,404
6,2014,8,30,30/08/2014,79.5,69.3,1010,9.8,11.5,19,28.9,88,73,0,0,0,0,0,0,401
7,2015,8,30,30/08/2015,71,63.9,1016.5,5.7,4.3,8,999.9,78.1,66,0.15,0,0,1,0,0,371
2,2016,8,30,30/08/2016,78.9,70.7,1019.1,8.1,4.6,12,15,84.9,73.9,0,0,0,1,0,1,352
3,2017,8,30,30/08/2017,70.3,59.9,1017,9.5,4.4,8,999.9,81,61,0,0,0,0,0,0,367
4,2018,8,30,30/08/2018,68.5,56.8,1021.6,10,7.5,9.9,999.9,73.9,64.9,0.02,0,0,0,0,0,397
5,2019,8,30,30/08/2019,70.8,53.7,1016.6,10,7,14,18.1,80.1,62.1,0,0,0,0,0,0,328
7,2014,8,31,31/08/2014,78.1,68.1,1012,10,6.4,11.1,999.9,87.1,71.1,0,0,0,0,0,0,364
1,2015,8,31,31/08/2015,74.8,65.4,1016.5,7,2.3,7,999.9,87.1,64.9,0,0,0,0,0,0,364
3,2016,8,31,31/08/2016,74.6,62.7,1016.7,10,8.8,18.1,22.9,80.1,71.1,0.17,0,0,0,0,0,372
4,2017,8,31,31/08/2017,70.1,59.2,1018.9,9.9,11.1,17.1,21,75,66.9,0,0,0,0,0,0,323
5,2018,8,31,31/08/2018,72.4,59.7,1018.4,10,5.9,9.9,15,86,62.1,0,0,0,0,0,0,364
6,2019,8,31,31/08/2019,68.3,52.4,1023.4,10,8.2,15,15.9,75.9,64,0,0,0,1,0,0,338
1,2014,9,1,01/09/2014,78.8,70,1008.4,10,10.9,18.1,25.1,87.1,71.1,0,0,0,0,0,0,462
2,2015,9,1,01/09/2015,80.8,69.8,1015.8,9.6,6.6,14,20,89.1,64.9,0,0,0,0,0,0,479
4,2016,9,1,01/09/2016,70.2,56.3,1019.8,10,10.7,18.1,22.9,73.9,64.9,0,0,0,1,0,0,447
5,2017,9,1,01/09/2017,64.5,49.8,1020.6,9.8,12.7,15.9,21,69.1,57.9,0,0,0,0,0,0,402
6,2018,9,1,01/09/2018,76.9,69.7,1014.6,9.7,9.3,24.1,34,87.1,72,1.07,0,0,1,0,1,407
7,2019,9,1,01/09/2019,67.4,61,1020.2,8.9,5.2,12,999.9,73,62.1,0.78,0,0,1,0,1,394
2,2014,9,2,02/09/2014,77,63.7,1010.5,10,6.8,13,19,84.9,69.1,0,0,0,0,0,0,384
3,2015,9,2,02/09/2015,82.2,69,1015.4,9.8,7.6,12,18.1,91.9,73,0,0,0,0,0,0,363
5,2016,9,2,02/09/2016,69.8,55.5,1023.1,10,9.1,13,17.1,75,64,0,0,0,0,0,0,380
6,2017,9,2,02/09/2017,64,45.8,1017.3,10,4.1,8.9,999.9,73.9,50,0,0,0,0,0,0,352
7,2018,9,2,02/09/2018,82.3,68.8,1015.8,10,9.9,15.9,25.1,91.9,73.9,0.04,0,0,1,0,1,375
1,2019,9,2,02/09/2019,71.3,62.2,1018,8.4,3.8,8,999.9,82.9,62.1,0.67,0,0,0,0,0,377
3,2014,9,3,03/09/2014,75.8,61.2,1014.4,10,5,9.9,15,84.9,66.9,0,0,0,0,0,0,356
4,2015,9,3,03/09/2015,83.9,67.6,1012.6,10,7.5,14,19,93,73,0,0,0,0,0,0,435
6,2016,9,3,03/09/2016,70.2,55.4,1022.1,10,6.5,11.1,14,77,61,0,0,0,0,0,0,356
7,2017,9,3,03/09/2017,68.4,55,1014.6,9.7,6.3,22,26,84,57,0.26,0,0,1,0,0,345
1,2018,9,3,03/09/2018,78.6,69.1,1019.5,9.5,6.5,20,27,88,73,0.01,0,0,1,0,1,378
2,2019,9,3,03/09/2019,73.1,65.5,1012.9,9.9,9.5,22,40,81,68,0,0,0,1,0,1,307
4,2014,9,4,04/09/2014,77.6,66.4,1013.1,9.8,10.9,17.1,26,87.1,66.9,0,0,0,1,0,1,348
5,2015,9,4,04/09/2015,76.9,66.9,1014.5,9.8,6.1,14,999.9,93,72,0,0,0,0,0,0,380
7,2016,9,4,04/09/2016,72.2,57.1,1020.8,10,6.7,13,17.1,81,63,0,0,0,0,0,0,354
1,2017,9,4,04/09/2017,73.5,58.6,1008.9,9.8,10.9,18.1,25.1,84,68,0,0,0,1,0,0,348
2,2018,9,4,04/09/2018,79.9,69.1,1020.2,10,7.5,12,18.1,93,72,0.44,0,0,0,0,0,384
3,2019,9,4,04/09/2019,68.4,57,1015.7,10,9.3,15,20,81,62.1,0.17,0,0,0,0,0,325
5,2014,9,5,05/09/2014,81.1,72.7,1013.2,9.7,11.4,24.1,33,89.1,73,0.22,0,0,1,0,1,390
6,2015,9,5,05/09/2015,76.9,66.5,1017.4,9.9,6.2,11.1,999.9,87.1,72,0,0,0,1,0,1,335
1,2016,9,5,05/09/2016,77.6,63,1018.2,10,8.1,17.1,22.9,90,66.9,0,0,0,0,0,0,378
2,2017,9,5,05/09/2017,64.1,48.9,1010.5,10,11,19,24.1,73.9,55,0,0,0,0,0,0,327
3,2018,9,5,05/09/2018,83.1,68.1,1017.5,10,10.1,18.1,22,91.9,75.9,0,0,0,0,0,0,325
4,2019,9,5,05/09/2019,64.8,51.9,1020.4,10,4.4,8.9,999.9,73.9,57,0,0,0,0,0,0,313
6,2014,9,6,06/09/2014,68.7,55,1018.9,10,7.7,12,999.9,89.1,62.1,0.43,0,0,1,0,0,367
7,2015,9,6,06/09/2015,82.8,65.7,1016.7,10,6.9,12,20,93.9,73,0.02,0,0,0,0,0,367
2,2016,9,6,06/09/2016,83.8,71.8,1016.2,10,9.3,14,20,93,75.9,0,0,0,0,0,0,386
3,2017,9,6,06/09/2017,58.4,45,1014.9,10,8,12,15,66.9,50,0,0,0,0,0,0,288
4,2018,9,6,06/09/2018,70.6,65.1,1023.3,8.6,9.7,15,18.1,79,68,0.45,0,0,1,0,1,348
5,2019,9,6,06/09/2019,68.4,58.4,1013.6,10,8.8,15,24.1,75,64.9,0,0,0,0,0,0,351
7,2014,9,7,07/09/2014,69.3,52.3,1021.3,10,3.9,9.9,999.9,79,57.9,0,0,0,0,0,0,380
