"","Apr","Aug","Dec","Feb","Jan","Jul","Jun","Mar","May","Nov","Oct","Sep","Fri","Mon","Sat","Sun","Thu","Tue","Wed","year","sndp","wdsp","total_num_of_crimes"
"53",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2014,2,6.4,0.649029982363316
"54",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2014,0,10.4,0.566137566137566
"55",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2014,0,7.9,0.507936507936508
"56",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2014,0,13,0.705467372134039
"57",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2014,0,6.8,0.604938271604938
"58",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2014,3.1,16.1,0.541446208112875
"59",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2014,3.1,7.8,0.611992945326279
"60",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2014,1.2,14.3,0.661375661375661
"61",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2014,0,9.7,0.62962962962963
"62",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2014,0,17.7,0.516754850088183
"63",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2014,0,8.4,0.615520282186949
"64",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2014,0,9.4,0.703703703703704
"65",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2014,0,9.7,0.682539682539683
"66",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2014,0,9.3,0.700176366843034
"67",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2014,0,7.8,0.679012345679012
"68",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2014,0,11.7,0.617283950617284
"69",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2014,0,9.8,0.537918871252205
"70",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2014,0,4.9,0.601410934744268
"71",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2014,0,11.7,0.596119929453263
"72",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2014,0,7.7,0.608465608465608
"73",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2014,0,13.9,0.597883597883598
"74",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2014,0,13.7,0.6331569664903
"75",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2014,0,9.6,0.64373897707231
"76",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2014,0,5.8,0.624338624338624
"77",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2014,0,11.7,0.590828924162258
"78",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2014,0,17.1,0.786596119929453
"79",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2014,0,9,0.668430335097002
"80",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2014,0,11.5,0.594356261022928
"81",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2014,0,13.4,0.652557319223986
"82",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2014,0,8.4,0.634920634920635
"83",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2014,0,6.4,0.574955908289242
"84",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2014,0,6.9,0.64373897707231
"85",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2014,0,5.9,0.654320987654321
"86",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2014,0,5.7,0.666666666666667
"87",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2014,0,11.8,0.682539682539683
"88",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2014,0,4.5,0.606701940035273
"89",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2014,0,10.5,0.747795414462081
"90",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2014,0,11.2,0.590828924162258
"91",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2014,0,14.9,0.566137566137566
"92",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2014,1.2,10.3,0.597883597883598
"93",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2014,0,10.2,0.673721340388007
"94",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2014,0,12.7,0.767195767195767
"95",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2014,0,6.6,0.661375661375661
"96",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2014,0,8.4,0.590828924162258
"97",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2014,0,8.9,0.560846560846561
