,day,temp,total_num_of_crimes
456,6,36.7,0.691089109
809,1,64.9,0.820952381
1743,7,46.8,0.509401709
161,6,48.5,0.621782178
1146,2,82.2,0.758415842
388,7,40.8,0.573412698
895,3,60,0.755186722
1716,6,41.6,0.63960396
1074,4,76.1,0.807920792
1959,1,31,0.52991453
1370,7,71.7,0.633156966
849,5,60.5,0.673504274
492,5,36.7,0.702970297
1108,1,71.9,0.777777778
933,5,66.8,0.635897436
1569,6,66.8,0.622222222
1521,5,63.4,0.553846154
1314,2,76.5,0.699009901
1515,4,66.6,0.548717949
2097,3,45.1,0.564102564
780,4,66.1,0.712871287
1466,2,77,0.677248677
1872,4,35.9,0.598019802
1378,4,79.1,0.68452381
1822,1,50.4,0.833333333
782,7,71.2,0.652557319
905,3,64.8,0.628571429
386,4,23.1,0.53968254
1579,5,76,0.788381743
921,3,65.3,0.666666667
1860,2,48.3,0.738613861
66,5,26.7,0.730290456
1613,2,82,0.695238095
159,3,29.1,0.666666667
519,6,29.2,0.533333333
424,6,46.1,0.632936508
527,3,42.3,0.626666667
2106,1,35.6,0.621782178
1071,7,70,0.545299145
1411,5,70.6,0.713692946
483,7,34.8,0.538461538
80,3,13.5,0.543589744
699,1,49.1,0.6
1576,2,77.3,0.755952381
813,6,72.9,0.765811966
1500,5,68.9,0.665346535
1524,2,67.5,0.663366337
2024,4,31.5,0.592592593
2146,6,35.8,0.577380952
576,5,35.6,0.631683168
540,6,46,0.63960396
1244,7,79.2,0.735449735
1564,7,72,0.670634921
1996,2,51.5,0.668650794
408,5,30.1,0.732673267
1401,6,75.3,0.699145299
1566,2,75.3,0.706930693
1674,6,64.9,0.637623762
1539,1,67.4,0.6
1622,7,68.9,0.694885362
1016,4,68.3,0.724867725
1865,2,43.4,0.588571429
985,4,59,0.676348548
803,7,63.3,0.668571429
886,6,75.1,0.736111111
1616,6,69.6,0.742504409
112,4,35.6,0.660952381
1950,3,32.6,0.697029703
1709,4,58.1,0.634285714
1290,5,77.1,0.851485149
12,3,29.5,0.630705394
560,5,40.6,0.652557319
500,2,27.9,0.596119929
1911,7,54.1,0.555555556
432,2,31.8,0.60990099
1563,5,74.2,0.67008547
1927,7,34.2,0.68879668
1446,3,72.2,0.669306931
1139,7,74.7,0.740952381
1388,3,78.2,0.717813051
1910,6,27.3,0.624338624
1542,5,70.6,0.75049505
201,3,37.3,0.654761905
128,4,32.2,0.618803419
1075,5,78.5,0.798755187
155,5,43.4,0.691089109
1046,2,77.6,0.69664903
575,4,42.9,0.605714286
292,6,56.9,0.64
360,4,39.5,0.702970297
1089,3,62.6,0.733333333
984,3,75.1,0.742574257
2011,7,40.5,0.686721992
1192,1,78.8,0.732142857
260,5,14.5,0.483760684
712,5,46.7,0.654761905
996,5,76.6,0.754455446
342,2,21.5,0.628630705
1043,5,76.7,0.634285714
1021,3,67.4,0.761410788
491,4,37.8,0.596190476
10,1,36.1,0.567619048
2122,2,21,0.603174603
1550,2,57.9,0.617283951
1002,6,82.2,0.706930693
1957,5,37.2,0.665975104
1422,6,72.9,0.76039604
1288,3,81.8,0.763888889
1271,1,76.8,0.761904762
684,2,55.8,0.643564356
1787,3,44.8,0.64
1597,1,68.8,0.717842324
2007,2,43.5,0.608547009
1617,7,70.1,0.61025641
635,7,67.8,0.626666667
958,4,63.9,0.740079365
1232,5,68.3,0.765432099
2127,1,47.8,0.543589744
749,5,49,0.691428571
1173,3,68.2,0.632478632
103,6,15.5,0.552028219
2145,4,43.2,0.548717949
763,2,47.4,0.692946058
1258,5,75.3,0.724206349
539,5,39.6,0.744761905
1487,2,64.1,0.622857143
739,5,48.6,0.751037344
24,5,37.9,0.70746888
1052,3,70.8,0.671957672
878,2,76,0.631393298
1698,3,72.9,0.689108911
786,5,53.5,0.669306931
1282,2,79.2,0.76984127
1551,3,73.5,0.629059829
650,6,47.3,0.590828924
484,2,52.1,0.718253968
87,5,41.1,0.700396825
1326,4,78.5,0.718811881
1064,5,74,0.770723104
344,5,10,0.492307692
754,5,61.6,0.698412698
801,4,55.3,0.641025641
205,2,17.4,0.520282187
740,7,56.1,0.603174603
790,4,63.4,0.650793651
1995,7,36.8,0.487179487
691,4,57.7,0.721991701
2138,2,46.5,0.546737213
316,3,57.9,0.615238095
922,5,72.7,0.740079365
632,3,39.6,0.67372134
697,5,56.5,0.786307054
1332,5,77.8,0.803960396
692,6,51.9,0.62962963
1808,3,48.5,0.675485009
1273,3,70.3,0.709543568
1427,6,68.6,0.647619048
964,5,77.2,0.626984127
139,5,6,0.525573192
1363,4,71.5,0.742738589
2051,5,25.2,0.643809524
1977,4,55,0.499145299
475,3,42.5,0.653526971
535,6,40.2,0.645228216
314,7,24.3,0.471794872
375,3,26.6,0.499145299
1115,3,78.3,0.824761905
1578,4,78.1,0.778217822
2077,4,30.1,0.641078838
1204,3,80.7,0.779761905
2163,7,41.2,0.507692308
1874,7,43.2,0.523809524
1659,7,53.4,0.492307692
670,5,52.2,0.712301587
597,5,54.5,0.613675214
337,3,8.4,0.57319224
1254,6,71.9,0.744554455
1937,7,35,0.601904762
298,7,51.4,0.64
1458,5,72.4,0.720792079
2060,3,33.9,0.649029982
1589,5,85.2,0.712380952
1482,2,79.9,0.76039604
1469,6,64,0.67047619
1609,3,70.8,0.670124481
1665,1,58.4,0.622222222
623,5,55.4,0.702857143
404,7,28.9,0.507936508
160,5,29,0.653333333
1887,3,51.7,0.52991453
534,5,39.6,0.647524752
1442,5,77.7,0.731922399
1362,3,80.2,0.827722772
179,2,22.2,0.588118812
1235,2,73.1,0.725714286
1614,3,61.5,0.693069307
477,6,43,0.521367521
2098,5,14.4,0.656746032
1353,5,79.4,0.623931624
1242,4,77.5,0.724752475
1265,7,73.5,0.708571429
93,6,30.4,0.575396825
746,1,50.9,0.758377425
674,3,43,0.633156966
1833,1,60.3,0.687179487
442,2,52.1,0.726190476
708,6,43.9,0.669306931
986,6,68.6,0.691358025
1418,1,81.3,0.677248677
1224,1,73.6,0.81980198
645,6,62.3,0.576068376
1114,2,77.2,0.892857143
1194,3,72.6,0.792079208
673,1,68.4,0.661825726
972,1,64.1,0.736633663
444,4,39.9,0.653465347
976,7,72.8,0.740079365
1628,1,69.6,0.64021164
788,1,73.6,0.701940035
1654,1,63.7,0.716269841
1041,2,77.2,0.601709402
893,1,70.1,0.723809524
1604,4,66.8,0.634920635
1019,1,70.7,0.678095238
1346,3,69.9,0.733686067
223,5,3,0.569664903
1360,1,75.5,0.744047619
1008,7,86.3,0.742574257
929,7,81,0.699047619
811,3,63.6,0.778008299
2115,6,25.3,0.514529915
820,2,55.4,0.698412698
2023,2,33.5,0.632780083
1571,2,70.3,0.651428571
476,5,42.1,0.679012346
434,5,42.9,0.661375661
934,7,70.5,0.712301587
512,4,39.7,0.597883598
329,6,37.7,0.594059406
440,6,37,0.62962963
42,1,45.6,0.639004149
446,7,24.9,0.51675485
1238,6,75.5,0.680776014
98,6,36.8,0.591452991
1646,4,69.8,0.687830688
1736,5,56.4,0.710758377
133,4,4.4,0.541446208
1552,5,74.1,0.732142857
829,6,58,0.77593361
1397,1,79.5,0.662857143
2006,1,25.3,0.710758377
665,5,50.6,0.72
1635,3,59.2,0.572649573
1128,6,71.7,0.742574257
428,4,22.7,0.611992945
465,4,44.4,0.58974359
1757,5,64.7,0.706666667
689,2,66.4,0.718095238
1664,7,48,0.576719577
1226,4,67.7,0.742504409
690,3,49,0.695049505
1801,7,50.3,0.657676349
510,1,41.4,0.691089109
941,2,64.8,0.740952381
1178,3,64.4,0.761904762
1393,2,75.9,0.686721992
2081,3,27.9,0.586666667
1278,3,73.7,0.869306931
416,2,44,0.604938272
1463,5,64.5,0.765714286
79,2,31,0.578483245
700,3,46.4,0.648809524
741,1,67.8,0.625641026
414,6,33.4,0.594059406
1806,7,47.7,0.621782178
918,6,60.9,0.736633663
693,7,47.1,0.606837607
2085,1,56.5,0.593162393
2176,4,35,0.626984127
1702,2,66.5,0.676587302
1546,4,70.8,0.716269841
1847,6,46,0.678095238
279,2,29.2,0.569444444
824,7,58.1,0.721340388
647,2,58.1,0.699047619
615,1,63.3,0.625641026
2183,6,10.5,0.558095238
778,2,57.4,0.68452381
113,5,32.6,0.635643564
191,4,28.8,0.736633663
1506,6,67.1,0.621782178
578,1,46,0.643738977
1020,2,73.3,0.716831683
1445,2,70,0.676190476
592,6,31.1,0.597222222
720,1,57.9,0.774257426
1590,6,60.3,0.748514851
302,5,7,0.507692308
1164,5,82.1,0.76039604
242,2,28.4,0.524786325
1297,7,79.4,0.813278008
904,2,73.4,0.708333333
659,4,58.4,0.681904762
1484,5,81.1,0.687830688
1952,6,40,0.571428571
1169,5,72.2,0.731428571
2059,1,47.2,0.639004149
389,1,54.6,0.628571429
472,7,38.8,0.617063492
734,6,57,0.622574956
1221,4,77.7,0.676923077
21,1,28.5,0.615079365
1931,6,43.7,0.611428571
1758,6,47.4,0.695049505
1096,6,67.9,0.688492063
121,2,12.2,0.502645503
1292,1,77.5,0.693121693
874,4,73.2,0.732142857
2148,1,30.3,0.588118812
2029,3,37.6,0.709543568
2175,2,35.5,0.514529915
1045,7,74.2,0.738589212
1251,2,82.9,0.673504274
1369,5,73.2,0.711618257
1479,5,76.9,0.64957265
745,6,50.9,0.657676349
1085,5,73.7,0.685714286
1212,6,71.5,0.693069307
1246,3,81.5,0.722222222
1683,4,64.5,0.502564103
253,3,10.6,0.485008818
1354,7,78.4,0.748015873
1794,5,48.9,0.75049505
15,7,28.8,0.569444444
2125,5,31.3,0.643153527
1875,1,46.1,0.564102564
1255,7,81.5,0.769709544
589,1,62.7,0.744813278
1223,7,80.3,0.739047619
1907,2,40.8,0.643809524
441,7,47.6,0.632478632
890,4,65.3,0.608465608
831,2,51.4,0.61025641
760,6,65.1,0.682539683
668,2,53.3,0.634920635
1892,3,31.5,0.532627866
529,5,47.5,0.624481328
940,1,73,0.706349206
1161,1,78,0.687179487
1279,4,71,0.883817427
1299,3,75.6,0.618803419
1641,4,57.4,0.711111111
566,6,40,0.634920635
1412,7,78.3,0.634920635
2091,2,43.2,0.601709402
1375,6,74.7,0.738589212
618,5,45.8,0.702970297
561,6,42.9,0.582905983
116,2,36.6,0.608547009
1783,4,48.6,0.717842324
1121,4,82.2,0.653333333
1560,1,79.1,0.675247525
1480,7,72.2,0.702380952
396,3,31.7,0.615841584
640,7,64.7,0.64484127
1430,3,75.1,0.659611993
761,7,48,0.577142857
794,2,67.2,0.64021164
1778,5,59.1,0.693121693
1492,2,83.8,0.765873016
266,6,21.1,0.47008547
1725,4,57.3,0.67008547
677,7,54.9,0.647619048
865,5,64.5,0.838174274
1601,7,82.3,0.662857143
603,6,50.5,0.601709402
445,5,38.6,0.699170124
1208,1,77.9,0.668430335
513,5,30.8,0.601709402
2074,1,27,0.58531746
471,5,44,0.629059829
1840,4,57.8,0.716269841
1195,4,79.2,0.860995851
1381,7,75.1,0.755186722
1970,2,26.3,0.541446208
1660,2,66.7,0.652777778
1129,7,72,0.744813278
1301,6,67.7,0.84
1896,1,34.5,0.611881188
1554,7,74.9,0.691089109
1533,7,60.3,0.615384615
2031,6,36.3,0.541880342
1188,2,77,0.685148515
96,3,32.4,0.678423237
1111,4,78.8,0.728215768
652,2,55.9,0.66468254
1345,1,77.3,0.703319502
538,4,60.9,0.682539683
1416,5,69.2,0.685148515
1888,5,51.4,0.676587302
1014,1,86.7,0.857425743
524,6,35.5,0.643738977
1485,6,76.9,0.572649573
219,6,32.3,0.557539683
1410,4,70.9,0.627722772
226,2,46,0.617142857
1525,3,81.6,0.746887967
1205,4,77.3,0.67047619
22,3,19.1,0.544761905
994,3,80.6,0.738095238
322,4,51.6,0.603809524
1040,1,73.1,0.686067019
1171,7,80.2,0.732365145
127,3,6.9,0.522045855
1006,5,72.5,0.718253968
104,7,38.7,0.548717949
947,3,67,0.716190476
1811,7,40,0.632380952
517,3,42.8,0.668049793
2048,1,36.2,0.599647266
971,7,82.1,0.68952381
586,5,38.9,0.55952381
1522,7,66.8,0.660714286
1697,2,63.9,0.620952381
286,5,46.4,0.76
1529,2,67,0.651428571
758,3,63.8,0.656084656
711,3,52.3,0.615384615
828,5,58.4,0.695049505
911,4,67.1,0.817142857
884,3,66.1,0.634920635
1870,2,57.1,0.652777778
1155,7,75,0.622222222
1001,5,77.8,0.712380952
409,6,35,0.630705394
662,1,67.5,0.611992945
369,2,30.7,0.535042735
224,6,33.6,0.502564103
1431,4,65.5,0.630769231
925,1,58.9,0.697095436
1900,7,45.7,0.571428571
776,6,64.2,0.613756614
898,1,75.9,0.751984127
1687,2,59.8,0.726141079
1193,2,76,0.702857143
523,4,53.5,0.67219917
1055,7,65.4,0.68952381
836,2,73.3,0.633156966
1058,4,66.1,0.712522046
722,4,46.3,0.756613757
1749,1,57.7,0.652991453
30,6,39.8,0.7406639
1770,1,47.8,0.655445545
1109,2,74.5,0.740952381
676,6,49.4,0.630952381
136,1,40.7,0.691428571
355,1,42.1,0.619047619
312,4,31.9,0.711618257
1679,6,70.5,0.603809524
2123,3,35.1,0.681904762
1078,3,67.9,0.78968254
1669,6,56,0.709543568
1130,2,78.9,0.708994709
856,1,68.5,0.753968254
557,1,49.3,0.620952381
1851,4,65.6,0.634188034
585,3,47.2,0.603418803
821,3,78.9,0.72952381
906,4,77.7,0.833663366
1419,2,65.4,0.656410256
51,6,40.5,0.619047619
86,4,23.5,0.664957265
377,6,33.7,0.548571429
1756,4,57,0.686507937
910,3,69.9,0.882936508
797,6,63.2,0.634285714
339,5,32.7,0.674603175
851,1,59.1,0.718095238
595,2,60.9,0.649377593
1976,3,25.5,0.562610229
1541,4,67.9,0.632380952
1392,1,75.8,0.691089109
1583,4,84,0.647619048
732,3,77.2,0.738613861
1344,7,79.9,0.811881188
171,5,30.5,0.634920635
1791,1,52.2,0.651282051
97,5,18.3,0.636684303
546,7,33.8,0.673267327
680,4,50.5,0.617283951
649,4,58.6,0.661825726
1376,1,72.5,0.647266314
2178,6,29.5,0.61980198
196,4,22,0.571428571
1264,6,74.2,0.884920635
1157,3,77.3,0.60952381
1536,4,66.9,0.617821782
717,4,48,0.548717949
1459,6,68.3,0.701244813
1113,7,76,0.717948718
1365,7,80.7,0.71965812
596,4,57.6,0.682539683
1918,3,49.6,0.720238095
1373,4,78.3,0.687619048
1470,7,82.3,0.742574257
1190,5,72.1,0.71957672
1917,1,53.1,0.613675214
868,3,77.9,0.746031746
1899,5,43.3,0.502564103
176,5,29.7,0.582905983
1261,1,77.5,0.798755187
1694,5,52.2,0.624338624
331,2,19.3,0.546737213
721,2,46.1,0.755186722
371,5,27.8,0.582857143
352,2,52,0.571428571
1895,7,39,0.573333333
834,6,61.1,0.637623762
2126,7,35.1,0.523809524
1813,2,42.3,0.65560166
61,6,37.6,0.527336861
1962,5,40.8,0.673267327
784,3,60.4,0.759920635
2017,1,33.3,0.661825726
2039,3,31.7,0.615238095
2015,6,44.2,0.659047619
1882,4,51.3,0.619047619
1379,5,75.1,0.76952381
1003,7,59.9,0.670124481
270,4,36.8,0.753112033
108,5,31.5,0.678423237
1797,2,54.7,0.552136752
938,5,68.9,0.756613757
953,4,70.4,0.672380952
1337,5,74,0.651428571
361,5,28.6,0.705394191
1655,2,72.2,0.619047619
696,4,49.3,0.695049505
1186,7,73.9,0.676587302
1924,4,58.2,0.736111111
1592,2,61.8,0.689594356
850,7,67.2,0.668650794
979,3,69.5,0.736514523
1198,2,79.6,0.833333333
1573,4,74.3,0.819502075
959,5,75.6,0.742857143
406,3,62.1,0.654761905
1929,3,60.1,0.562393162
1176,7,81,0.702970297
2012,2,27.8,0.564373898
582,6,29.2,0.6
1172,2,64.8,0.712522046
1621,5,64.7,0.630705394
319,7,23.8,0.513227513
1166,1,74.4,0.684303351
2108,4,26.8,0.580246914
621,2,58.2,0.658119658
1916,7,30.2,0.552028219
1207,6,86,0.765560166
2114,5,31.2,0.67372134
1013,7,75.6,0.697142857
1869,7,44,0.54017094
1913,3,47.9,0.636190476
1095,4,62.8,0.6
1864,1,57.6,0.680555556
883,1,62.7,0.746887967
392,5,31.1,0.649029982
2128,3,28.1,0.668650794
718,6,46.6,0.571428571
1018,7,80.4,0.714285714
1355,1,74,0.699047619
1849,1,48.6,0.624481328
1647,5,56.6,0.632478632
1789,5,46.9,0.695020747
687,6,45.9,0.567521368
1141,2,76.8,0.72406639
2185,1,39,0.628630705
1126,4,78.4,0.738095238
1004,2,84.8,0.779541446
1399,3,74,0.697095436
1218,7,71.6,0.778217822
1696,1,59.8,0.692460317
18,4,30.8,0.753112033
1405,4,74.3,0.699170124
1790,7,55.5,0.626102293
1131,3,62.5,0.569230769
1272,2,74.3,0.778217822
321,2,37.9,0.597222222
770,5,72.5,0.740740741
573,1,55,0.560683761
830,1,62.7,0.693121693
1782,3,44.3,0.734653465
1990,1,46.3,0.674603175
1690,7,56.7,0.601190476
2058,7,25.1,0.655445545
2086,3,11.7,0.557539683
1033,5,63,0.765560166
1000,4,75.2,0.78968254
924,7,67.5,0.78019802
613,5,50.6,0.699170124
59,3,38.6,0.671287129
1471,1,71.3,0.782157676
317,4,34.6,0.675247525
1695,6,55.6,0.58974359
1878,5,35,0.657425743
1651,3,68.3,0.709543568
1398,2,73.1,0.691089109
208,6,24.1,0.552380952
1245,1,80.3,0.668376068
837,3,46.2,0.635897436
142,2,38.4,0.685714286
1250,1,68,0.733686067
261,6,11.5,0.589285714
1596,7,61.2,0.683168317
262,1,36.1,0.638095238
1478,4,77.6,0.613756614
1780,1,54.3,0.712301587
1781,2,47.8,0.651428571
1570,1,74.9,0.662698413
403,5,29.4,0.670124481
1754,1,55.5,0.659611993
1494,4,70.6,0.689108911
1652,5,61.9,0.590828924
478,1,40.1,0.638888889
1904,5,27.9,0.624338624
412,4,50.1,0.623015873
916,4,72.6,0.775793651
1765,1,58.3,0.699170124
1605,5,69.6,0.65982906
853,3,63.9,0.7406639
1673,5,65.2,0.624761905
1457,4,70.1,0.615238095
852,2,60,0.774257426
1206,5,75.7,0.734653465
131,1,48.9,0.665346535
1842,6,43,0.687128713
134,5,31.7,0.675213675
1598,3,65.5,0.717813051
845,7,62.1,0.63047619
1070,6,81.3,0.708994709
374,2,17,0.585537919
1185,5,80,0.630769231
781,5,50.1,0.77593361
861,7,68.8,0.555555556
190,3,35.9,0.773333333
896,5,67.4,0.675485009
768,2,69.8,0.728712871
1441,3,69.6,0.709543568
1011,4,74.5,0.661538462
1152,3,78.3,0.732673267
1056,1,70.1,0.78019802
1820,5,43,0.716049383
785,4,54.7,0.626666667
1179,4,69.4,0.531623932
599,1,68,0.601904762
1804,5,51.6,0.712301587
1499,4,60.6,0.666666667
423,4,44.9,0.623931624
1406,6,78.9,0.707231041
967,1,68.3,0.765560166
1203,1,77.6,0.697435897
213,5,30.5,0.609126984
1901,1,37.9,0.636190476
1580,7,65.4,0.680776014
2030,5,36.6,0.686067019
1371,1,81.2,0.629059829
1972,5,39,0.640873016
1196,6,73.1,0.677248677
381,4,15.2,0.500854701
1295,5,62.9,0.887619048
728,5,49.1,0.728395062
1439,1,70.6,0.6
844,6,64.5,0.746031746
840,7,51.5,0.697029703
1390,6,75.8,0.763888889
1744,2,74.3,0.746031746
1886,2,50.5,0.532627866
53,2,30.5,0.633663366
1329,1,77.8,0.639316239
1104,2,78.5,0.788118812
1080,5,83.5,0.700990099
493,6,37.9,0.692946058
464,3,43.9,0.682539683
1007,6,80.5,0.674285714
1488,3,83.1,0.643564356
965,6,76.1,0.68
1839,2,61,0.598290598
752,2,53.1,0.689594356
1796,1,64.2,0.626102293
64,3,33.9,0.552380952
1028,6,71.3,0.698412698
611,3,48.2,0.672380952
767,1,46.6,0.607619048
1672,4,67.8,0.682539683
607,4,45.6,0.728215768
571,5,45,0.684647303
1691,1,67.5,0.693333333
800,3,54.7,0.677248677
1726,6,61.4,0.706349206
774,3,71.1,0.756435644
533,4,44.1,0.615238095
644,5,49,0.661375661
590,3,49.6,0.666666667
1963,6,32.4,0.67219917
799,1,50.4,0.782157676
382,6,34.6,0.579365079
1723,1,46.5,0.699170124
365,4,32.4,0.540952381
118,5,38.7,0.693333333
980,5,66.6,0.793650794
1065,6,66.5,0.593162393
977,1,84.7,0.64952381
518,5,43.5,0.633156966
931,2,67,0.790456432
1009,1,59.8,0.755186722
1793,4,48.2,0.68952381
1496,7,69.3,0.670194004
1025,2,66.6,0.712380952
1742,6,50.3,0.670194004
894,2,77.7,0.827722772
1433,7,70.3,0.598095238
1737,6,44.8,0.536752137
544,5,45.1,0.797619048
952,3,61.5,0.694444444
548,3,41.8,0.668430335
707,5,49.6,0.700952381
265,5,20.4,0.587301587
1449,7,71,0.634188034
1973,6,48.8,0.660952381
1385,6,74.8,0.767619048
2112,2,30.5,0.615841584
2118,3,40.1,0.679207921
818,6,49.7,0.700176367
705,2,49.1,0.564102564
1915,5,28.5,0.717842324
1227,5,79.2,0.699145299
14,6,34.3,0.478632479
1415,4,67.7,0.71047619
1767,4,61.2,0.618803419
1575,7,62.4,0.608547009
683,1,57.7,0.662857143
1247,4,78.6,0.681904762
2055,3,48.2,0.517948718
1259,6,72.7,0.678095238
858,3,63.7,0.720792079
1581,1,64.5,0.582905983
661,6,50.6,0.70746888
1049,6,70,0.702857143
2078,6,41.5,0.641975309
1535,3,67.6,0.626666667
393,6,34.1,0.557264957
1257,3,83.3,0.601709402
889,2,65.7,0.763485477
73,1,42.4,0.659611993
1414,3,76.9,0.797619048
1060,7,82.8,0.678571429
516,2,49.9,0.64950495
1158,4,79.3,0.746534653
769,3,53.7,0.755186722
1777,3,49.2,0.68879668
954,5,65.6,0.693069307
1857,5,55.8,0.642735043
1215,3,75.9,0.652991453
568,2,36.1,0.654761905
549,4,60.6,0.615384615
1165,6,82.4,0.834024896
839,6,53.3,0.580952381
987,7,75.9,0.68034188
345,6,38.1,0.583333333
1926,6,34.8,0.586138614
859,4,72.1,0.825726141
1335,2,75,0.629059829
1643,7,61.5,0.727619048
2135,5,38.7,0.678095238
74,2,19.3,0.548717949
1969,7,39.4,0.701244813
1644,1,62.5,0.831683168
258,2,31.6,0.697095436
1051,1,73.2,0.794605809
969,4,72.1,0.694017094
1276,1,76.5,0.827380952
1994,6,40.9,0.574955908
185,3,35.8,0.659405941
92,5,29.3,0.581196581
124,6,49.6,0.64952381
751,7,58.8,0.738589212
1191,6,82.5,0.613675214
1249,6,80.2,0.765560166
2054,2,37.4,0.552028219
1389,4,67.2,0.635897436
2022,1,34.8,0.762376238
1474,6,70.2,0.706349206
1998,4,31,0.621782178
1555,1,72.2,0.817427386
100,2,36.7,0.619047619
2063,7,26.9,0.556190476
1667,4,65.9,0.592380952
1893,4,49.7,0.55042735
602,5,55.4,0.60670194
802,6,47.7,0.662698413
151,7,16.4,0.500881834
1167,2,78,0.58974359
731,2,46.1,0.56952381
1504,4,77.3,0.777777778
48,2,42.8,0.682572614
453,2,44.1,0.565811966
1715,5,62.1,0.676190476
1932,7,34.4,0.596039604
466,6,39.5,0.595238095
604,1,49.3,0.626984127
1836,5,45.2,0.734653465
855,6,65.7,0.647863248
1746,4,45.5,0.64950495
1036,3,73.3,0.755952381
1298,2,73.2,0.633156966
268,2,41.4,0.651428571
951,1,74.9,0.560683761
1827,7,54.7,0.709401709
85,3,20.3,0.619047619
1072,2,69.3,0.722222222
1830,4,50.7,0.853465347
1437,5,68.8,0.611965812
1835,4,47.6,0.638095238
660,5,46.8,0.702970297
1788,4,44.9,0.633663366
2164,2,29.9,0.593253968
1270,7,74.4,0.71031746
1417,6,69.4,0.7593361
1048,5,73.3,0.720238095
1971,3,44.7,0.500854701
1775,1,53.1,0.666666667
1722,7,47.9,0.588118812
1776,2,48.6,0.687128713
2009,5,42.2,0.792380952
5,1,-0.5,0.83960396
106,3,33.6,0.636190476
2117,2,44.2,0.704761905
2013,3,36.5,0.577777778
1181,7,73.1,0.68952381
13,5,7.2,0.48324515
1237,4,74.3,0.786307054
297,5,50.2,0.66468254
2019,4,34.2,0.574358974
1979,7,38.9,0.592380952
1518,1,66.6,0.683168317
1321,4,80.2,0.79253112
2087,4,25.2,0.622857143
402,4,28.8,0.592079208
2143,1,42.8,0.713692946
1147,3,85,0.807053942
1594,5,74,0.712301587
1110,3,83.9,0.740594059
2066,4,30.6,0.488536155
628,5,55.2,0.718253968
1243,5,76.7,0.798755187
460,5,42.9,0.700396825
1505,5,63.5,0.613333333
1815,5,46.9,0.622222222
1352,4,68.9,0.654320988
1549,7,71.6,0.780082988
1248,5,71.1,0.764356436
796,5,59.3,0.692460317
67,7,33.5,0.555555556
470,4,37.3,0.700176367
487,5,40.6,0.678423237
256,7,41.3,0.571428571
451,6,35.5,0.659751037
426,1,36.9,0.601980198
1162,3,79.1,0.656746032
926,3,67,0.647266314
638,4,50.7,0.767195767
2044,3,28.1,0.626984127
716,3,52,0.666666667
394,1,52.6,0.755952381
1676,2,57.2,0.627865961
1670,1,55,0.571428571
1538,7,56.1,0.610229277
990,4,72.9,0.661386139
192,5,9.2,0.773858921
619,6,44.3,0.657676349
349,5,13.7,0.553791887
351,7,52.2,0.571428571
2167,5,38.3,0.690871369
1584,5,78.4,0.77029703
961,7,69.7,0.763485477
1483,3,68.4,0.674273859
305,2,59.3,0.598019802
1814,4,45.3,0.661375661
1311,5,76.4,0.700854701
2124,4,45.4,0.675247525
228,4,35.9,0.695020747
701,4,54.6,0.647619048
989,3,77.7,0.72952381
1823,2,37.8,0.695238095
848,4,67.1,0.687830688
944,6,73.5,0.754850088
1705,5,60,0.680497925
1024,1,84.6,0.841269841
1508,2,73.1,0.633156966
2093,5,26.8,0.643809524
1707,1,68.2,0.582905983
1692,2,77.3,0.710891089
1858,7,58.3,0.66468254
806,4,47.6,0.597883598
1444,1,78.4,0.831349206
2049,2,41.9,0.576068376
2021,7,44.6,0.596190476
1044,6,68.3,0.708910891
842,3,77.4,0.643738977
1451,3,70.3,0.699047619
172,7,27.6,0.586666667
1038,5,63.2,0.695049505
1883,5,24.9,0.624761905
725,1,51.7,0.761904762
572,7,44.7,0.574955908
315,1,36.7,0.563492063
461,6,42.4,0.598095238
458,2,38.6,0.703703704
2025,5,38.3,0.558974359
551,7,50.3,0.580952381
1710,5,40.2,0.592079208
1528,1,70.7,0.767857143
1145,1,78.2,0.697142857
241,1,6.9,0.490299824
2043,1,37.2,0.591452991
1252,4,78.8,0.742063492
1624,3,57.3,0.597222222
1810,6,67.1,0.819444444
819,7,74.9,0.711111111
1361,2,76.5,0.708571429
702,5,51.9,0.720792079
