,day,temp,total_num_of_crimes
2065,2,23.2,0.663900415
631,1,39.9,0.686721992
1650,2,64.1,0.625742574
558,2,40.2,0.584158416
1898,4,28.2,0.532627866
1817,1,45,0.634285714
1187,1,69.2,0.796190476
1507,7,66.1,0.744813278
1467,3,82.2,0.620512821
1848,7,49,0.59009901
1134,7,75.6,0.76039604
698,7,48.9,0.562610229
1734,2,44,0.603960396
694,2,54.5,0.636904762
1619,3,70.8,0.659047619
140,6,35.1,0.565811966
1946,5,22.9,0.610229277
2069,1,31.5,0.697142857
145,6,23.5,0.53968254
299,1,44.5,0.617821782
1699,4,62.9,0.639004149
1490,6,68.7,0.647266314
135,6,30,0.615079365
1083,2,70.7,0.576068376
418,5,44.1,0.648809524
1123,6,80.1,0.821576763
1997,3,44.3,0.664761905
846,1,54.8,0.702970297
812,5,42.9,0.712522046
555,5,52,0.593162393
935,1,71.3,0.67047619
633,4,54.8,0.572649573
772,1,57.2,0.746031746
1802,2,61.7,0.675485009
1284,4,77.7,0.861386139
970,6,85.2,0.777777778
1724,3,54.9,0.679012346
1769,7,66,0.628571429
804,1,63.8,0.798019802
2158,1,47.4,0.579365079
755,6,50.5,0.634285714
401,3,46.3,0.584761905
2000,7,48.8,0.650793651
2170,3,32.7,0.654761905
624,6,40.4,0.586138614
1201,5,86.5,0.786307054
433,3,47.1,0.659751037
1771,2,50.8,0.636929461
1099,2,84.9,0.715767635
622,4,50.2,0.692460317
1658,6,44.5,0.589065256
605,2,47.7,0.67047619
1629,2,67.6,0.576068376
936,2,67.2,0.706930693
825,1,74.6,0.634188034
178,1,24.1,0.655238095
1302,7,84.5,0.794059406
764,4,75.5,0.641975309
2067,5,49.1,0.564102564
1949,2,42.1,0.651428571
945,7,68.2,0.547008547
543,3,55.9,0.753846154
1731,5,51.1,0.523076923
565,4,46.7,0.641078838
1955,3,29.2,0.561904762
1456,3,74.6,0.738095238
313,6,29.9,0.507936508
509,7,53.1,0.64952381
530,7,38.7,0.624338624
346,1,42.8,0.575238095
1289,4,76.8,0.84952381
547,1,36.5,0.782157676
1772,4,50.3,0.596119929
2072,5,30.2,0.627865961
2134,4,35.6,0.609126984
978,2,70.6,0.772277228
2157,6,41.6,0.514529915
137,2,36,0.673267327
1209,2,77.1,0.639316239
1210,4,82.5,0.724206349
422,3,30.2,0.541446208
1029,7,76.8,0.632478632
584,2,49.6,0.654320988
289,2,32.2,0.527336861
1368,4,77.3,0.758415842
508,6,42.7,0.640873016
1834,3,64.6,0.672619048
2102,3,29.5,0.620811287
1733,1,52.3,0.67047619
1316,5,75.6,0.62962963
869,4,58.3,0.725714286
2002,3,42.1,0.64484127
995,4,77.2,0.752380952
247,2,5.4,0.476190476
1256,2,69.3,0.687830688
1312,7,75.6,0.773809524
1693,3,61.7,0.728215768
1318,1,78.6,0.744047619
481,4,40.4,0.626556017
1124,1,81.5,0.776014109
1852,6,56.1,0.670634921
1556,3,60.6,0.714285714
101,3,14.3,0.607920792
1905,6,42.3,0.555555556
1160,7,77.7,0.684303351
626,2,31.8,0.597883598
877,7,70.9,0.767634855
2094,6,38.5,0.679207921
1030,2,77.1,0.746031746
1429,1,72.2,0.72406639
2182,5,30.9,0.686507937
1526,5,53.3,0.647266314
2190,1,36.4,0.641584158
742,3,52.2,0.650793651
743,4,48.9,0.638095238
1143,5,71.5,0.579487179
1468,5,69.8,0.753968254
275,4,41.5,0.625742574
259,4,22.2,0.507936508
82,6,30.1,0.548571429
1591,7,73.2,0.641078838
614,7,61.3,0.590828924
1317,6,78.1,0.663247863
1094,3,69.2,0.705467372
1599,4,69.7,0.591452991
1136,3,73.4,0.774250441
562,1,40.4,0.623015873
1582,3,73.1,0.688492063
1530,3,68.5,0.647524752
153,2,33.5,0.591269841
2073,6,55.3,0.55042735
1805,6,38.7,0.56952381
1785,7,52.8,0.555555556
2096,2,44.3,0.529100529
183,7,44.6,0.613095238
2099,6,39.5,0.714285714
1093,1,79.2,0.919087137
1627,6,63.6,0.649377593
439,4,56.2,0.676348548
1091,6,76.3,0.80952381
1481,1,73.5,0.662857143
1151,2,78.2,0.681904762
863,3,57,0.681904762
532,3,51.4,0.71031746
1989,6,39,0.531623932
871,6,76.4,0.794605809
435,6,52.5,0.582905983
2116,1,2.2,0.571428571
1217,6,78,0.681904762
2174,1,29.7,0.569664903
1117,5,82.8,0.877593361
88,7,28.1,0.537142857
917,5,71.9,0.779047619
946,2,64,0.660714286
826,3,54.2,0.75
1050,7,73.7,0.805940594
2109,5,29.8,0.51965812
301,4,37,0.590828924
274,3,34.4,0.596190476
195,2,37.1,0.581349206
2064,1,24,0.695049505
1452,4,68.5,0.786138614
474,2,33.8,0.633663366
1358,5,66.9,0.703703704
71,5,24.3,0.63960396
714,7,44.5,0.637623762
581,5,43.8,0.619047619
736,2,55,0.700396825
678,1,51.9,0.63960396
199,1,11.4,0.557319224
1037,4,79.3,0.727619048
1409,3,69.5,0.691428571
609,7,58.8,0.611965812
1741,4,47,0.67219917
1630,4,62.7,0.630952381
1364,6,72.6,0.643738977
1941,5,38.2,0.576068376
2027,1,57.1,0.71047619
1871,3,37.8,0.695238095
525,7,34.9,0.478632479
787,6,48.1,0.661825726
387,5,14.7,0.558974359
805,2,55.7,0.773858921
154,4,34.3,0.592380952
1092,7,84.9,0.885148515
610,2,41.4,0.652777778
658,3,61.5,0.676587302
1105,3,77.3,0.753112033
1639,1,73.9,0.736514523
2037,7,38.7,0.538461538
206,3,25.4,0.48034188
688,1,72.6,0.71031746
1076,7,78.7,0.693121693
913,6,71.4,0.771784232
1262,3,70.1,0.627865961
1293,2,75,0.581196581
1294,4,83.5,0.765873016
1118,7,75.3,0.721340388
617,4,50.9,0.615238095
207,4,28.1,0.650793651
515,1,50,0.697142857
1636,5,63.3,0.694444444
1425,3,64.2,0.596581197
343,4,12,0.546737213
1387,1,77.8,0.81120332
1603,2,68.1,0.721991701
1906,1,49,0.623015873
686,5,57.9,0.701940035
220,1,37.3,0.708571429
1678,5,67,0.771825397
724,7,46.9,0.742063492
671,6,50.3,0.617142857
504,7,34.6,0.611881188
1391,7,77.2,0.672380952
1861,3,40.9,0.626556017
380,3,22.2,0.57319224
757,1,60.7,0.821576763
1862,5,41.1,0.668430335
1649,1,70.5,0.6
620,1,49.5,0.566137566
438,3,31.7,0.598019802
1066,1,81.9,0.746031746
282,6,22.2,0.647302905
1593,3,70.6,0.663247863
1367,3,77.1,0.697142857
1625,4,62.9,0.666666667
1585,6,76.6,0.7406639
125,7,41.8,0.627722772
1119,1,78.4,0.594871795
341,1,41.9,0.637623762
358,2,29.8,0.744047619
1062,2,74.9,0.762376238
1310,4,74.4,0.767195767
269,3,34,0.588118812
876,6,78.3,0.851485149
304,1,55.1,0.64
1239,7,77.4,0.682051282
657,1,50.8,0.61025641
1912,2,48.2,0.628968254
2082,4,34.3,0.625742574
1965,2,34.7,0.524786325
563,2,48.6,0.683809524
1366,2,76.4,0.716269841
164,3,28.7,0.502564103
1465,7,67.4,0.817427386
955,6,68.6,0.809128631
1127,5,81.5,0.683809524
2020,6,34.5,0.718253968
1077,1,70.6,0.617094017
1228,7,80.4,0.742063492
1759,7,56.7,0.690871369
1945,3,42.5,0.730290456
1854,1,48.3,0.691089109
545,6,44.2,0.723809524
1455,1,74.8,0.622222222
1386,7,76.5,0.75049505
1473,4,83.9,0.743589744
81,4,33.9,0.662698413
1322,6,75.3,0.687830688
1978,6,40,0.638888889
939,6,62.4,0.564102564
669,3,42.2,0.51965812
129,5,27.3,0.64484127
2141,6,32.8,0.634285714
1068,3,73.3,0.768316832
1889,6,30.1,0.607619048
1079,4,76.2,0.681904762
1600,6,70.8,0.775793651
311,3,32.8,0.62970297
1855,2,39.1,0.647302905
146,7,34.1,0.535042735
511,2,36.1,0.684647303
1615,4,66.8,0.668049793
1154,6,76.6,0.710758377
400,2,63.2,0.706349206
1229,1,71.5,0.700952381
463,1,36.1,0.67219917
1922,1,21.1,0.534391534
1377,2,75.8,0.678632479
664,4,62.8,0.642857143
284,2,18.2,0.509401709
255,5,21,0.573412698
1202,7,74.8,0.668430335
1199,3,80.5,0.704761905
1400,5,79.1,0.701940035
1681,1,60.1,0.692946058
281,5,36.2,0.621782178
240,6,13.5,0.690871369
1022,5,75.7,0.728395062
1148,5,73.5,0.761904762
60,4,19.4,0.657676349
600,2,37.1,0.659405941
148,3,38.9,0.664761905
436,1,46.3,0.66468254
1729,2,52.3,0.736514523
1920,5,34.2,0.681188119
1219,1,71.9,0.744813278
1213,7,75.7,0.757261411
1394,4,76.5,0.650793651
2172,5,43.2,0.685148515
187,6,26.8,0.677248677
1960,3,40.7,0.615079365
1653,6,52.9,0.598290598
567,7,56.3,0.538461538
2061,4,50,0.533333333
1735,3,49.5,0.751037344
1633,7,64.1,0.676348548
347,2,50.1,0.645544554
452,1,26.5,0.615520282
756,7,63.5,0.631683168
608,6,64.6,0.747795414
