"","Apr","Aug","Dec","Feb","Jan","Jul","Jun","Mar","May","Nov","Oct","Sep","Fri","Mon","Sat","Sun","Thu","Tue","Wed","year","wdsp","temp","total_num_of_crimes"
"53",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2014,6.4,31.1,0.649029982363316
"54",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2014,10.4,32.9,0.566137566137566
"55",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2014,7.9,28.9,0.507936507936508
"56",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2014,13,45.7,0.705467372134039
"57",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2014,6.8,44,0.604938271604938
"58",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2014,16.1,30.2,0.541446208112875
"59",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2014,7.8,22.7,0.611992945326279
"60",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2014,14.3,42.9,0.661375661375661
"61",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2014,9.7,37,0.62962962962963
"62",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2014,17.7,24.9,0.516754850088183
"63",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2014,8.4,26.5,0.615520282186949
"64",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2014,9.4,38.6,0.703703703703704
"65",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2014,9.7,43.9,0.682539682539683
"66",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2014,9.3,37.3,0.700176366843034
"67",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2014,7.8,42.1,0.679012345679012
"68",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2014,11.7,41.9,0.617283950617284
"69",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2014,9.8,27.3,0.537918871252205
"70",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2014,4.9,26.3,0.601410934744268
"71",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2014,11.7,27.9,0.596119929453263
"72",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2014,7.7,26.7,0.608465608465608
"73",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2014,13.9,39.7,0.597883597883598
"74",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2014,13.7,43.5,0.6331569664903
"75",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2014,9.6,35.5,0.64373897707231
"76",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2014,5.8,38.7,0.624338624338624
"77",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2014,11.7,53.7,0.590828924162258
"78",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2014,17.1,47.1,0.786596119929453
"79",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2014,9,41.8,0.668430335097002
"80",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2014,11.5,38.8,0.594356261022928
"81",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2014,13.4,40.6,0.652557319223986
"82",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2014,8.4,40,0.634920634920635
"83",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2014,6.4,44.7,0.574955908289242
"84",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2014,6.9,46,0.64373897707231
"85",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2014,5.9,49.6,0.654320987654321
"86",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2014,5.7,49.6,0.666666666666667
"87",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2014,11.8,57.6,0.682539682539683
"88",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2014,4.5,55.4,0.606701940035273
"89",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2014,10.5,64.6,0.747795414462081
"90",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2014,11.2,61.3,0.590828924162258
"91",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2014,14.9,49.5,0.566137566137566
"92",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2014,10.3,31.8,0.597883597883598
"93",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2014,10.2,39.6,0.673721340388007
"94",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2014,12.7,50.7,0.767195767195767
"95",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2014,6.6,49,0.661375661375661
"96",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2014,8.4,47.3,0.590828924162258
"97",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2014,8.9,61.2,0.560846560846561
"98",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2014,8.3,67.5,0.611992945326279
"99",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2014,10.9,53.3,0.634920634920635
"100",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2014,9.1,43,0.6331569664903
"101",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2014,11,50.5,0.617283950617284
"102",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2014,11,57.9,0.701940035273369
"103",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2014,10.6,51.9,0.62962962962963
"104",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2014,13.8,48.9,0.562610229276896
"105",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2014,14.5,52.2,0.63668430335097
"106",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2014,9.8,56,0.684303350970018
"107",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2014,8.2,52,0.666666666666667
"108",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2014,12.1,46.3,0.756613756613757
"109",0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2014,9.8,49.1,0.728395061728395
"110",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2014,12.8,57,0.622574955908289
"111",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2014,9.6,56.1,0.603174603174603
