,day,sndp,total_num_of_crimes
604,1,0,0.626984127
1954,2,0,0.648809524
8,5,0,0.538461538
274,3,0,0.596190476
1970,2,0,0.541446208
660,5,0,0.702970297
580,4,0,0.748015873
931,2,0,0.790456432
1655,2,0,0.619047619
419,6,0,0.542857143
1596,7,0,0.683168317
2064,1,0,0.695049505
978,2,0,0.772277228
1697,2,0,0.620952381
2014,5,0,0.678571429
1841,5,0,0.674285714
796,5,0,0.692460317
1545,2,0,0.683760684
798,7,0,0.625742574
1610,5,0,0.723104056
876,6,0,0.851485149
578,1,0,0.643738977
1620,4,0,0.601980198
549,4,0,0.615384615
1492,2,0,0.765873016
1732,7,0,0.712301587
276,5,0,0.709543568
393,6,2,0.557264957
1388,3,0,0.717813051
2107,2,0,0.653526971
2069,1,0,0.697142857
1147,3,0,0.807053942
1128,6,0,0.742574257
1475,7,0,0.657142857
298,7,0,0.64
1959,1,2,0.52991453
2120,6,0,0.62962963
1146,2,0,0.758415842
137,2,0,0.673267327
921,3,0,0.666666667
263,2,11,0.615841584
1295,5,0,0.887619048
2002,3,0,0.64484127
1540,3,0,0.700396825
1339,7,0,0.794605809
1588,4,0,0.740079365
714,7,0,0.637623762
1498,3,0,0.654761905
1594,5,0,0.712301587
1528,1,0,0.767857143
1729,2,0,0.736514523
1190,5,0,0.71957672
985,4,0,0.676348548
1532,6,0,0.566137566
1454,7,0,0.641975309
1317,6,0,0.663247863
1171,7,0,0.732365145
913,6,0,0.771784232
2059,1,0,0.639004149
837,3,0,0.635897436
1440,2,0,0.76039604
811,3,0,0.778008299
1693,3,0,0.728215768
311,3,0,0.62970297
1106,5,0,0.680776014
1602,1,0,0.742574257
971,7,0,0.68952381
1630,4,0,0.630952381
349,5,0,0.553791887
972,1,0,0.736633663
1927,7,0,0.68879668
2135,5,0,0.678095238
2008,4,0,0.716269841
1763,6,0,0.672380952
902,6,0,0.638447972
1525,3,0,0.746887967
779,3,0,0.615238095
901,4,0,0.697095436
686,5,0,0.701940035
1570,1,0,0.662698413
409,6,0,0.630705394
2111,1,0,0.607619048
767,1,0,0.607619048
891,5,0,0.682051282
1282,2,0,0.76984127
1618,2,0,0.700396825
720,1,0,0.774257426
1026,3,0,0.930693069
1502,1,0,0.555555556
1380,6,0,0.772277228
1377,2,0,0.678632479
214,7,0,0.577142857
1343,6,0,0.72952381
258,2,1.2,0.697095436
776,6,0,0.613756614
991,5,0,0.79253112
1915,5,1.2,0.717842324
1688,4,0,0.555555556
1451,3,0,0.699047619
1400,5,0,0.701940035
1226,4,0,0.742504409
606,3,0,0.76039604
637,2,0,0.647302905
308,6,3.1,0.512820513
738,4,0,0.708910891
827,4,0,0.67047619
90,2,3.1,0.657676349
573,1,0,0.560683761
1516,6,0,0.662698413
153,2,0,0.591269841
1207,6,0,0.765560166
804,1,0,0.798019802
1349,7,0,0.655238095
839,6,0,0.580952381
586,5,0,0.55952381
68,1,3.9,0.526495726
1869,7,0,0.54017094
1391,7,0,0.672380952
612,4,0,0.702970297
1548,6,0,0.742574257
636,1,0,0.669306931
1079,4,0,0.681904762
374,2,2,0.585537919
948,4,0,0.78019802
1188,2,0,0.685148515
1782,3,0,0.734653465
744,5,0,0.772277228
429,5,0,0.663247863
2175,2,0,0.514529915
552,1,0,0.625742574
483,7,0,0.538461538
1401,6,0,0.699145299
712,5,0,0.654761905
1549,7,0,0.780082988
1890,7,0,0.588118812
800,3,0,0.677248677
284,2,3.1,0.509401709
809,1,0,0.820952381
434,5,1.2,0.661375661
2039,3,0,0.615238095
1683,4,0,0.502564103
1534,2,0,0.71031746
801,4,0,0.641025641
484,2,0,0.718253968
1443,6,0,0.611965812
1337,5,0,0.651428571
1326,4,0,0.718811881
690,3,0,0.695049505
754,5,0,0.698412698
999,2,0,0.700854701
1156,2,0,0.722222222
85,3,0,0.619047619
905,3,0,0.628571429
2011,7,0,0.686721992
1292,1,0,0.693121693
1283,3,0,0.695238095
915,2,0,0.608547009
674,3,0,0.633156966
835,7,0,0.736514523
1792,3,0,0.617063492
492,5,0,0.702970297
1583,4,0,0.647619048
554,4,0,0.594356261
782,7,0,0.652557319
408,5,0,0.732673267
52,1,0,0.56952381
247,2,7.9,0.476190476
479,2,0,0.619047619
1041,2,0,0.601709402
1944,2,0,0.655445545
1926,6,0,0.586138614
1997,3,0,0.664761905
1234,1,0,0.78968254
1473,4,0,0.743589744
113,5,1.2,0.635643564
911,4,0,0.817142857
49,4,7.9,0.509700176
585,3,0,0.603418803
734,6,0,0.622574956
998,1,0,0.758377425
976,7,0,0.740079365
1141,2,0,0.72406639
1090,5,0,0.85515873
956,1,0,0.701940035
1086,6,0,0.801980198
236,1,3.9,0.488888889
1384,5,0,0.704365079
812,5,0,0.712522046
1601,7,0,0.662857143
1859,1,0,0.63047619
1266,1,0,0.734653465
824,7,0,0.721340388
242,2,3.9,0.524786325
307,5,1.2,0.567901235
1263,4,0,0.656410256
1050,7,0,0.805940594
524,6,0,0.643738977
472,7,0,0.617063492
2190,1,0,0.641584158
1805,6,0,0.56952381
611,3,0,0.672380952
906,4,0,0.833663366
777,7,0,0.567521368
994,3,0,0.738095238
1203,1,0,0.697435897
834,6,0,0.637623762
1689,5,0,0.6
1416,5,0,0.685148515
401,3,0,0.584761905
1760,2,0,0.659611993
1823,2,0,0.695238095
1780,1,0,0.712301587
1758,6,0,0.695049505
1338,6,0,0.796039604
559,3,0,0.634854772
1880,1,0,0.62962963
808,7,0,0.712301587
937,3,0,0.755186722
747,2,0,0.558974359
610,2,0,0.652777778
1072,2,0,0.722222222
1420,4,0,0.765873016
697,5,0,0.786307054
313,6,1.2,0.507936508
1352,4,0,0.654320988
967,1,0,0.765560166
56,6,2,0.509401709
1012,6,0,0.636904762
1887,3,0,0.52991453
2118,3,0,0.679207921
826,3,0,0.75
1852,6,0,0.670634921
514,7,0,0.593253968
1652,5,0,0.590828924
1912,2,0,0.628968254
670,5,0,0.712301587
1244,7,0,0.735449735
1394,4,0,0.650793651
1868,6,0,0.58377425
930,1,0,0.730693069
1280,6,0,0.777777778
433,3,0,0.659751037
820,2,0,0.698412698
966,7,0,0.64950495
749,5,0,0.691428571
1876,3,0,0.593253968
328,5,0,0.596190476
1846,5,0,0.75
575,4,0,0.605714286
173,1,0,0.617821782
819,7,0,0.711111111
2049,2,0,0.576068376
785,4,0,0.626666667
115,1,1.2,0.559082892
271,6,5.9,0.479717813
925,1,0,0.697095436
1118,7,0,0.721340388
1882,4,0,0.619047619
1139,7,0,0.740952381
746,1,0,0.758377425
1023,6,0,0.656410256
1892,3,0,0.532627866
1208,1,0,0.668430335
1665,1,0,0.622222222
1432,6,0,0.797619048
163,2,3.9,0.48324515
831,2,0,0.61025641
341,1,0,0.637623762
1062,2,0,0.762376238
1654,1,0,0.716269841
1320,3,0,0.706930693
1239,7,0,0.682051282
1034,7,0,0.747795414
383,7,0,0.575238095
447,1,0,0.637606838
1699,4,0,0.639004149
2005,6,0,0.622406639
1595,6,0,0.733333333
264,3,1.2,0.639004149
265,5,7.1,0.587301587
1356,2,0,0.75049505
1644,1,0,0.831683168
1740,3,0,0.601980198
877,7,0,0.767634855
1789,5,0,0.695020747
1691,1,0,0.693333333
698,7,0,0.562610229
1276,1,0,0.827380952
1694,5,0,0.624338624
1826,6,0,0.723104056
386,4,3.1,0.53968254
1161,1,0,0.687179487
1421,5,0,0.622857143
537,2,0,0.579487179
1254,6,0,0.744554455
198,6,3.9,0.643153527
2023,2,0,0.632780083
923,6,0,0.727619048
1018,7,0,0.714285714
1547,5,0,0.725714286
491,4,0,0.596190476
1867,4,0,0.639004149
643,3,0,0.692946058
1287,1,0,0.629059829
1043,5,0,0.634285714
1550,2,0,0.617283951
1370,7,0,0.633156966
2140,5,2,0.662698413
1948,1,0,0.636904762
490,3,0,0.652777778
1582,3,0,0.688492063
647,2,0,0.699047619
1073,3,0,0.695238095
1748,7,0,0.615520282
1755,2,0,0.618803419
1424,2,0,0.705467372
130,7,0,0.655238095
2046,5,0,0.62970297
1081,6,0,0.834024896
1714,4,0,0.650793651
1346,3,0,0.733686067
2182,5,0,0.686507937
696,4,0,0.695049505
196,4,0,0.571428571
2114,5,0,0.67372134
1520,4,0,0.624338624
922,5,0,0.740079365
571,5,0,0.684647303
91,4,0,0.557319224
2103,4,0,0.588034188
261,6,0,0.589285714
282,6,0,0.647302905
381,4,3.9,0.500854701
511,2,0,0.684647303
1696,1,0,0.692460317
875,5,0,0.672380952
983,2,0,0.742857143
899,2,0,0.739047619
522,3,0,0.584158416
1281,7,0,0.676923077
1002,6,0,0.706930693
317,4,0,0.675247525
322,4,0,0.603809524
1049,6,0,0.702857143
1192,1,0,0.732142857
1330,3,0,0.658730159
1019,1,0,0.678095238
403,5,0,0.670124481
927,4,0,0.623931624
1213,7,0,0.757261411
191,4,0,0.736633663
438,3,0,0.598019802
1781,2,0,0.651428571
1709,4,0,0.634285714
1172,2,0,0.712522046
388,7,0,0.573412698
301,4,2,0.590828924
86,4,3.1,0.664957265
1478,4,0,0.613756614
384,1,0,0.643564356
1710,5,0,0.592079208
618,5,0,0.702970297
1348,6,0,0.755952381
1009,1,0,0.755186722
123,4,1.2,0.617063492
1033,5,0,0.765560166
1173,3,0,0.632478632
627,3,0,0.647863248
1256,2,0,0.687830688
1209,2,0,0.639316239
979,3,0,0.736514523
602,5,0,0.60670194
1762,5,0,0.706349206
974,4,0,0.694885362
361,5,0,0.705394191
1374,5,0,0.756435644
81,4,1.2,0.662698413
13,5,9.1,0.48324515
1724,3,0,0.679012346
616,3,0,0.658730159
1711,6,0,0.711618257
151,7,3.9,0.500881834
377,6,0,0.548571429
1523,1,0,0.64952381
737,3,0,0.664761905
1249,6,0,0.765560166
1578,4,0,0.778217822
952,3,0,0.694444444
1138,6,0,0.674603175
1700,6,0,0.636684303
980,5,0,0.793650794
1029,7,0,0.632478632
1150,1,0,0.628968254
58,2,0,0.685714286
1921,6,1.2,0.636929461
1504,4,0,0.777777778
607,4,0,0.728215768
421,1,0,0.678423237
2179,7,0,0.701244813
110,1,0,0.570940171
1221,4,0,0.676923077
455,5,1.2,0.613333333
1552,5,0,0.732142857
882,7,0,0.84950495
1713,2,0,0.598290598
2124,4,0,0.675247525
1006,5,0,0.718253968
742,3,0,0.650793651
1642,6,0,0.76984127
904,2,0,0.708333333
1103,1,0,0.826666667
2094,6,0,0.679207921
1503,2,0,0.567521368
1894,6,0,0.708333333
1407,7,0,0.603418803
2020,6,0,0.718253968
806,4,0,0.597883598
463,1,0,0.67219917
365,4,0,0.540952381
639,5,0,0.632478632
513,5,1.2,0.601709402
1267,2,0,0.778008299
1108,1,0,0.777777778
1237,4,0,0.786307054
309,7,0,0.589285714
1666,3,0,0.714285714
1452,4,0,0.786138614
1939,2,0,0.738589212
485,3,0,0.63047619
1184,4,0,0.657848325
464,3,0,0.682539683
1636,5,0,0.694444444
224,6,11,0.502564103
80,3,3.1,0.543589744
1361,2,0,0.708571429
521,2,0,0.607619048
890,4,0,0.608465608
595,2,0,0.649377593
760,6,0,0.682539683
1853,7,0,0.632380952
1170,6,0,0.669306931
1701,7,0,0.598290598
1232,5,0,0.765432099
510,1,0,0.691089109
1054,6,0,0.726190476
1245,1,0,0.668376068
1751,4,0,0.683809524
1477,2,0,0.636929461
344,5,5.9,0.492307692
1132,5,0,0.726190476
1044,6,0,0.708910891
1087,7,0,0.713692946
996,5,0,0.754455446
665,5,0,0.72
1212,6,0,0.693069307
642,2,0,0.671287129
1730,4,0,0.608465608
1519,2,0,0.701244813
1518,1,0,0.683168317
1945,3,0,0.730290456
1661,3,0,0.624761905
1262,3,0,0.627865961
1059,5,0,0.594871795
148,3,0,0.664761905
1299,3,0,0.618803419
1260,7,0,0.695049505
1895,7,0,0.573333333
445,5,0,0.699170124
1472,3,0,0.627865961
1593,3,0,0.663247863
680,4,0,0.617283951
1808,3,0,0.675485009
1972,5,0,0.640873016
672,7,0,0.605940594
892,7,0,0.751984127
1648,7,0,0.589285714
1626,5,0,0.714851485
1433,7,0,0.598095238
1813,2,0,0.65560166
880,5,0,0.714285714
207,4,0,0.650793651
992,7,0,0.728395062
683,1,0,0.662857143
1328,7,0,0.71957672
1423,7,0,0.699170124
2081,3,0,0.586666667
1381,7,0,0.755186722
1404,3,0,0.722772277
1706,7,0,0.574955908
109,7,1.2,0.546737213
1217,6,0,0.681904762
428,4,3.1,0.611992945
2031,6,0,0.541880342
2158,1,0,0.579365079
1399,3,0,0.697095436
894,2,0,0.827722772
2162,6,0,0.57319224
297,5,0,0.66468254
1342,5,0,0.71031746
2098,5,3.1,0.656746032
2056,5,0,0.593253968
142,2,0,0.685714286
1587,2,0,0.603418803
1906,1,0,0.623015873
2058,7,0,0.655445545
1336,4,0,0.791666667
1253,5,0,0.737142857
1674,6,0,0.637623762
1641,4,0,0.711111111
183,7,0,0.613095238
1057,2,0,0.807053942
353,3,0,0.60990099
1321,4,0,0.79253112
866,7,0,0.634920635
762,1,0,0.772277228
443,3,3.1,0.579047619
509,7,0,0.64952381
942,3,0,0.752475248
2078,6,0,0.641975309
609,7,0,0.611965812
1491,7,0,0.627350427
376,5,1.2,0.632936508
775,4,0,0.721991701
794,2,0,0.64021164
152,1,1.2,0.572649573
1099,2,0,0.715767635
502,5,0,0.670634921
474,2,0,0.633663366
692,6,0,0.62962963
853,3,0,0.7406639
1481,1,0,0.662857143
1698,3,0,0.689108911
885,4,0,0.675213675
751,7,0,0.738589212
1205,4,0,0.67047619
2188,6,0,0.609126984
830,1,0,0.693121693
886,6,0,0.736111111
2163,7,0,0.507692308
540,6,0,0.63960396
675,4,0,0.629059829
716,3,0,0.666666667
982,1,0,0.742063492
759,4,0,0.61025641
530,7,0,0.624338624
210,1,0,0.705394191
1200,4,0,0.724752475
1557,4,0,0.593162393
1848,7,0,0.59009901
855,6,0,0.647863248
18,4,0,0.753112033
1355,1,0,0.699047619
2185,1,0,0.628630705
1385,6,0,0.767619048
1486,1,0,0.75
2106,1,0,0.621782178
323,5,0,0.635643564
2156,5,0,0.520282187
1039,6,0,0.790456432
348,3,0,0.645228216
436,1,0,0.66468254
1836,5,0,0.734653465
1645,2,0,0.875518672
574,3,0,0.581349206
1744,2,0,0.746031746
1650,2,0,0.625742574
1565,1,0,0.699047619
1058,4,0,0.712522046
1971,3,1.2,0.500854701
1327,5,0,0.757261411
592,6,1.2,0.597222222
2174,1,0,0.569664903
1628,1,0,0.64021164
1638,7,0,0.63960396
329,6,0,0.594059406
1569,6,0,0.622222222
963,3,0,0.652991453
1296,6,0,0.906930693
962,2,0,0.564373898
454,4,0,0.64484127
997,6,0,0.7406639
2076,3,0,0.724752475
1011,4,0,0.661538462
1135,1,0,0.854771784
220,1,0,0.708571429
504,7,0,0.611881188
1447,4,0,0.838174274
1681,1,0,0.692946058
527,3,0,0.626666667
640,7,0,0.64484127
1842,6,0,0.687128713
1978,6,0,0.638888889
1455,1,0,0.622222222
1157,3,0,0.60952381
2134,4,2,0.609126984
60,4,0,0.657676349
1649,1,0,0.6
1107,6,0,0.705982906
807,5,0,0.707692308
145,6,3.1,0.53968254
836,2,0,0.633156966
873,2,0,0.625641026
2063,7,0,0.556190476
1115,3,0,0.824761905
2130,5,0,0.655445545
1816,7,0,0.714285714
1159,5,0,0.769709544
316,3,0,0.615238095
1990,1,0,0.674603175
79,2,0,0.578483245
380,3,3.1,0.57319224
310,2,0,0.632380952
318,5,0,0.697095436
154,4,0,0.592380952
1955,3,0,0.561904762
1639,1,0,0.736514523
195,2,0,0.581349206
815,2,0,0.647619048
1230,2,0,0.752475248
1785,7,0,0.555555556
1251,2,0,0.673504274
1521,5,0,0.553846154
860,6,0,0.64021164
1242,4,0,0.724752475
441,7,0,0.632478632
1855,2,0,0.647302905
1671,2,0,0.627350427
1408,2,0,0.712301587
124,6,0,0.64952381
411,2,0,0.644444444
977,1,0,0.64952381
622,4,0,0.692460317
1405,4,0,0.699170124
710,2,0,0.684303351
1829,3,0,0.727619048
1468,5,0,0.753968254
461,6,0,0.598095238
1419,2,0,0.656410256
1051,1,0,0.794605809
1312,7,0,0.773809524
1934,3,0,0.532627866
352,2,0,0.571428571
1240,2,0,0.888888889
2073,6,0,0.55042735
1879,6,0,0.647302905
1529,2,0,0.651428571
1372,3,0,0.833333333
695,3,0,0.685714286
1936,6,0,0.589285714
529,5,0,0.624481328
950,7,0,0.610229277
1923,2,0,0.54017094
727,3,0,0.807053942
955,6,0,0.809128631
1807,1,0,0.690871369
1837,6,0,0.670124481
1229,1,0,0.700952381
651,7,0,0.562393162
488,7,0,0.537918871
1315,3,0,0.751037344
1153,4,0,0.786307054
1574,6,0,0.682539683
292,6,0,0.64
1483,3,0,0.674273859
1718,2,0,0.633156966
465,4,0,0.58974359
1271,1,0,0.761904762
2146,6,1.2,0.577380952
739,5,0,0.751037344
1105,3,0,0.753112033
2167,5,0,0.690871369
914,1,0,0.758377425
719,7,0,0.6
1778,5,0,0.693121693
67,7,1.2,0.555555556
321,2,0,0.597222222
1949,2,0,0.651428571
1858,7,0,0.66468254
743,4,0,0.638095238
1738,1,0,0.742063492
1306,6,0,0.751984127
1576,2,0,0.755952381
128,4,0,0.618803419
495,2,2,0.548717949
538,4,0,0.682539683
1038,5,0,0.695049505
253,3,7.1,0.485008818
396,3,0,0.615841584
872,1,0,0.619047619
556,7,0,0.615079365
1695,6,0,0.58974359
1606,7,0,0.761904762
1769,7,0,0.628571429
671,6,0,0.617142857
1004,2,0,0.779541446
829,6,0,0.77593361
1979,7,0,0.592380952
1430,3,0,0.659611993
847,2,0,0.721991701
1952,6,0,0.571428571
728,5,0,0.728395062
888,1,0,0.823762376
395,2,0,0.594285714
1395,5,0,0.71965812
797,6,0,0.634285714
620,1,0,0.566137566
1563,5,0,0.67008547
118,5,0,0.693333333
1145,1,0,0.697142857
2145,4,0,0.548717949
821,3,0,0.72952381
1065,6,0,0.593162393
1507,7,0,0.744813278
2010,6,1.2,0.722772277
1227,5,0,0.699145299
1014,1,0,0.857425743
10,1,0,0.567619048
755,6,0,0.634285714
1144,7,0,0.692460317
468,1,0,0.625742574
1692,2,0,0.710891089
1272,2,0,0.778217822
356,6,0,0.582010582
731,2,0,0.56952381
2125,5,0,0.643153527
2013,3,0,0.577777778
1930,5,0,0.718253968
1609,3,0,0.670124481
1878,5,0,0.657425743
865,5,0,0.838174274
1821,6,0,0.547008547
1524,2,0,0.663366337
856,1,0,0.753968254
283,1,11,0.504409171
2086,3,3.1,0.557539683
707,5,0,0.700952381
833,5,0,0.678095238
1505,5,0,0.613333333
547,1,0,0.782157676
810,2,0,0.708910891
1345,1,0,0.703319502
1189,3,0,0.757261411
678,1,0,0.63960396
736,2,0,0.700396825
1663,5,0,0.682572614
1616,6,0,0.742504409
1742,6,0,0.670194004
155,5,0,0.691089109
2021,7,0,0.596190476
1667,4,0,0.592380952
1197,7,0,0.608547009
406,3,0,0.654761905
169,3,3.1,0.603174603
1579,5,0,0.788381743
88,7,0,0.537142857
1085,5,0,0.685714286
536,1,0,0.590828924
761,7,0,0.577142857
1929,3,0,0.562393162
1460,1,0,0.814814815
772,1,0,0.746031746
1279,4,0,0.883817427
1247,4,0,0.681904762
693,7,0,0.606837607
202,5,0,0.588571429
1116,4,0,0.776237624
1771,2,0,0.636929461
1471,1,0,0.782157676
822,4,0,0.714851485
1482,2,0,0.76039604
959,5,0,0.742857143
1784,6,0,0.634920635
2084,7,0,0.57319224
832,4,0,0.706349206
1246,3,0,0.722222222
841,1,0,0.804979253
426,1,0,0.601980198
773,2,0,0.643809524
1186,7,0,0.676587302
758,3,0,0.656084656
958,4,0,0.740079365
1761,3,0,0.658119658
45,5,1.2,0.704365079
1806,7,0,0.621782178
623,5,0,0.702857143
2007,2,0,0.608547009
1167,2,0,0.58974359
1444,1,0,0.831349206
889,2,0,0.763485477
473,1,0,0.611428571
2065,2,0,0.663900415
2054,2,0,0.552028219
1881,2,0,0.531623932
486,4,0,0.641584158
803,7,0,0.668571429
1199,3,0,0.704761905
404,7,0,0.507936508
1163,4,0,0.693333333
1767,4,0,0.618803419
1215,3,0,0.652991453
450,5,0,0.64950495
