,day,sndp,total_num_of_crimes
1605,5,0,0.65982906
1428,7,0,0.726732673
774,3,0,0.756435644
1307,7,0,0.773333333
984,3,0,0.742574257
560,5,0,0.652557319
1133,6,0,0.693333333
1871,3,0,0.695238095
802,6,0,0.662698413
565,4,0,0.641078838
2015,6,0,0.659047619
1937,7,0,0.601904762
1020,2,0,0.716831683
1250,1,0,0.733686067
1155,7,0,0.622222222
763,2,0,0.692946058
1202,7,0,0.668430335
1991,2,0,0.691428571
1839,2,0,0.598290598
269,3,5.9,0.588118812
260,5,3.1,0.483760684
1319,2,0,0.706666667
1772,4,0,0.596119929
870,5,0,0.772277228
66,5,0,0.730290456
416,2,0,0.604938272
1084,4,0,0.746031746
863,3,0,0.681904762
2089,6,0,0.670124481
986,6,0,0.691358025
1746,4,0,0.64950495
1623,1,0,0.611965812
1264,6,0,0.884920635
171,5,0,0.634920635
700,3,0,0.648809524
879,3,0,0.627350427
1571,2,0,0.651428571
1331,4,0,0.67047619
1918,3,0,0.720238095
1901,1,0,0.636190476
1235,2,0,0.725714286
940,1,0,0.706349206
1016,4,0,0.724867725
1802,2,0,0.675485009
1154,6,0,0.710758377
96,3,2,0.678423237
1736,5,0,0.710758377
1820,5,0,0.716049383
1140,1,0,0.752475248
846,1,0,0.702970297
960,6,0,0.700990099
975,5,0,0.687179487
1590,6,0,0.748514851
1311,5,0,0.700854701
1397,1,0,0.662857143
1715,5,0,0.676190476
1544,1,0,0.636684303
653,3,0,0.71047619
1056,1,0,0.78019802
50,5,3.1,0.488888889
562,1,0,0.623015873
1046,2,0,0.69664903
116,2,0,0.608547009
1877,4,0,0.582857143
924,7,0,0.78019802
2183,6,2,0.558095238
1297,7,0,0.813278008
410,1,0,0.705467372
1670,1,0,0.571428571
1720,5,0,0.801587302
862,2,0,0.761904762
1403,2,0,0.740952381
1255,7,0,0.769709544
1568,5,0,0.710758377
21,1,2,0.615079365
1340,2,0,0.596119929
1672,4,0,0.682539683
1664,7,0,0.576719577
2053,7,0,0.622406639
1561,2,0,0.755186722
864,4,0,0.805940594
1027,4,0,0.709543568
1383,3,0,0.618803419
679,2,0,0.697095436
1333,6,0,0.734439834
1060,7,0,0.678571429
451,6,0,0.659751037
1809,4,0,0.533333333
654,4,0,0.653465347
597,5,0,0.613675214
213,5,0,0.609126984
1591,7,0,0.641078838
1721,6,0,0.554285714
112,4,0,0.660952381
634,6,0,0.654761905
771,6,0,0.541880342
1067,2,0,0.746666667
663,2,0,0.547008547
1463,5,0,0.765714286
789,2,0,0.620512821
1733,1,0,0.67047619
1007,6,0,0.674285714
1497,1,0,0.647863248
1675,7,0,0.647302905
2112,2,0,0.615841584
122,3,0,0.6
1308,1,0,0.762376238
1493,3,0,0.548571429
240,6,0,0.690871369
1162,3,0,0.656746032
1195,4,0,0.860995851
1000,4,0,0.78968254
1204,3,0,0.779761905
918,6,0,0.736633663
1509,3,0,0.557264957
1917,1,0,0.613675214
