,day,wdsp,sndp,total_num_of_crimes
903,7,15.6,0,0.524786325
1794,5,7.3,0,0.75049505
1615,4,9.3,0,0.668049793
885,4,5.3,0,0.675213675
1855,2,9.2,0,0.647302905
946,2,9.6,0,0.660714286
1194,3,7.8,0,0.792079208
599,1,14.3,0,0.601904762
1851,4,10.1,0,0.634188034
606,3,9.6,0,0.76039604
1036,3,6.5,0,0.755952381
388,7,8.9,0,0.573412698
1671,2,5.7,0,0.627350427
2105,7,3.3,0,0.622857143
1702,2,8,0,0.676587302
960,6,4.6,0,0.700990099
1153,4,7.8,0,0.786307054
635,7,12,0,0.626666667
1343,6,8.4,0,0.72952381
1830,4,10.1,0,0.853465347
1388,3,6.7,0,0.717813051
1285,5,5.6,0,0.98340249
1721,6,5,0,0.554285714
1920,5,10.3,0,0.681188119
1848,7,13.3,0,0.59009901
1478,4,10.9,0,0.613756614
268,2,11,0,0.651428571
1178,3,6.7,0,0.761904762
2185,1,13.7,0,0.628630705
1070,6,9.2,0,0.708994709
2020,6,6.3,0,0.718253968
21,1,10.5,2,0.615079365
2125,5,3.7,0,0.643153527
948,4,6.4,0,0.78019802
1344,7,5.4,0,0.811881188
1004,2,12.9,0,0.779541446
933,5,11,0,0.635897436
672,7,9.2,0,0.605940594
1225,2,7.1,0,0.796680498
1103,1,6.6,0,0.826666667
607,4,15.8,0,0.728215768
805,2,4,0,0.773858921
1574,6,10.8,0,0.682539683
147,1,7.2,0,0.686507937
1578,4,6.6,0,0.778217822
2082,4,5.2,0,0.625742574
1336,4,8.6,0,0.791666667
1193,2,3.3,0,0.702857143
1087,7,5.7,0,0.713692946
400,2,12.2,0,0.706349206
721,2,7.8,0,0.755186722
1499,4,7.7,0,0.666666667
179,2,6.8,0,0.588118812
1416,5,8.8,0,0.685148515
491,4,9.4,0,0.596190476
2163,7,14.5,0,0.507692308
1202,7,3.3,0,0.668430335
768,2,6,0,0.728712871
1630,4,13.7,0,0.630952381
1919,4,10.4,0,0.601904762
632,3,10.2,0,0.67372134
281,5,10.6,1.2,0.621782178
511,2,6.4,0,0.684647303
834,6,5.1,0,0.637623762
1647,5,19.1,0,0.632478632
2141,6,9.3,0,0.634285714
346,1,6.8,0,0.575238095
1654,1,3.9,0,0.716269841
1264,6,9,0,0.884920635
1290,5,4.9,0,0.851485149
998,1,6.9,0,0.758377425
1552,5,9.6,0,0.732142857
866,7,3.5,0,0.634920635
1364,6,7.1,0,0.643738977
1925,5,8.8,0,0.681904762
1134,7,4.7,0,0.76039604
821,3,15.5,0,0.72952381
1386,7,5.4,0,0.75049505
2033,2,22.4,0,0.674285714
189,1,5.4,0,0.777777778
1944,2,9.3,0,0.655445545
1335,2,6.9,0,0.629059829
2038,2,5.9,1.2,0.634920635
270,4,9,1.2,0.753112033
1937,7,12.3,0,0.601904762
1669,6,8.9,0,0.709543568
142,2,6.6,0,0.685714286
1609,3,11.8,0,0.670124481
1618,2,11.4,0,0.700396825
1620,4,6.1,0,0.601980198
1469,6,4.1,0,0.67047619
919,7,7.5,0,0.738589212
652,2,8.7,0,0.66468254
96,3,8.8,2,0.678423237
1289,4,7.6,0,0.84952381
557,1,6.5,0,0.620952381
442,2,7.4,0,0.726190476
609,7,8,0,0.611965812
615,1,10.5,0,0.625641026
1605,5,7.1,0,0.65982906
1959,1,8.8,2,0.52991453
1670,1,9,0,0.571428571
1484,5,11.4,0,0.687830688
64,3,11.6,0,0.552380952
1583,4,5.9,0,0.647619048
1709,4,6.9,0,0.634285714
1940,4,13.7,0,0.552028219
240,6,6.5,0,0.690871369
1598,3,5.3,0,0.717813051
1406,6,3.5,0,0.707231041
900,3,7.8,0,0.792079208
691,4,3.5,0,0.721991701
323,5,10.3,0,0.635643564
1443,6,5.6,0,0.611965812
969,4,6.2,0,0.694017094
435,6,8.2,0,0.582905983
489,1,11.5,3.1,0.487179487
1400,5,6.3,0,0.701940035
486,4,6,0,0.641584158
432,2,9.2,1.2,0.60990099
1231,3,5,0,0.736514523
438,3,9.9,0,0.598019802
428,4,7.8,3.1,0.611992945
1737,6,8.5,0,0.536752137
1097,7,7.4,0,0.683809524
217,4,8.7,9.1,0.553791887
478,1,4.8,0,0.638888889
1464,6,9.3,0,0.805940594
195,2,9.2,0,0.581349206
1006,5,9.1,0,0.718253968
1205,4,8,0,0.67047619
825,1,12.9,0,0.634188034
1698,3,10.6,0,0.689108911
926,3,9,0,0.647266314
140,6,8.5,0,0.565811966
1266,1,5.7,0,0.734653465
112,4,6.3,0,0.660952381
947,3,10,0,0.716190476
185,3,14.5,0,0.659405941
1428,7,6.8,0,0.726732673
1975,1,7.3,0,0.680497925
684,2,6.3,0,0.643564356
1052,3,4.1,0,0.671957672
1248,5,8.3,0,0.764356436
1686,1,8.2,0,0.657425743
1027,4,10.6,0,0.709543568
1082,1,11.6,0,0.682539683
1439,1,4.6,0,0.6
275,4,5.8,2,0.625742574
920,2,9.9,0,0.770723104
959,5,8.6,0,0.742857143
819,7,11.3,0,0.711111111
790,4,8.4,0,0.650793651
1112,6,7.5,0,0.705467372
1732,7,7.8,0,0.712301587
49,4,3.4,7.9,0.509700176
1635,3,15.2,0,0.572649573
1521,5,7.2,0,0.553846154
1078,3,6.8,0,0.78968254
997,6,9.5,0,0.7406639
1945,3,4.2,0,0.730290456
820,2,8.4,0,0.698412698
453,2,15,0,0.565811966
665,5,12.6,0,0.72
2027,1,15.2,0,0.71047619
2176,4,13.4,0,0.626984127
509,7,7.4,0,0.64952381
399,7,6.7,1.2,0.488888889
886,6,12.8,0,0.736111111
1251,2,6.8,0,0.673504274
2179,7,10.7,0,0.701244813
722,4,12.1,0,0.756613757
1175,6,5.2,0,0.782857143
1664,7,9.9,0,0.576719577
961,7,6.8,0,0.763485477
1827,7,10.9,0,0.709401709
1140,1,7.3,0,0.752475248
2178,6,7.2,0,0.61980198
2148,1,9.8,0,0.588118812
1455,1,2.3,0,0.622222222
769,3,10.8,0,0.755186722
2115,6,10.7,0,0.514529915
944,6,5,0,0.754850088
490,3,11,0,0.652777778
1666,3,9.4,0,0.714285714
299,1,8.9,0,0.617821782
1482,2,7.5,0,0.76039604
1678,5,9.3,0,0.771825397
1083,2,6.6,0,0.576068376
154,4,11.5,0,0.592380952
2108,4,4.6,0,0.580246914
889,2,7.9,0,0.763485477
1050,7,6.3,0,0.805940594
861,7,5.4,0,0.555555556
1390,6,9.6,0,0.763888889
2036,6,11,0,0.567901235
1272,2,6.7,0,0.778217822
1162,3,7.9,0,0.656746032
658,3,9.2,0,0.676587302
67,7,11.8,1.2,0.555555556
421,1,9.9,0,0.678423237
1184,4,3.9,0,0.657848325
1048,5,7.3,0,0.720238095
301,4,6.5,2,0.590828924
106,3,9.1,0,0.636190476
1117,5,6.4,0,0.877593361
1801,7,12.2,0,0.657676349
444,4,7.3,0,0.653465347
62,7,10,3.1,0.511111111
436,1,4.7,0,0.66468254
1159,5,4.6,0,0.769709544
802,6,12.5,0,0.662698413
1586,1,6.2,0,0.686067019
1677,3,5.5,0,0.586324786
660,5,4.6,0,0.702970297
784,3,5.4,0,0.759920635
343,4,14.5,0,0.546737213
366,5,6,0,0.702970297
1515,4,4.5,0,0.548717949
341,1,8.1,0,0.637623762
1329,1,4.8,0,0.639316239
2085,1,14.6,0,0.593162393
779,3,6.1,0,0.615238095
746,1,11.7,0,0.758377425
1483,3,9.3,0,0.674273859
2126,7,7.8,0,0.523809524
897,6,10.3,0,0.565811966
1211,5,6.1,0,0.666666667
1662,4,14.8,0,0.592079208
1645,2,8.2,0,0.875518672
2055,3,7.8,0,0.517948718
284,2,9.1,3.1,0.509401709
172,7,9,0,0.586666667
1508,2,6.6,0,0.633156966
2008,4,12.4,0,0.716269841
1017,5,10.7,0,0.625641026
812,5,8.9,0,0.712522046
1792,3,9.9,0,0.617063492
699,1,11.9,0,0.6
326,2,12.6,3.1,0.557264957
1554,7,6.8,0,0.691089109
712,5,7.9,0,0.654761905
1397,1,7,0,0.662857143
1265,7,4.9,0,0.708571429
619,6,11.2,0,0.657676349
1423,7,8.8,0,0.699170124
1226,4,8.2,0,0.742504409
560,5,13.4,0,0.652557319
628,5,7.3,0,0.718253968
910,3,6,0,0.882936508
854,5,4.8,0,0.670194004
1450,2,4.6,0,0.698412698
1454,7,6.4,0,0.641975309
898,1,6.1,0,0.751984127
682,7,7,0,0.662698413
870,5,6.6,0,0.772277228
202,5,9.6,0,0.588571429
2064,1,5.2,0,0.695049505
175,4,15.3,2,0.60670194
1019,1,8.1,0,0.678095238
484,2,11.9,0,0.718253968
1100,4,6.9,0,0.746031746
153,2,14.3,0,0.591269841
907,5,6.9,0,0.778008299
734,6,12.8,0,0.622574956
1811,7,7.6,0,0.632380952
1749,1,13.2,0,0.652991453
1137,4,7.2,0,0.54017094
750,6,7.1,0,0.774257426
1924,4,9.8,0,0.736111111
2034,3,9.1,0,0.699009901
864,4,5.3,0,0.805940594
1772,4,6.4,0,0.596119929
318,5,6,0,0.697095436
109,7,10.8,1.2,0.546737213
1328,7,7.7,0,0.71957672
823,5,9.2,0,0.771784232
791,5,6.3,0,0.79047619
1108,1,6.1,0,0.777777778
1156,2,12.1,0,0.722222222
1132,5,7.5,0,0.726190476
782,7,7.7,0,0.652557319
1706,7,7.8,0,0.574955908
1822,1,6.9,0,0.833333333
1998,4,5.6,2,0.621782178
634,6,6,0,0.654761905
552,1,5.9,0,0.625742574
1223,7,5.2,0,0.739047619
2182,5,10.9,0,0.686507937
1541,4,3.9,0,0.632380952
507,4,8.1,0,0.555555556
1333,6,5.3,0,0.734439834
1422,6,9.1,0,0.76039604
380,3,10.4,3.1,0.57319224
571,5,4.9,0,0.684647303
1922,1,13.3,0,0.534391534
1042,4,7.6,0,0.734126984
702,5,10.2,0,0.720792079
1952,6,10.1,0,0.571428571
52,1,10.4,0,0.56952381
236,1,13.4,3.9,0.488888889
963,3,11.5,0,0.652991453
2170,3,8.2,0,0.654761905
155,5,12.3,0,0.691089109
1812,1,6.3,0,0.691089109
8,5,5.1,0,0.538461538
817,4,8,0,0.751037344
797,6,6.4,0,0.634285714
1355,1,4.8,0,0.699047619
311,3,10.2,0,0.62970297
986,6,6.3,0,0.691358025
2121,7,10.9,0,0.552136752
1563,5,8.8,0,0.67008547
705,2,5.4,0,0.564102564
1010,3,9.9,0,0.664902998
74,2,9.1,3.1,0.548717949
1674,6,6.9,0,0.637623762
241,1,6.7,7.9,0.490299824
857,2,7.7,0,0.674285714
2037,7,5.2,0,0.538461538
1969,7,8.9,0,0.701244813
2015,6,4.9,0,0.659047619
500,2,11.7,0,0.596119929
1368,4,4.5,0,0.758415842
1968,6,10,0,0.59009901
706,4,9.8,0,0.712301587
1313,1,6.6,0,0.723809524
265,5,10.4,7.1,0.587301587
533,4,12.2,0,0.615238095
1559,7,7.1,0,0.683809524
732,3,14.8,0,0.738613861
1826,6,13.5,0,0.723104056
1553,6,7.8,0,0.697142857
459,3,4.3,0,0.521367521
558,2,9.5,0,0.584158416
1911,7,8.3,0,0.555555556
1022,5,7.3,0,0.728395062
556,7,12,0,0.615079365
402,4,10,0,0.592079208
1130,2,11.2,0,0.708994709
66,5,4.4,0,0.730290456
1133,6,7.5,0,0.693333333
2013,3,7.5,0,0.577777778
1465,7,5.2,0,0.817427386
1673,5,5.7,0,0.624761905
1896,1,6.5,0,0.611881188
178,1,9.7,0,0.655238095
458,2,9.4,0,0.703703704
1358,5,5.2,0,0.703703704
718,6,11.6,0,0.571428571
1404,3,9.2,0,0.722772277
488,7,9.8,0,0.537918871
1025,2,8.8,0,0.712380952
719,7,15,0,0.6
1561,2,6.9,0,0.755186722
1319,2,4.4,0,0.706666667
1030,2,7.4,0,0.746031746
1186,7,10.2,0,0.676587302
50,5,15,3.1,0.488888889
1842,6,4.2,0,0.687128713
1191,6,8,0,0.613675214
295,3,7.7,3.9,0.596119929
583,7,7.3,0,0.699170124
899,2,9.7,0,0.739047619
2014,5,7.7,0,0.678571429
1145,1,8.4,0,0.697142857
434,5,14.3,1.2,0.661375661
1457,4,11.1,0,0.615238095
1059,5,7.9,0,0.594871795
675,4,7.9,0,0.629059829
10,1,6.1,0,0.567619048
949,5,7.9,0,0.831950207
1449,7,4.3,0,0.634188034
1667,4,4.4,0,0.592380952
563,2,8.1,0,0.683809524
1523,1,5.1,0,0.64952381
2084,7,7.3,0,0.57319224
1637,6,9.5,0,0.603809524
1740,3,10.4,0,0.601980198
867,1,12.8,0,0.582905983
382,6,8,1.2,0.579365079
1916,7,6.4,0,0.552028219
522,3,5.3,0,0.584158416
1733,1,7.1,0,0.67047619
1034,7,4.7,0,0.747795414
1977,4,12.9,0,0.499145299
991,5,10.6,0,0.79253112
1660,2,7,0,0.652777778
1291,6,4,0,0.842323651
848,4,8.3,0,0.687830688
423,4,6.5,0,0.623931624
2168,7,8.1,0,0.497354497
94,1,4.8,0,0.573333333
1230,2,4.8,0,0.752475248
1846,5,4.6,0,0.75
161,6,13.8,0,0.621782178
386,4,7.6,3.1,0.53968254
1929,3,17,0,0.562393162
2012,2,8.7,0,0.564373898
770,5,14.9,0,0.740740741
600,2,5.7,0,0.659405941
405,1,4.7,1.2,0.6
396,3,11.9,0,0.615841584
627,3,9.6,0,0.647863248
996,5,6.7,0,0.754455446
1252,4,4.4,0,0.742063492
670,5,10.5,0,0.712301587
213,5,6.3,0,0.609126984
1695,6,5,0,0.58974359
925,1,7.8,0,0.697095436
514,7,7.2,0,0.593253968
1479,5,6.1,0,0.64957265
1279,4,5.5,0,0.883817427
1743,7,2.8,0,0.509401709
810,2,8.2,0,0.708910891
115,1,7.7,1.2,0.559082892
1127,5,9.1,0,0.683809524
1874,7,9.3,0,0.523809524
1128,6,7,0,0.742574257
1621,5,8.5,0,0.630705394
878,2,8.3,0,0.631393298
2065,2,13.8,0,0.663900415
1489,4,4.4,0,0.649377593
896,5,7,0,0.675485009
695,3,11.2,0,0.685714286
749,5,15.1,0,0.691428571
527,3,9.9,0,0.626666667
1626,5,6.8,0,0.714851485
1509,3,6.2,0,0.557264957
1023,6,5.9,0,0.656410256
383,7,12.1,0,0.575238095
1198,2,4,0,0.833333333
951,1,11.3,0,0.560683761
255,5,10.4,0,0.573412698
1570,1,7.6,0,0.662698413
1905,6,7,0,0.555555556
1720,5,5.3,0,0.801587302
995,4,7.9,0,0.752380952
1524,2,3.4,0,0.663366337
1376,1,5.4,0,0.647266314
1636,5,12.5,0,0.694444444
1782,3,3.2,0,0.734653465
1412,7,5.8,0,0.634920635
1305,4,7.9,0,0.683760684
1787,3,7,0,0.64
1330,3,4.2,0,0.658730159
1568,5,7.9,0,0.710758377
1569,6,9.6,0,0.622222222
1144,7,4.7,0,0.692460317
2146,6,5.2,1.2,0.577380952
753,3,5.4,0,0.579487179
1350,1,4,0,0.78019802
68,1,8.7,3.9,0.526495726
302,5,8.8,3.1,0.507692308
1603,2,8.2,0,0.721991701
1818,2,7.1,0,0.691089109
314,7,8.7,3.1,0.471794872
1843,7,8,0,0.742738589
375,3,10.4,3.9,0.499145299
122,3,7.2,0,0.6
1770,1,6.7,0,0.655445545
1545,2,10.2,0,0.683760684
1868,6,11.3,0,0.58377425
283,1,8.7,11,0.504409171
494,1,4.9,0,0.601410935
1345,1,4.4,0,0.703319502
2167,5,8.6,0,0.690871369
2120,6,4.7,0,0.62962963
1739,2,9.9,0,0.632380952
1242,4,8.9,0,0.724752475
446,7,17.7,0,0.51675485
875,5,5.4,0,0.672380952
169,3,8.9,3.1,0.603174603
1759,7,5.6,0,0.690871369
1257,3,8,0,0.601709402
2000,7,11.8,0,0.650793651
1292,1,6.8,0,0.693121693
1582,3,7.5,0,0.688492063
1413,1,11.4,0,0.579487179
1299,3,5.1,0,0.618803419
13,5,8.7,9.1,0.48324515
353,3,9.9,0,0.60990099
1625,4,7.8,0,0.666666667
1904,5,7.5,0,0.624338624
1684,6,5.8,0,0.650793651
443,3,11,3.1,0.579047619
815,2,10.5,0,0.647619048
913,6,8.6,0,0.771784232
1480,7,6.7,0,0.702380952
1850,3,8.1,0,0.671957672
690,3,12.1,0,0.695049505
1260,7,4,0,0.695049505
1498,3,9.5,0,0.654761905
1513,1,5.7,0,0.742738589
65,4,15.9,0,0.611881188
1481,1,10.9,0,0.662857143
1056,1,10,0,0.78019802
711,3,5.2,0,0.615384615
1857,5,14.1,0,0.642735043
1182,1,4.7,0,0.77029703
208,6,10.7,0,0.552380952
1163,4,8.5,0,0.693333333
1624,3,9.4,0,0.597222222
1418,1,6.7,0,0.677248677
504,7,13.4,0,0.611881188
1021,3,5.5,0,0.761410788
1526,5,9.9,0,0.647266314
742,3,11.9,0,0.650793651
501,3,11,0,0.553846154
1091,6,8.8,0,0.80952381
1688,4,6.3,0,0.555555556
1209,2,7.4,0,0.639316239
1051,1,9.4,0,0.794605809
445,5,15.7,0,0.699170124
218,5,9.4,14.2,0.535042735
958,4,6.4,0,0.740079365
207,4,10,0,0.650793651
1152,3,6.7,0,0.732673267
1403,2,11.1,0,0.740952381
696,4,3.2,0,0.695049505
680,4,11,0,0.617283951
58,2,17.9,0,0.685714286
348,3,8.6,0,0.645228216
128,4,4.8,0,0.618803419
1888,5,12.4,0,0.676587302
1717,7,12.2,0,0.628630705
538,4,15.2,0,0.682539683
1011,4,7.8,0,0.661538462
139,5,14,3.1,0.525573192
616,3,7.3,0,0.658730159
2075,2,14,1.2,0.603809524
310,2,8,0,0.632380952
1079,4,11.5,0,0.681904762
1360,1,6.7,0,0.744047619
390,2,8.4,0,0.615841584
2024,4,6.7,0,0.592592593
393,6,10.6,2,0.557264957
739,5,10.4,0,0.751037344
1348,6,7.2,0,0.755952381
828,5,9.1,0,0.695049505
1441,3,11.8,0,0.709543568
1280,6,4.9,0,0.777777778
970,6,9.4,0,0.777777778
1171,7,7.4,0,0.732365145
1780,1,8.4,0,0.712301587
524,6,9.6,0,0.643738977
1106,5,5.9,0,0.680776014
795,3,9.3,0,0.591452991
967,1,10.3,0,0.765560166
1803,3,11.9,0,0.555555556
351,7,14.4,0,0.571428571
647,2,9,0,0.699047619
1429,1,9.4,0,0.72406639
132,2,10.4,5.1,0.649377593
1363,4,7.9,0,0.742738589
704,1,14.5,0,0.636684303
1135,1,7.2,0,0.854771784
674,3,9.1,0,0.633156966
2132,1,8.1,0,0.536155203
1602,1,6.7,0,0.742574257
555,5,8.9,0,0.593162393
1238,6,7.3,0,0.680776014
1396,7,8.9,0,0.746031746
2131,6,7.3,0,0.663900415
622,4,7.7,0,0.692460317
1408,2,8.5,0,0.712301587
170,4,12.7,0,0.582905983
1518,1,9.3,0,0.683168317
116,2,4.3,0,0.608547009
1409,3,8.2,0,0.691428571
460,5,9.1,0,0.700396825
56,6,11.6,2,0.509401709
881,6,6.7,0,0.723809524
1181,7,10.3,0,0.68952381
589,1,6.9,0,0.744813278
1907,2,7.3,0,0.643809524
536,1,11.7,0,0.590828924
1105,3,6,0,0.753112033
1334,1,7,0,0.701940035
741,1,8.4,0,0.625641026
1365,7,7.1,0,0.71965812
1638,7,6.8,0,0.63960396
783,1,9.4,0,0.625641026
1642,6,6.2,0,0.76984127
1165,6,8.7,0,0.834024896
319,7,8.9,0,0.513227513
1781,2,11,0,0.651428571
384,1,13.8,0,0.643564356
693,7,10.7,0,0.606837607
510,1,10,0,0.691089109
565,4,8.5,0,0.641078838
1751,4,7.2,0,0.683809524
1212,6,10.8,0,0.693069307
163,2,9.2,3.9,0.48324515
679,2,9.6,0,0.697095436
483,7,10,0,0.538461538
587,6,9.2,0,0.594285714
1894,6,7.1,0,0.708333333
592,6,12.2,1.2,0.597222222
1308,1,7.1,0,0.762376238
305,2,11.5,0,0.598019802
1476,1,6.5,0,0.748514851
1815,5,4.5,0,0.622222222
148,3,9.9,0,0.664761905
127,3,7.6,5.1,0.522045855
673,1,10.5,0,0.661825726
416,2,6.8,0,0.604938272
1996,2,11.6,0,0.668650794
1421,5,5.5,0,0.622857143
2054,2,11.4,0,0.552028219
1000,4,10,0,0.78968254
345,6,10.6,0,0.583333333
59,3,10.6,1.2,0.671287129
1189,3,4.3,0,0.757261411
1263,4,9.5,0,0.656410256
81,4,8.6,1.2,0.662698413
1055,7,11,0,0.68952381
1296,6,7.9,0,0.906930693
121,2,13.6,5.1,0.502645503
1258,5,5.9,0,0.724206349
883,1,6.7,0,0.746887967
1206,5,11.5,0,0.734653465
176,5,9.2,0,0.582905983
664,4,6.4,0,0.642857143
342,2,9.4,0,0.628630705
2067,5,8.3,0,0.564102564
2073,6,4.2,0,0.55042735
406,3,9.4,0,0.654761905
1639,1,6.6,0,0.736514523
1067,2,6,0,0.746666667
1440,2,12.8,0,0.76039604
1324,2,5.7,0,0.668650794
205,2,3.7,3.9,0.520282187
1567,3,7.1,0,0.668049793
1753,6,7.7,0,0.65560166
537,2,9.4,0,0.579487179
1015,2,4.1,0,0.705394191
733,4,7.6,0,0.717842324
1150,1,9.2,0,0.628968254
1876,3,8.8,0,0.593253968
954,5,6.8,0,0.693069307
111,2,6.4,0,0.593253968
2117,2,11.1,0,0.704761905
133,4,13,3.1,0.541446208
2118,3,9.3,0,0.679207921
1269,5,9.9,0,0.668376068
534,5,7.7,0,0.647524752
1204,3,5.8,0,0.779761905
1228,7,10.8,0,0.742063492
975,5,6.1,0,0.687179487
1247,4,8.1,0,0.681904762
1697,2,11.8,0,0.620952381
1579,5,3.7,0,0.788381743
1588,4,3.8,0,0.740079365
1659,7,13,0,0.492307692
1236,3,5.5,0,0.782178218
48,2,11.9,0,0.682572614
1646,4,7.1,0,0.687830688
773,2,5.8,0,0.643809524
51,6,6.2,0,0.619047619
604,1,9.7,0,0.626984127
876,6,5.2,0,0.851485149
82,6,5.4,0,0.548571429
145,6,16.7,3.1,0.53968254
586,5,10.3,0,0.55952381
462,7,2.9,0,0.627722772
685,3,4.9,0,0.690871369
1700,6,4.1,0,0.636684303
618,5,9.5,0,0.702970297
852,2,4.3,0,0.774257426
772,1,9.2,0,0.746031746
1281,7,12.6,0,0.676923077
317,4,12.7,0,0.675247525
1475,7,6.3,0,0.657142857
1791,1,4.8,0,0.651282051
781,5,8.8,0,0.77593361
1237,4,4.7,0,0.786307054
1111,4,6.2,0,0.728215768
2051,5,10.3,0,0.643809524
1653,6,17.7,0,0.598290598
646,1,4.8,0,0.676587302
1003,7,5.7,0,0.670124481
1372,3,6.4,0,0.833333333
999,2,8.5,0,0.700854701
1054,6,7.2,0,0.726190476
1002,6,9,0,0.706930693
1800,6,5.4,0,0.681188119
387,5,10.4,3.9,0.558974359
1793,4,7.5,0,0.68952381
715,1,9.6,0,0.701244813
1978,6,6.3,0,0.638888889
1089,3,7.7,0,0.733333333
2188,6,13.4,0,0.609126984
1399,3,5.5,0,0.697095436
1158,4,7.7,0,0.746534653
756,7,8,0,0.631683168
1835,4,4.9,0,0.638095238
1614,3,9.3,0,0.693069307
1577,3,7.3,0,0.761904762
584,2,5.9,0,0.654320988
1816,7,10.1,0,0.714285714
1807,1,4,0,0.690871369
748,4,12.6,0,0.615079365
493,6,3.6,0,0.692946058
523,4,11.3,0,0.67219917
1049,6,11.6,0,0.702857143
1871,3,4.6,0,0.695238095
813,6,6,0,0.765811966
410,1,13,0,0.705467372
597,5,19.2,0,0.613675214
2138,2,10.8,0,0.546737213
1391,7,5.8,0,0.672380952
339,5,10.1,0,0.674603175
1675,7,8.3,0,0.647302905
1243,5,7.9,0,0.798755187
2061,4,12.2,0,0.533333333
1512,7,15.3,0,0.596039604
1691,1,3.2,0,0.693333333
979,3,9,0,0.736514523
1241,3,6.8,0,0.657142857
1692,2,8,0,0.710891089
377,6,9,0,0.548571429
526,2,3.7,0,0.726190476
755,6,12.3,0,0.634285714
730,1,12.7,0,0.706349206
935,1,9,0,0.67047619
1628,1,4.5,0,0.64021164
1378,4,6.2,0,0.68452381
2022,1,12,0,0.762376238
316,3,8.2,0,0.615238095
728,5,9.8,0,0.728395062
292,6,8.2,0,0.64
2174,1,7.2,0,0.569664903
1879,6,10.1,0,0.647302905
832,4,4.2,0,0.706349206
1139,7,7,0,0.740952381
1249,6,11.8,0,0.765560166
1323,7,4.3,0,0.553846154
304,1,7.4,0,0.64
1434,1,13.8,0,0.77029703
1650,2,5.6,0,0.625742574
879,3,11.7,0,0.627350427
2021,7,3.6,0,0.596190476
271,6,5.1,5.9,0.479717813
2063,7,9,0,0.556190476
1973,6,10.4,0,0.660952381
1928,2,15.2,0,0.552028219
2145,4,14.3,0,0.548717949
1131,3,7.2,0,0.569230769
1218,7,11.9,0,0.778217822
1768,6,6.2,0,0.64484127
113,5,12.5,1.2,0.635643564
724,7,10.6,0,0.742063492
1823,2,12.2,0,0.695238095
608,6,10.5,0,0.747795414
1861,3,8.4,0,0.626556017
909,1,9.2,0,0.782905983
1367,3,6.5,0,0.697142857
1748,7,6.1,0,0.615520282
1316,5,9.3,0,0.62962963
449,4,6.3,1.2,0.59047619
918,6,8.7,0,0.736633663
1548,6,5.1,0,0.742574257
1631,5,9.6,0,0.687619048
757,1,7,0,0.821576763
159,3,9.8,0,0.666666667
1784,6,8.8,0,0.634920635
376,5,7.2,1.2,0.632936508
1898,4,10.4,0,0.532627866
470,4,9.3,0,0.700176367
264,3,16.7,1.2,0.639004149
371,5,10,0,0.582857143
2171,4,5.1,2,0.539047619
1711,6,14.2,0,0.711618257
570,4,7.1,0,0.651485149
993,1,6.7,0,0.564102564
2057,6,12.4,1.2,0.605714286
785,4,9.3,0,0.626666667
1342,5,6.6,0,0.71031746
915,2,4.6,0,0.608547009
98,6,12.1,1.2,0.591452991
1092,7,11.2,0,0.885148515
2111,1,8.5,0,0.607619048
1641,4,16.8,0,0.711111111
1192,1,5.7,0,0.732142857
855,6,6.7,0,0.647863248
2143,1,7.5,0,0.713692946
1767,4,7.5,0,0.618803419
2187,4,8.4,3.1,0.51965812
1425,3,5.3,0,0.596581197
602,5,4.5,0,0.60670194
2130,5,13.1,0,0.655445545
308,6,6.3,3.1,0.512820513
266,6,15.9,3.1,0.47008547
30,6,6.8,0,0.7406639
546,7,8.8,0,0.673267327
745,6,6.6,0,0.657676349
887,7,5.2,0,0.643809524
502,5,8.5,0,0.670634921
759,4,7.8,0,0.61025641
880,5,8.7,0,0.714285714
952,3,6.9,0,0.694444444
1542,5,4.6,0,0.75049505
1353,5,8.3,0,0.623931624
1863,6,8.3,0,0.55042735
962,2,6.4,0,0.564373898
452,1,8.4,0,0.615520282
1024,1,11.5,0,0.841269841
135,6,6.5,1.2,0.615079365
1215,3,4.1,0,0.652991453
1332,5,6.3,0,0.803960396
466,6,7.3,0,0.595238095
1116,4,6.7,0,0.776237624
1735,3,13.8,0,0.751037344
581,5,11.8,0,0.619047619
520,1,9.7,0,0.783730159
548,3,9,0,0.668430335
1167,2,9.3,0,0.58974359
654,4,9.4,0,0.653465347
776,6,6.6,0,0.613756614
978,2,6,0,0.772277228
1718,2,8.3,0,0.633156966
1179,4,6.9,0,0.531623932
2081,3,11.3,0,0.586666667
2172,5,15.6,0,0.685148515
224,6,7.2,11,0.502564103
2083,5,6.9,0,0.757261411
1028,6,5.8,0,0.698412698
1099,2,8.1,0,0.715767635
1892,3,12.5,0,0.532627866
2058,7,2.7,0,0.655445545
1314,2,3.9,0,0.699009901
1995,7,6.9,0,0.487179487
1964,1,12.4,0,0.532627866
1864,1,4.8,0,0.680555556
1679,6,13,0,0.603809524
968,3,7.5,0,0.604938272
2047,6,5.8,0,0.630705394
1161,1,9.1,0,0.687179487
1347,4,7.8,0,0.666666667
1779,6,11.9,0,0.577777778
1456,3,8.8,0,0.738095238
1075,5,8.6,0,0.798755187
508,6,6.5,0,0.640873016
392,5,6.4,2,0.649029982
1459,6,8.2,0,0.701244813
2088,5,6.4,0,0.689108911
988,2,7.3,0,0.755952381
