,day,wdsp,sndp,total_num_of_crimes
633,4,7.1,0,0.572649573
426,1,7.7,0,0.601980198
1166,1,6.7,0,0.684303351
141,7,7.5,0,0.623015873
476,5,7.8,0,0.679012346
1389,4,14,0,0.635897436
2095,7,7.8,0,0.678423237
313,6,10.6,1.2,0.507936508
1562,4,4.3,0,0.735449735
559,3,8.9,0,0.634854772
1270,7,7.1,0,0.71031746
1859,1,10.3,0,0.63047619
938,5,4.7,0,0.756613757
298,7,2.2,0,0.64
1331,4,7.7,0,0.67047619
1448,6,11.5,0,0.707231041
518,5,13.7,0,0.633156966
921,3,6,0,0.666666667
1183,2,7.1,0,0.744813278
97,5,10.8,0,0.636684303
1581,1,5.6,0,0.582905983
847,2,10.2,0,0.721991701
656,7,8.9,0,0.560846561
2031,6,7.1,0,0.541880342
226,2,6.8,0,0.617142857
468,1,11.8,0,0.625742574
2009,5,4.6,0,0.792380952
1540,3,9.3,0,0.700396825
1356,2,4.2,0,0.75049505
1129,7,11.8,0,0.744813278
2025,5,8.9,0,0.558974359
818,6,6.7,0,0.700176367
374,2,5.7,2,0.585537919
2139,3,10.7,0,0.603418803
1506,6,15.4,0,0.621782178
1943,1,11.8,0,0.653333333
761,7,8.5,0,0.577142857
735,7,8.5,0,0.593162393
891,5,8.7,0,0.682051282
101,3,8.2,1.2,0.607920792
1430,3,5.7,0,0.659611993
1318,1,9.6,0,0.744047619
1401,6,7.8,0,0.699145299
651,7,8.7,0,0.562393162
465,4,7.4,0,0.58974359
2156,5,9.9,0,0.520282187
582,6,8.7,0,0.6
731,2,14.9,0,0.56952381
1107,6,3.1,0,0.705982906
1726,6,10,0,0.706349206
1899,5,16.4,0,0.502564103
422,3,16.1,3.1,0.541446208
687,6,13.1,0,0.567521368
347,2,11.1,0,0.645544554
574,3,10.6,0,0.581349206
1190,5,6,0,0.71957672
259,4,6.8,7.1,0.507936508
1151,2,4.4,0,0.681904762
1644,1,7.1,0,0.831683168
274,3,12.1,0,0.596190476
688,1,12,0,0.71031746
1488,3,10.1,0,0.643564356
1927,7,6.2,0,0.68879668
906,4,9.1,0,0.833663366
235,7,6,9.8,0.522045855
1068,3,7.4,0,0.768316832
708,6,13.4,0,0.669306931
1493,3,8,0,0.548571429
1853,7,2.9,0,0.632380952
2184,7,10.6,0,0.637623762
401,3,19.4,0,0.584761905
893,1,10.6,0,0.723809524
297,5,20.9,0,0.66468254
2069,1,6.5,0,0.697142857
2052,6,4.5,0,0.611881188
940,1,10.2,0,0.706349206
822,4,5.9,0,0.714851485
1246,3,3.9,0,0.722222222
1200,4,7.4,0,0.724752475
1380,6,7,0,0.772277228
764,4,10.3,0,0.641975309
1520,4,10.9,0,0.624338624
1601,7,5.7,0,0.662857143
668,2,10.9,0,0.634920635
1881,2,3.5,0,0.531623932
1379,5,10.3,0,0.76952381
927,4,7.2,0,0.623931624
1756,4,10.2,0,0.686507937
1809,4,15.2,0,0.533333333
798,7,7.1,0,0.625742574
1438,7,5.2,0,0.757936508
1096,6,4.7,0,0.688492063
1445,2,4.1,0,0.676190476
611,3,5.6,0,0.672380952
2030,5,4.7,0,0.686067019
1531,4,6.3,0,0.825726141
2190,1,8,0,0.641584158
1487,2,11,0,0.622857143
1005,3,4,0,0.617094017
1643,7,8.2,0,0.727619048
901,4,5.7,0,0.697095436
2077,4,9.6,0,0.641078838
1084,4,7.2,0,0.746031746
1878,5,7.7,0,0.657425743
1239,7,4.7,0,0.682051282
692,6,10.6,0,0.62962963
1393,2,4.6,0,0.686721992
747,2,7.2,0,0.558974359
1474,6,6.5,0,0.706349206
1511,6,8.9,0,0.60952381
1064,5,8,0,0.770723104
1009,1,6.7,0,0.755186722
1514,3,12.4,0,0.647266314
1477,2,9.5,0,0.636929461
763,2,10.9,0,0.692946058
407,4,8.5,0,0.580952381
1374,5,5.1,0,0.756435644
833,5,17.3,0,0.678095238
1844,2,14.8,0,0.636684303
160,5,11.7,0,0.653333333
780,4,9.5,0,0.712871287
1417,6,8.7,0,0.7593361
568,2,8.5,0,0.654761905
368,1,6.5,2,0.509700176
758,3,9.3,0,0.656084656
874,4,8.6,0,0.732142857
2006,1,11.5,0,0.710758377
1612,1,12.7,0,0.724206349
440,6,9.7,0,0.62962963
473,1,9.6,0,0.611428571
1383,3,12.2,0,0.618803419
455,5,8,1.2,0.613333333
976,7,10.9,0,0.740079365
1584,5,14.2,0,0.77029703
2039,3,13.8,0,0.615238095
1997,3,6.8,0,0.664761905
585,3,7.6,0,0.603418803
1125,2,12.3,0,0.594871795
872,1,6.3,0,0.619047619
1410,4,5.8,0,0.627722772
1930,5,13.7,0,0.718253968
1685,7,9.4,0,0.617142857
223,5,9.6,7.9,0.569664903
1712,1,7,0,0.590828924
1229,1,10.2,0,0.700952381
1503,2,8,0,0.567521368
1994,6,10.9,0,0.574955908
561,6,10.7,0,0.582905983
1806,7,10.4,0,0.621782178
1045,7,8.9,0,0.738589212
171,5,9,0,0.634920635
862,2,8.7,0,0.761904762
1799,5,13.6,0,0.752380952
1185,5,7.8,0,0.630769231
39,4,6.3,1.2,0.676587302
1858,7,3.5,0,0.66468254
125,7,4.7,0,0.627722772
1887,3,8.1,0,0.52991453
1033,5,5.1,0,0.765560166
1967,5,10,0,0.605714286
1012,6,5.5,0,0.636904762
774,3,11.3,0,0.756435644
1452,4,7.5,0,0.786138614
613,5,14.9,0,0.699170124
337,3,12.9,0,0.57319224
1303,1,5.7,0,0.769709544
2041,5,9.6,0,0.692946058
1262,3,5.5,0,0.627865961
644,5,6.6,0,0.661375661
158,2,6.1,1.2,0.586324786
1317,6,6.5,0,0.663247863
16,2,6.6,0,0.617142857
1046,2,6,0,0.69664903
697,5,14.5,0,0.786307054
814,1,10.2,0,0.759920635
1776,2,7.7,0,0.687128713
1820,5,17.2,0,0.716049383
941,2,12.1,0,0.740952381
413,5,12.1,0,0.588571429
1170,6,5,0,0.669306931
1648,7,6,0,0.589285714
2106,1,6.8,0,0.621782178
1072,2,10.4,0,0.722222222
2091,2,8,0,0.601709402
1758,6,14.5,0,0.695049505
86,4,9.1,3.1,0.664957265
1437,5,4.9,0,0.611965812
412,4,7.9,0,0.623015873
1886,2,12.5,0,0.532627866
1058,4,6,0,0.712522046
1805,6,10.9,0,0.56952381
1714,4,6.6,0,0.650793651
1169,5,7.6,0,0.731428571
1599,4,6,0,0.591452991
638,4,12.7,0,0.767195767
1727,7,12.9,0,0.563809524
1371,1,6.9,0,0.629059829
1392,1,9.2,0,0.691089109
1244,7,10.3,0,0.735449735
1988,5,7.5,0,0.499118166
1590,6,10.7,0,0.748514851
2098,5,7.2,3.1,0.656746032
1497,1,7.5,0,0.647863248
1026,3,6.3,0,0.930693069
1821,6,8.8,0,0.547008547
1250,1,13.3,0,0.733686067
1016,4,6.8,0,0.724867725
591,4,9.1,0,0.553846154
1901,1,5.2,0,0.636190476
1713,2,10.7,0,0.598290598
1696,1,5.6,0,0.692460317
1522,7,4.8,0,0.660714286
1935,4,15.8,0,0.535042735
836,2,10.6,0,0.633156966
637,2,9.4,0,0.647302905
2090,1,10.1,0,0.596119929
994,3,9.6,0,0.738095238
725,1,11.6,0,0.761904762
650,6,8.4,0,0.590828924
60,4,6.8,0,0.657676349
830,1,9.7,0,0.693121693
12,3,6.7,0,0.630705394
778,2,9.7,0,0.68452381
1321,4,10.1,0,0.79253112
2029,3,11.4,0,0.709543568
720,1,9.5,0,0.774257426
2070,2,7,0,0.60990099
1773,5,9.7,0,0.625641026
1890,7,8,0,0.588118812
853,3,12.8,0,0.7406639
799,1,7.8,0,0.782157676
2136,6,7.2,0,0.63960396
451,6,10.3,0,0.659751037
884,3,7.2,0,0.634920635
1990,1,13.3,0,0.674603175
1560,1,3.9,0,0.675247525
1651,3,8.6,0,0.709543568
1101,5,6.3,0,0.656410256
2116,1,8.1,3.1,0.571428571
1918,3,2.9,0,0.720238095
1463,5,12.7,0,0.765714286
2044,3,12.9,0,0.626984127
2066,4,8.4,0,0.488536155
1627,6,9.3,0,0.649377593
1306,6,6.7,0,0.751984127
964,5,8.5,0,0.626984127
1873,5,7.6,0,0.649377593
1703,3,13.7,0,0.582857143
1436,4,7.3,0,0.670194004
1867,4,11.6,0,0.639004149
1494,4,9.7,0,0.689108911
1093,1,6.9,0,0.919087137
661,6,16,0,0.70746888
1148,5,5.3,0,0.761904762
1261,1,9.8,0,0.798755187
2134,4,8.5,2,0.609126984
75,3,8.2,2,0.621031746
1893,4,19.9,0,0.55042735
1293,2,6.1,0,0.581196581
1201,5,10.4,0,0.786307054
1029,7,7.8,0,0.632478632
577,6,4.2,0,0.726141079
2078,6,7.5,0,0.641975309
808,7,8.7,0,0.712301587
1136,3,6.4,0,0.774250441
2183,6,11.2,2,0.558095238
681,5,4.3,0,0.67008547
643,3,8.5,0,0.692946058
931,2,7.6,0,0.790456432
321,2,6.1,0,0.597222222
1102,7,6,0,0.75
1796,1,10.1,0,0.626102293
1122,5,11.1,0,0.752475248
727,3,9.1,0,0.807053942
344,5,6.7,5.9,0.492307692
1634,2,11.5,0,0.661375661
827,4,16.6,0,0.67047619
1852,6,6.2,0,0.670634921
1195,4,8.5,0,0.860995851
659,4,10.9,0,0.681904762
1235,2,7.3,0,0.725714286
1729,2,8,0,0.736514523
2017,1,11.7,0,0.661825726
1496,7,3.9,0,0.670194004
1233,6,8.2,0,0.64957265
2093,5,9.1,0,0.643809524
700,3,14.1,0,0.648809524
210,1,9.5,0,0.705394191
1394,4,6.3,0,0.650793651
653,3,8.1,0,0.71047619
1349,7,3.2,0,0.655238095
1382,2,10.1,0,0.64021164
752,2,11.5,0,0.689594356
1745,3,10.2,0,0.676190476
1155,7,5.9,0,0.622222222
593,7,13.5,0,0.697142857
580,4,11.9,0,0.748015873
1775,1,8.6,0,0.666666667
792,6,10.5,0,0.588118812
2089,6,5.1,0,0.670124481
1340,2,11,0,0.596119929
1220,3,14.5,0,0.71957672
280,4,6.7,0,0.552380952
1468,5,9.1,0,0.753968254
1790,7,4.7,0,0.626102293
710,2,9.8,0,0.684303351
395,2,18.8,0,0.594285714
2059,1,9.1,0,0.639004149
22,3,14.2,0,0.544761905
1841,5,10.4,0,0.674285714
1849,1,9.8,0,0.624481328
1716,6,7.3,0,0.63960396
2001,1,10.1,0,0.569230769
1447,4,10.6,0,0.838174274
1013,7,10.8,0,0.697142857
1362,3,6,0,0.827722772
131,1,9,0,0.665346535
1309,2,7.5,0,0.746887967
454,4,14.1,0,0.64484127
1504,4,9.4,0,0.777777778
683,1,6.6,0,0.662857143
2005,6,11.3,0,0.622406639
