,day,prcp,total_num_of_crimes
1879,6,0,0.647302905
1975,1,0,0.680497925
845,7,0.4,0.63047619
91,4,0,0.557319224
1215,3,0,0.652991453
2003,4,0,0.662857143
1245,1,0,0.668376068
1092,7,0,0.885148515
1156,2,0,0.722222222
1968,6,0.17,0.59009901
886,6,0.14,0.736111111
429,5,0,0.663247863
1415,4,0,0.71047619
835,7,0.47,0.736514523
910,3,1.09,0.882936508
1719,3,0,0.641025641
1770,1,0,0.655445545
708,6,0.03,0.669306931
1735,3,0.01,0.751037344
2115,6,0,0.514529915
1401,6,0,0.699145299
313,6,0,0.507936508
1812,1,0.01,0.691089109
56,6,0,0.509401709
466,6,0,0.595238095
1210,4,0,0.724206349
1546,4,0,0.716269841
771,6,0.59,0.541880342
1359,6,0.29,0.617094017
1166,1,0.04,0.684303351
1311,5,0,0.700854701
1152,3,0,0.732673267
1701,7,0,0.598290598
687,6,0.29,0.567521368
1723,1,0,0.699170124
1086,6,0,0.801980198
1715,5,0,0.676190476
1343,6,0,0.72952381
1445,2,0.04,0.676190476
1400,5,4.22,0.701940035
1220,3,0.19,0.71957672
731,2,0.37,0.56952381
1326,4,0.01,0.718811881
558,2,0,0.584158416
756,7,0,0.631683168
1404,3,0.03,0.722772277
1542,5,0,0.75049505
897,6,0.23,0.565811966
1863,6,0,0.55042735
1931,6,0.53,0.611428571
491,4,0,0.596190476
572,7,0,0.574955908
712,5,0.05,0.654761905
1577,3,0.07,0.761904762
1593,3,0,0.663247863
280,4,0,0.552380952
1576,2,0,0.755952381
205,2,0,0.520282187
1906,1,0,0.623015873
21,1,0,0.615079365
1361,2,0,0.708571429
1123,6,0,0.821576763
1015,2,0,0.705394191
816,3,0,0.702970297
1134,7,0,0.76039604
1280,6,0.21,0.777777778
1421,5,0,0.622857143
1558,6,0.06,0.755952381
725,1,1.11,0.761904762
1149,6,0,0.618803419
185,3,0,0.659405941
1890,7,0,0.588118812
2170,3,0,0.654761905
612,4,0.02,0.702970297
729,6,0,0.521367521
971,7,0,0.68952381
1001,5,0.06,0.712380952
539,5,0.88,0.744761905
976,7,0,0.740079365
1222,6,0.01,0.748015873
936,2,0,0.706930693
136,1,0,0.691428571
907,5,0,0.778008299
953,4,0,0.672380952
695,3,0,0.685714286
656,7,0,0.560846561
1073,3,0,0.695238095
2168,7,0,0.497354497
125,7,0,0.627722772
281,5,0,0.621782178
527,3,0,0.626666667
1389,4,0,0.635897436
2070,2,0,0.60990099
962,2,0,0.564373898
1407,7,0,0.603418803
80,3,0,0.543589744
1881,2,0,0.531623932
2117,2,0.02,0.704761905
424,6,0,0.632936508
818,6,0.08,0.700176367
772,1,0,0.746031746
1860,2,0.29,0.738613861
957,2,0.1,0.637606838
269,3,0,0.588118812
1180,6,0.01,0.744047619
2135,5,0,0.678095238
2148,1,0,0.588118812
1248,5,0,0.764356436
268,2,0,0.651428571
1426,5,0.06,0.706349206
383,7,0,0.575238095
647,2,0,0.699047619
375,3,0.06,0.499145299
736,2,0,0.700396825
1406,6,3.17,0.707231041
79,2,0,0.578483245
1028,6,0.01,0.698412698
564,3,0.07,0.63960396
124,6,0.01,0.64952381
1635,3,0,0.572649573
1616,6,0,0.742504409
161,6,0,0.621782178
1360,1,0,0.744047619
1784,6,0,0.634920635
1639,1,0.1,0.736514523
337,3,0,0.57319224
860,6,0,0.64021164
1183,2,0.07,0.744813278
1791,1,0,0.651282051
783,1,0.05,0.625641026
1587,2,0,0.603418803
574,3,0.08,0.581349206
1628,1,0,0.64021164
806,4,0.24,0.597883598
1255,7,0,0.769709544
1857,5,0.47,0.642735043
2091,2,0.15,0.601709402
1666,3,0,0.714285714
1687,2,0,0.726141079
2089,6,0,0.670124481
745,6,0.02,0.657676349
706,4,0.63,0.712301587
1711,6,0.45,0.711618257
769,3,0.1,0.755186722
258,2,0.44,0.697095436
1592,2,0,0.689594356
1129,7,0,0.744813278
610,2,0,0.652777778
217,4,0.01,0.553791887
909,1,0.02,0.782905983
993,1,1.54,0.564102564
790,4,0.02,0.650793651
683,1,0,0.662857143
2156,5,0,0.520282187
1619,3,0,0.659047619
1267,2,0.68,0.778008299
1855,2,0,0.647302905
1692,2,0.12,0.710891089
1827,7,0.74,0.709401709
1924,4,0,0.736111111
1374,5,0.18,0.756435644
1151,2,0.22,0.681904762
1832,7,0,0.615520282
963,3,0.08,0.652991453
1375,6,0,0.738589212
973,2,0,0.796680498
1991,2,0,0.691428571
247,2,0,0.476190476
1680,7,0.19,0.62970297
343,4,0,0.546737213
1082,1,0.2,0.682539683
1844,2,0.02,0.636684303
16,2,0.09,0.617142857
109,7,0.04,0.546737213
933,5,0,0.635897436
2102,3,0.02,0.620811287
1556,3,0,0.714285714
688,1,0,0.71031746
2174,1,0,0.569664903
1948,1,0,0.636904762
1471,1,0.67,0.782157676
262,1,0,0.638095238
2063,7,0,0.556190476
1553,6,0,0.697142857
787,6,0,0.661825726
1451,3,0,0.699047619
1578,4,0,0.778217822
1487,2,0,0.622857143
823,5,0.28,0.771784232
774,3,0,0.756435644
1488,3,0,0.643564356
1939,2,0,0.738589212
1231,3,0,0.736514523
1454,7,0,0.641975309
1347,4,0,0.666666667
1128,6,0,0.742574257
1869,7,0,0.54017094
1808,3,0.03,0.675485009
624,6,0.29,0.586138614
854,5,0,0.670194004
2073,6,0,0.55042735
895,3,0.74,0.755186722
1418,1,0,0.677248677
1963,6,0,0.67219917
1383,3,0.94,0.618803419
1189,3,0.08,0.757261411
739,5,0.32,0.751037344
1614,3,0.24,0.693069307
146,7,0,0.535042735
1484,5,0.22,0.687830688
1783,4,0.01,0.717842324
838,5,0,0.753968254
1573,4,0,0.819502075
566,6,0.01,0.634920635
650,6,0,0.590828924
1117,5,0,0.877593361
122,3,0.01,0.6
749,5,0,0.691428571
740,7,0,0.603174603
663,2,0,0.547008547
1555,1,0.15,0.817427386
620,1,0.45,0.566137566
1655,2,0,0.619047619
1499,4,0,0.666666667
1480,7,0,0.702380952
1013,7,0.03,0.697142857
1381,7,0.07,0.755186722
509,7,0.48,0.64952381
2035,4,0,0.670124481
694,2,0.01,0.636904762
1901,1,0.09,0.636190476
76,5,0.03,0.681904762
459,3,0,0.521367521
73,1,0,0.659611993
1030,2,0,0.746031746
405,1,0,0.6
1330,3,0,0.658730159
1469,6,0,0.67047619
127,3,0,0.522045855
956,1,0.21,0.701940035
1399,3,0.17,0.697095436
5,1,0,0.83960396
1871,3,0,0.695238095
1378,4,0.22,0.68452381
371,5,0,0.582857143
872,1,0,0.619047619
717,4,0,0.548717949
1162,3,0,0.656746032
1397,1,0.06,0.662857143
861,7,0.01,0.555555556
1279,4,0,0.883817427
2064,1,0,0.695049505
641,1,0,0.643809524
319,7,0,0.513227513
479,2,0,0.619047619
1622,7,0,0.694885362
1796,1,0,0.626102293
1985,1,0,0.662857143
1718,2,0.48,0.633156966
1063,3,0,0.809128631
1265,7,0,0.708571429
576,5,0.09,0.631683168
844,6,0,0.746031746
1815,5,0,0.622222222
24,5,0,0.70746888
1854,1,0.36,0.691089109
1644,1,0.01,0.831683168
64,3,0.24,0.552380952
1563,5,0.26,0.67008547
932,4,0.1,0.698412698
1385,6,0,0.767619048
119,6,0,0.651485149
1911,7,0,0.555555556
347,2,0,0.645544554
2016,7,0.85,0.623762376
913,6,0,0.771784232
719,7,1.88,0.6
485,3,0,0.63047619
1179,4,0,0.531623932
1373,4,0.21,0.687619048
1363,4,0.45,0.742738589
134,5,0,0.675213675
690,3,0,0.695049505
482,6,0,0.617283951
1989,6,0.09,0.531623932
2015,6,0,0.659047619
947,3,0,0.716190476
307,5,0.5,0.567901235
1240,2,0,0.888888889
727,3,1.29,0.807053942
2114,5,0,0.67372134
1430,3,0,0.659611993
223,5,0,0.569664903
1382,2,0,0.64021164
348,3,0,0.645228216
800,3,0.14,0.677248677
804,1,0.37,0.798019802
147,1,0,0.686507937
387,5,0,0.558974359
636,1,0.33,0.669306931
1559,7,0,0.683809524
2085,1,0.95,0.593162393
503,6,0.5,0.613333333
1606,7,0,0.761904762
1905,6,0,0.555555556
1300,5,0,0.78968254
1293,2,0,0.581196581
979,3,0,0.736514523
592,6,0.08,0.597222222
1462,4,0,0.886904762
1442,5,0.02,0.731922399
181,5,0,0.589065256
1672,4,0.06,0.682539683
555,5,0.25,0.593162393
704,1,0.11,0.636684303
583,7,0,0.699170124
394,1,0,0.755952381
1511,6,0,0.60952381
1547,5,0,0.725714286
654,4,0.1,0.653465347
1845,3,0,0.673504274
935,1,0,0.67047619
1369,5,0,0.711618257
151,7,0.09,0.500881834
1341,3,0,0.635897436
103,6,0,0.552028219
504,7,0,0.611881188
888,1,0,0.823762376
1670,1,0.01,0.571428571
621,2,0.03,0.658119658
1506,6,0.08,0.621782178
1648,7,1.29,0.589285714
1705,5,0.11,0.680497925
2078,6,0,0.641975309
428,4,0.13,0.611992945
1052,3,1.1,0.671957672
1515,4,0,0.548717949
164,3,0,0.502564103
2058,7,0,0.655445545
681,5,0,0.67008547
1225,2,0,0.796680498
1998,4,0,0.621782178
1411,5,0,0.713692946
642,2,0,0.671287129
1996,2,0.65,0.668650794
1003,7,0.2,0.670124481
1234,1,0.17,0.78968254
1677,3,0,0.586324786
1875,1,0,0.564102564
271,6,0,0.479717813
1811,7,0.01,0.632380952
1526,5,0.01,0.647266314
1366,2,0.29,0.716269841
594,1,0.03,0.641584158
631,1,0.4,0.686721992
2020,6,0,0.718253968
1920,5,0.08,0.681188119
1006,5,0,0.718253968
48,2,0.38,0.682572614
1919,4,0.18,0.601904762
1743,7,0,0.509401709
595,2,0,0.649377593
639,5,0,0.632478632
1025,2,0.23,0.712380952
1888,5,0,0.676587302
1866,3,0.01,0.631683168
1957,5,0.31,0.665975104
1501,6,0,0.730290456
1232,5,0,0.765432099
1539,1,0,0.6
352,2,0.01,0.571428571
1574,6,0,0.682539683
236,1,0,0.488888889
179,2,0,0.588118812
1531,4,0.37,0.825726141
846,1,0.12,0.702970297
2017,1,0.06,0.661825726
1782,3,0,0.734653465
399,7,0,0.488888889
10,1,0,0.567619048
1295,5,0.66,0.887619048
297,5,0,0.66468254
2141,6,0,0.634285714
1087,7,0,0.713692946
573,1,0,0.560683761
2130,5,0.06,0.655445545
377,6,0,0.548571429
433,3,0.15,0.659751037
899,2,0,0.739047619
263,2,0,0.615841584
351,7,0,0.571428571
1196,6,0,0.677248677
1414,3,0,0.797619048
544,5,0.05,0.797619048
470,4,0.24,0.700176367
137,2,0.29,0.673267327
1435,2,0.45,0.701244813
1847,6,0,0.678095238
81,4,0,0.662698413
1237,4,0,0.786307054
1069,4,0.16,0.784232365
160,5,0,0.653333333
1191,6,0.03,0.613675214
1823,2,0,0.695238095
1611,6,0,0.618803419
1602,1,0,0.742574257
2179,7,0.76,0.701244813
611,3,0,0.672380952
556,7,0.01,0.615079365
1971,3,0,0.500854701
1583,4,0,0.647619048
999,2,1.75,0.700854701
326,2,0,0.557264957
256,7,0,0.571428571
1835,4,0.34,0.638095238
1788,4,0,0.633663366
1837,6,0,0.670124481
1466,2,0,0.677248677
123,4,0,0.617063492
1254,6,0,0.744554455
1016,4,0.84,0.724867725
1304,3,0.07,0.670194004
1805,6,0,0.56952381
2082,4,0,0.625742574
743,4,0,0.638095238
2107,2,0,0.653526971
502,5,1,0.670634921
813,6,0.03,0.765811966
1884,6,0.02,0.6
1486,1,0,0.75
1439,1,0.16,0.6
1309,2,0.27,0.746887967
1955,3,0.04,0.561904762
1107,6,0,0.705982906
1523,1,0,0.64952381
1959,1,0,0.52991453
2010,6,0,0.722772277
1809,4,0.06,0.533333333
669,3,0,0.51965812
1042,4,0.69,0.734126984
1790,7,0,0.626102293
1106,5,0.05,0.680776014
1518,1,0,0.683168317
1340,2,0.15,0.596119929
1444,1,0,0.831349206
551,7,0,0.580952381
1922,1,0,0.534391534
291,4,0,0.607142857
1067,2,0,0.746666667
1521,5,0.22,0.553846154
2103,4,0.09,0.588034188
113,5,0,0.635643564
2111,1,0,0.607619048
481,4,0.08,0.626556017
1598,3,0,0.717813051
1034,7,0.73,0.747795414
2040,4,0,0.631683168
506,3,0,0.608465608
526,2,0,0.726190476
1633,7,0.73,0.676348548
1588,4,0.24,0.740079365
1806,7,0.14,0.621782178
1634,2,0,0.661375661
1950,3,0,0.697029703
1425,3,0,0.596581197
196,4,0,0.571428571
1260,7,0,0.695049505
1882,4,0,0.619047619
779,3,0.03,0.615238095
658,3,0,0.676587302
870,5,0,0.772277228
1136,3,0,0.774250441
1794,5,0,0.75049505
1637,6,0,0.603809524
2013,3,0.03,0.577777778
633,4,0.34,0.572649573
1319,2,0,0.706666667
1607,1,0,0.733333333
344,5,0,0.492307692
177,6,0,0.619047619
705,2,0,0.564102564
587,6,0,0.594285714
1294,4,0,0.765873016
1306,6,0,0.751984127
871,6,0.05,0.794605809
418,5,0,0.648809524
662,1,0,0.611992945
984,3,0,0.742574257
983,2,0,0.742857143
1071,7,0,0.545299145
135,6,0.01,0.615079365
367,6,0,0.645228216
259,4,0,0.507936508
1536,4,0,0.617821782
1560,1,0,0.675247525
1564,7,0.03,0.670634921
1856,4,0,0.592592593
1204,3,0,0.779761905
1089,3,0,0.733333333
552,1,0,0.625742574
68,1,0.15,0.526495726
1422,6,0.11,0.76039604
808,7,0,0.712301587
931,2,0,0.790456432
581,5,0.36,0.619047619
1699,4,0,0.639004149
1807,1,0.03,0.690871369
623,5,0.15,0.702857143
513,5,0.01,0.601709402
773,2,0.3,0.643809524
421,1,0,0.678423237
1022,5,0.37,0.728395062
390,2,0.08,0.615841584
2024,4,0,0.592592593
1467,3,0,0.620512821
2032,1,0.45,0.678571429
532,3,0,0.71031746
851,1,0.07,0.718095238
1208,1,0,0.668430335
1710,5,0,0.592079208
1350,1,0,0.78019802
1570,1,0,0.662698413
1288,3,0,0.763888889
2116,1,0,0.571428571
1438,7,0.27,0.757936508
1951,4,0.18,0.680497925
261,6,0,0.589285714
803,7,0,0.668571429
622,4,0,0.692460317
447,1,0,0.637606838
1139,7,0,0.740952381
815,2,0,0.647619048
710,2,0.43,0.684303351
1161,1,0.06,0.687179487
1804,5,0,0.712301587
1732,7,0.54,0.712301587
1483,3,0.17,0.674273859
374,2,0,0.585537919
571,5,0.16,0.684647303
2121,7,0,0.552136752
1047,3,0,0.594871795
590,3,0,0.666666667
1669,6,0,0.709543568
602,5,0,0.60670194
1365,7,0.05,0.71965812
1465,7,0.78,0.817427386
172,7,0,0.586666667
442,2,0.11,0.726190476
2087,4,0,0.622857143
885,4,0.06,0.675213675
1992,3,0,0.663366337
753,3,0.01,0.579487179
1730,4,0.01,0.608465608
797,6,0,0.634285714
1376,1,0,0.647266314
1122,5,0.52,0.752475248
1057,2,0.05,0.807053942
518,5,0.1,0.633156966
941,2,0,0.740952381
192,5,0.03,0.773858921
989,3,0.05,0.72952381
1887,3,0,0.52991453
1011,4,0.33,0.661538462
960,6,0.28,0.700990099
2002,3,0,0.64484127
1402,1,0,0.716269841
508,6,0,0.640873016
443,3,0.02,0.579047619
1010,3,0,0.664902998
538,4,0.39,0.682539683
170,4,0.03,0.582905983
521,2,0,0.607619048
522,3,0.04,0.584158416
1050,7,0,0.805940594
1355,1,0,0.699047619
1566,2,0,0.706930693
1551,3,0,0.629059829
1786,2,0,0.694444444
873,2,0.06,0.625641026
304,1,0,0.64
1496,7,0,0.670194004
1839,2,0,0.598290598
560,5,0.66,0.652557319
530,7,0,0.624338624
632,3,0,0.67372134
274,3,0,0.596190476
905,3,0,0.628571429
1115,3,0,0.824761905
990,4,0,0.661386139
1012,6,0,0.636904762
754,5,0,0.698412698
148,3,0.03,0.664761905
1535,3,0,0.626666667
1125,2,0.76,0.594871795
2096,2,0.12,0.529100529
890,4,0.68,0.608465608
1051,1,0.13,0.794605809
1468,5,0,0.753968254
995,4,1.05,0.752380952
1167,2,0.66,0.58974359
1876,3,0.01,0.593253968
1325,3,0,0.725714286
1307,7,0,0.773333333
742,3,0.4,0.650793651
1766,3,0,0.590828924
1612,1,0.03,0.724206349
2123,3,0,0.681904762
600,2,0,0.659405941
1609,3,0,0.670124481
965,6,0.02,0.68
1216,5,0.74,0.75
376,5,0.01,0.632936508
2126,7,0,0.523809524
645,6,0,0.576068376
1423,7,0,0.699170124
1494,4,0.45,0.689108911
220,1,0,0.708571429
693,7,0.34,0.606837607
1972,5,0,0.640873016
1774,7,0,0.700396825
1797,2,0,0.552136752
1023,6,0,0.656410256
589,1,0.08,0.744813278
2097,3,0,0.564102564
722,4,0.13,0.756613757
1638,7,0.03,0.63960396
607,4,0.06,0.728215768
496,4,0.17,0.656746032
2030,5,0,0.686067019
1724,3,1.2,0.679012346
775,4,0.38,0.721991701
240,6,0,0.690871369
1801,7,2.29,0.657676349
1344,7,0,0.811881188
1064,5,0,0.770723104
1202,7,0,0.668430335
1748,7,0.02,0.615520282
531,1,0.04,0.611965812
1004,2,0,0.779541446
1054,6,0,0.726190476
788,1,0.41,0.701940035
1317,6,0,0.663247863
1615,4,0,0.668049793
2122,2,0,0.603174603
1197,7,0.03,0.608547009
1351,2,0.54,0.761410788
1176,7,0.22,0.702970297
1554,7,0,0.691089109
2172,5,0.52,0.685148515
2157,6,0,0.514529915
689,2,0,0.718095238
1830,4,0.26,0.853465347
1896,1,0,0.611881188
1324,2,0,0.668650794
822,4,0,0.714851485
1659,7,0.02,0.492307692
1540,3,0.01,0.700396825
1018,7,0,0.714285714
1170,6,0.01,0.669306931
516,2,0.39,0.64950495
1141,2,0,0.72406639
1755,2,0,0.618803419
1105,3,1.34,0.753112033
968,3,0.45,0.604938272
1284,4,0.04,0.861386139
1596,7,0,0.683168317
894,2,0,0.827722772
1391,7,0,0.672380952
112,4,0,0.660952381
1538,7,0.01,0.610229277
1146,2,0,0.758415842
1349,7,0,0.655238095
1429,1,0.13,0.72406639
2051,5,0,0.643809524
1219,1,0,0.744813278
1172,2,0.37,0.712522046
2048,1,0,0.599647266
286,5,0,0.76
1377,2,0.7,0.678632479
1746,4,0,0.64950495
456,6,0.14,0.691089109
1094,3,0.03,0.705467372
747,2,0.78,0.558974359
1977,4,0.26,0.499145299
67,7,0.07,0.555555556
1605,5,0,0.65982906
945,7,0,0.547008547
938,5,0,0.756613757
2086,3,0,0.557539683
682,7,0,0.662698413
937,3,0.53,0.755186722
1236,3,0,0.782178218
462,7,0,0.627722772
2132,1,0,0.536155203
2100,7,0,0.627722772
361,5,0,0.705394191
1157,3,0.05,0.60952381
1303,1,0,0.769709544
1200,4,0,0.724752475
1135,1,0,0.854771784
90,2,0,0.657676349
1070,6,0,0.708994709
615,1,0.11,0.625641026
349,5,0,0.553791887
1513,1,0.05,0.742738589
22,3,0.01,0.544761905
1032,4,0.11,0.663366337
1934,3,0,0.532627866
1109,2,0.01,0.740952381
1259,6,0,0.678095238
1623,1,0,0.611965812
627,3,0,0.647863248
837,3,0,0.635897436
1244,7,0,0.735449735
922,5,0,0.740079365
920,2,0.2,0.770723104
1749,1,0,0.652991453
1722,7,0,0.588118812
737,3,0.1,0.664761905
1802,2,0.05,0.675485009
1976,3,0,0.562610229
1603,2,0,0.721991701
1725,4,0,0.67008547
776,6,0.59,0.613756614
1459,6,0,0.701244813
1918,3,0,0.720238095
1243,5,0,0.798755187
542,2,0.03,0.78659612
887,7,0,0.643809524
1228,7,1.33,0.742063492
1116,4,0.15,0.776237624
475,3,0,0.653526971
1437,5,0,0.611965812
515,1,0.1,0.697142857
1685,7,0.44,0.617142857
359,3,1.5,0.664761905
1339,7,0,0.794605809
698,7,0.01,0.562610229
153,2,0.06,0.591269841
1033,5,0.01,0.765560166
901,4,0.13,0.697095436
827,4,0.48,0.67047619
1580,7,0.12,0.680776014
916,4,0.18,0.775793651
2162,6,0,0.57319224
446,7,0,0.51675485
864,4,0,0.805940594
12,3,0,0.630705394
802,6,0.66,0.662698413
434,5,0,0.661375661
1417,6,0,0.7593361
1850,3,0,0.671957672
312,4,0.03,0.711618257
547,1,0,0.782157676
617,4,0.04,0.615238095
809,1,0,0.820952381
1387,1,1.37,0.81120332
1537,5,0.63,0.757261411
764,4,0,0.641975309
401,3,0,0.584761905
1726,6,0,0.706349206
1333,6,0,0.734439834
2023,2,0,0.632780083
2079,7,0.05,0.502564103
881,6,0.26,0.723809524
500,2,0,0.596119929
1433,7,0,0.598095238
883,1,0.01,0.746887967
961,7,0,0.763485477
1158,4,0,0.746534653
1100,4,0.17,0.746031746
2140,5,0,0.662698413
342,2,0,0.628630705
1282,2,0,0.76984127
1833,1,0,0.687179487
318,5,0,0.697095436
1080,5,0,0.700990099
1084,4,0,0.746031746
13,5,0.01,0.48324515
1424,2,0.78,0.705467372
1500,5,0.46,0.665346535
1394,4,0.24,0.650793651
1076,7,0.2,0.693121693
1507,7,0,0.744813278
2012,2,0,0.564373898
549,4,0.02,0.615384615
1610,5,0,0.723104056
178,1,0,0.655238095
331,2,0,0.546737213
493,6,0,0.692946058
1310,4,0,0.767195767
380,3,0,0.57319224
1698,3,0.09,0.689108911
1651,3,0,0.709543568
1973,6,0,0.660952381
1493,3,0,0.548571429
982,1,0,0.742063492
545,6,0,0.723809524
675,4,0,0.629059829
1065,6,0.7,0.593162393
874,4,1.02,0.732142857
1296,6,0,0.906930693
1923,2,0.03,0.54017094
384,1,0,0.643564356
353,3,0,0.60990099
1443,6,0.22,0.611965812
1460,1,0,0.814814815
39,4,0,0.676587302
325,1,0,0.534391534
1252,4,0,0.742063492
1223,7,0.03,0.739047619
1627,6,1.54,0.649377593
752,2,0,0.689594356
414,6,0,0.594059406
207,4,0,0.650793651
2025,5,0,0.558974359
1840,4,0.3,0.716269841
646,1,0,0.676587302
445,5,0.32,0.699170124
490,3,0,0.652777778
1600,6,0,0.775793651
302,5,0,0.507692308
958,4,0,0.740079365
1520,4,0.57,0.624338624
1585,6,0,0.7406639
309,7,0,0.589285714
1691,1,0,0.693333333
1910,6,0,0.624338624
1142,4,0,0.698412698
356,6,0.02,0.582010582
1892,3,0.23,0.532627866
868,3,0,0.746031746
635,7,0.34,0.626666667
715,1,0.4,0.701244813
653,3,0,0.71047619
939,6,0,0.564102564
1949,2,0,0.651428571
724,7,0.71,0.742063492
1449,7,0.15,0.634188034
283,1,0,0.504409171
923,6,0,0.727619048
2118,3,0,0.679207921
1214,2,0,0.716049383
1727,7,5.2,0.563809524
408,5,0,0.732673267
488,7,0,0.537918871
1081,6,0.45,0.834024896
856,1,0,0.753968254
548,3,0,0.668430335
1186,7,0,0.676587302
778,2,0.58,0.68452381
1321,4,0,0.79253112
570,4,0,0.651485149
