,day,prcp,total_num_of_crimes
1608,2,0.52,0.627722772
1762,5,0,0.706349206
782,7,0,0.652557319
2060,3,0.02,0.649029982
1750,3,0,0.696428571
1763,6,0,0.672380952
569,3,0.12,0.603809524
1318,1,0,0.744047619
255,5,0,0.573412698
1509,3,1.01,0.557264957
1453,5,0,0.680497925
723,5,0,0.765811966
2052,6,0,0.611881188
865,5,0.06,0.838174274
1895,7,0.01,0.573333333
1693,3,0,0.728215768
1617,7,0,0.61025641
2083,5,0,0.757261411
707,5,0.11,0.700952381
8,5,0,0.538461538
940,1,0.18,0.706349206
472,7,0,0.617063492
1759,7,0,0.690871369
853,3,0.79,0.7406639
2022,1,0.04,0.762376238
1218,7,0.06,0.778217822
1621,5,0,0.630705394
1371,1,0,0.629059829
1742,6,0.01,0.670194004
986,6,0,0.691358025
877,7,0,0.767634855
395,2,0.31,0.594285714
270,4,0,0.753112033
1239,7,0,0.682051282
190,3,0,0.773333333
1652,5,0.72,0.590828924
1883,5,0,0.624761905
1751,4,0,0.683809524
2041,5,0,0.692946058
214,7,0,0.577142857
1276,1,0,0.827380952
1367,3,0,0.697142857
1242,4,0,0.724752475
2133,2,0.3,0.52991453
691,4,0,0.721991701
1694,5,0,0.624338624
1760,2,0,0.659611993
1745,3,0,0.676190476
1281,7,0,0.676923077
735,7,0,0.593162393
2084,7,0,0.57319224
1268,4,0,0.69664903
644,5,0,0.661375661
619,6,0.13,0.657676349
517,3,0,0.668049793
1315,3,0,0.751037344
82,6,0,0.548571429
1031,3,0.01,0.72952381
2055,3,0,0.517948718
540,6,0,0.63960396
817,4,0,0.751037344
199,1,0,0.557319224
187,6,0.07,0.677248677
2185,1,0.85,0.628630705
578,1,0,0.643738977
2188,6,0,0.609126984
1624,3,0.01,0.597222222
852,2,1.24,0.774257426
1464,6,1.07,0.805940594
128,4,0,0.618803419
1246,3,0,0.722222222
914,1,0,0.758377425
1595,6,0,0.733333333
1649,1,0,0.6
879,3,0.42,0.627350427
289,2,0.38,0.527336861
1930,5,0,0.718253968
322,4,0,0.603809524
419,6,0,0.542857143
1045,7,0.12,0.738589212
58,2,0,0.685714286
1420,4,0.36,0.765873016
643,3,0,0.692946058
535,6,0.61,0.645228216
106,3,0.43,0.636190476
1230,2,0,0.752475248
2175,2,1.82,0.514529915
473,1,0.43,0.611428571
2028,2,0,0.687128713
183,7,0,0.613095238
282,6,0,0.647302905
1370,7,0,0.633156966
1147,3,0,0.807053942
1269,5,0,0.668376068
226,2,0.32,0.617142857
2065,2,0.01,0.663900415
1527,6,0.24,0.541880342
834,6,0.03,0.637623762
875,5,0,0.672380952
1005,3,0,0.617094017
1803,3,0.48,0.555555556
1744,2,0,0.746031746
1739,2,0,0.632380952
1981,2,0,0.695020747
1502,1,0,0.555555556
1021,3,0,0.761410788
847,2,0.05,0.721991701
386,4,0.02,0.53968254
449,4,0,0.59047619
1211,5,0.65,0.666666667
1035,1,0,0.646153846
346,1,0,0.575238095
191,4,0,0.736633663
2163,7,0.39,0.507692308
1029,7,0.22,0.632478632
1528,1,0,0.767857143
969,4,0.01,0.694017094
195,2,0,0.581349206
843,4,0.02,0.579487179
1434,1,0,0.77029703
746,1,0.01,0.758377425
1112,6,0,0.705467372
175,4,0,0.60670194
400,2,0,0.706349206
1545,2,0,0.683760684
2066,4,0,0.488536155
15,7,0,0.569444444
812,5,0.08,0.712522046
799,1,0.08,0.782157676
75,3,0,0.621031746
1328,7,0,0.71957672
1000,4,0.1,0.78968254
955,6,0,0.809128631
638,4,0,0.767195767
1851,4,0,0.634188034
604,1,0.12,0.626984127
1933,1,0,0.676348548
1997,3,0,0.664761905
382,6,0.03,0.579365079
1017,5,0.48,0.625641026
2098,5,0,0.656746032
1103,1,0,0.826666667
1665,1,0,0.622222222
1800,6,0,0.681188119
858,3,0.05,0.720792079
1408,2,0,0.712301587
685,3,0,0.690871369
2007,2,0.3,0.608547009
1618,2,0.02,0.700396825
1102,7,0,0.75
1586,1,0,0.686067019
1298,2,1.89,0.633156966
2067,5,0,0.564102564
1287,1,1.06,0.629059829
828,5,0,0.695049505
2171,4,0,0.539047619
1190,5,0,0.71957672
780,4,0.21,0.712871287
1205,4,0.64,0.67047619
155,5,0,0.691089109
1314,2,0.06,0.699009901
839,6,0.25,0.580952381
1342,5,0,0.71031746
2033,2,0.01,0.674285714
744,5,0.19,0.772277228
927,4,0,0.623931624
